File Creation Date,2025-02-27
Sampling Location,Around 1km offshore of Ota River (T-S1) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/12/19,Common skete (muscle),Cs-134,,4.3,Bq/kg-fresh
2024/12/19,Lepidotrigla microptena (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/12/19,Stone flounder (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/12/19,Common skete (muscle),Cs-137,,4.4,Bq/kg-fresh
2024/12/19,Lepidotrigla microptena (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/12/19,Stone flounder (muscle),Cs-137,,4.3,Bq/kg-fresh
2024/12/5,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/12/5,Lepidotrigla microptena (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/12/5,Stone flounder (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/12/5,Stone flounder (muscle),Cs-134,,6.0,Bq/kg-fresh
2024/12/5,Black sea bream (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/12/5,John dory (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/12/5,Common skete (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/12/5,Lepidotrigla microptena (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/12/5,Stone flounder (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/12/5,Stone flounder (muscle),Cs-137,,5.6,Bq/kg-fresh
2024/12/5,Black sea bream (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/12/5,John dory (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/10/29,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/10/29,Blue crab (whole),Cs-134,,3.8,Bq/kg-fresh
2024/10/29,Flatfish (muscle),Cs-134,,5.8,Bq/kg-fresh
2024/10/29,Smooth dogfish (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/10/29,Stone flounder (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/10/29,Black sea bream (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/10/29,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/10/29,Blue crab (whole),Cs-137,,3.3,Bq/kg-fresh
2024/10/29,Flatfish (muscle),Cs-137,,5.1,Bq/kg-fresh
2024/10/29,Smooth dogfish (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/10/29,Stone flounder (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/10/29,Black sea bream (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/9/5,Common skete (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/9/5,Blue crab (whole),Cs-134,,3.5,Bq/kg-fresh
2024/9/5,Black rockfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/9/5,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/9/5,Flatfish (muscle),Cs-134,,4.6,Bq/kg-fresh
2024/9/5,Drumfish (muscle),Cs-134,,4.1,Bq/kg-fresh
