File Creation Date,2025-04-02
Sampling Location,Around 3km offshore of Odaka Ward (T-S2) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/2/21,Lepidotrigla microptena (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/2/21,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/2/21,Flatfish (muscle),Cs-134,,5.0,Bq/kg-fresh
2025/2/21,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2025/2/21,Roundnose flounder (muscle),Cs-134,,4.0,Bq/kg-fresh
2025/2/21,Black rockfish (muscle),Cs-134,,3.1,Bq/kg-fresh
2025/2/21,Lepidotrigla microptena (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/2/21,Flatfish (muscle),Cs-137,,3.0,Bq/kg-fresh
2025/2/21,Flatfish (muscle),Cs-137,,7.1,Bq/kg-fresh
2025/2/21,Common skete (muscle),Cs-137,,3.9,Bq/kg-fresh
2025/2/21,Roundnose flounder (muscle),Cs-137,,4.5,Bq/kg-fresh
2025/2/21,Black rockfish (muscle),Cs-137,,4.2,Bq/kg-fresh
2025/1/24,Lepidotrigla microptena (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/1/24,Flatfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2025/1/24,Marbled sole (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/1/24,Ridged-eye flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/1/24,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/1/24,Searobin (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/1/24,Roundnose flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/1/24,Yellow goosefish (whole),Cs-134,,3.9,Bq/kg-fresh
2025/1/24,Black rockfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/1/24,Black sea bream (muscle),Cs-134,,4.2,Bq/kg-fresh
2025/1/24,Lepidotrigla microptena (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/1/24,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/1/24,Marbled sole (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/1/24,Ridged-eye flounder (muscle),Cs-137,,3.2,Bq/kg-fresh
2025/1/24,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/1/24,Searobin (muscle),Cs-137,,3.9,Bq/kg-fresh
2025/1/24,Roundnose flounder (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/1/24,Yellow goosefish (whole),Cs-137,,4.0,Bq/kg-fresh
2025/1/24,Black rockfish (muscle),Cs-137,,3.1,Bq/kg-fresh
2025/1/24,Black sea bream (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/12/5,Lepidotrigla microptena (muscle),Cs-134,,3.0,Bq/kg-fresh
2024/12/5,Japanese angel shark  (muscle),Cs-134,,2.9,Bq/kg-fresh
2024/12/5,Common skete (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/12/5,Searobin (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/12/5,Lepidotrigla microptena (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/12/5,Japanese angel shark  (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/12/5,Common skete (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/12/5,Searobin (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/10/29,Flatfish (muscle),Cs-134,,5.3,Bq/kg-fresh
2024/10/29,Blue crab (whole),Cs-134,,3.9,Bq/kg-fresh
2024/10/29,Japanese amberjack (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/10/29,Flatfish (muscle),Cs-137,,4.9,Bq/kg-fresh
2024/10/29,Blue crab (whole),Cs-137,,4.0,Bq/kg-fresh
2024/10/29,Japanese amberjack (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/10/29,Flatfish (muscle),H-3:TFWT,0.17,,Bq/L
2024/10/29,Flatfish (muscle),H-3:TFWT,0.13,,Bq/kg-fresh
2024/10/29,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2024/10/29,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2024/9/5,Stingray (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/9/5,Common skete (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/9/5,Blue crab (whole),Cs-134,,3.7,Bq/kg-fresh
2024/9/5,Stingray (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/9/5,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/9/5,Blue crab (whole),Cs-137,,2.9,Bq/kg-fresh
2024/8/22,Flatfish (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/8/22,Flatfish (muscle),Cs-134,,6.0,Bq/kg-fresh
2024/8/22,Common skete (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/8/22,Blue crab (whole),Cs-134,,3.2,Bq/kg-fresh
2024/8/22,Drumfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/8/22,Red sea bream (muscle),Cs-134,,2.8,Bq/kg-fresh
2024/8/22,Flatfish (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/8/22,Flatfish (muscle),Cs-137,,5.5,Bq/kg-fresh
2024/8/22,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/8/22,Blue crab (whole),Cs-137,,3.5,Bq/kg-fresh
2024/8/22,Drumfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/8/22,Red sea bream (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/8/22,Flatfish (muscle),H-3:TFWT,,0.071,Bq/L
2024/8/22,Flatfish (muscle),H-3:TFWT,,0.057,Bq/kg-fresh
2024/8/22,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2024/8/22,Flatfish (muscle),H-3:OBT,,0.037,Bq/kg-fresh
2024/7/3,Stingray (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/7/3,Stone flounder (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/7/3,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/7/3,Flatfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/7/3,Pitted stingray (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/7/3,Stingray (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/7/3,Stone flounder (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/7/3,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/7/3,Flatfish (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/7/3,Pitted stingray (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/7/3,Flatfish (muscle),H-3:TFWT,,0.070,Bq/L
2024/7/3,Flatfish (muscle),H-3:TFWT,,0.055,Bq/kg-fresh
2024/7/3,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2024/7/3,Flatfish (muscle),H-3:OBT,,0.033,Bq/kg-fresh
2024/6/18,Flatfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/6/18,Flatfish (muscle),Cs-134,,6.2,Bq/kg-fresh
2024/6/18,Marbled sole (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/6/18,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/6/18,Searobin (muscle),Cs-134,,4.3,Bq/kg-fresh
2024/6/18,Roundnose flounder (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/6/18,Microstomus achne (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/6/18,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/6/18,Flatfish (muscle),Cs-137,,5.9,Bq/kg-fresh
2024/6/18,Marbled sole (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/6/18,Common skete (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/6/18,Searobin (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/6/18,Roundnose flounder (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/6/18,Microstomus achne (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/6/18,Flatfish (muscle),H-3:TFWT,,0.070,Bq/L
2024/6/18,Flatfish (muscle),H-3:TFWT,,0.055,Bq/kg-fresh
2024/6/18,Flatfish (muscle),H-3:OBT,,0.28,Bq/L
2024/6/18,Flatfish (muscle),H-3:OBT,,0.038,Bq/kg-fresh
2024/5/21,Stone flounder (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/5/21,Marbled sole (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/5/21,Roundnose flounder (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/5/21,Blue crab (whole),Cs-134,,3.2,Bq/kg-fresh
2024/5/21,Stone flounder (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/5/21,Marbled sole (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/5/21,Roundnose flounder (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/5/21,Blue crab (whole),Cs-137,,3.9,Bq/kg-fresh
2024/4/18,Stingray (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/4/18,Japanese angel shark  (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/4/18,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/4/18,Yellow goosefish (whole),Cs-134,,3.9,Bq/kg-fresh
2024/4/18,Black rockfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/4/18,Stingray (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/4/18,Japanese angel shark  (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/4/18,Common skete (muscle),Cs-137,4.2,,Bq/kg-fresh
2024/4/18,Yellow goosefish (whole),Cs-137,,3.6,Bq/kg-fresh
2024/4/18,Black rockfish (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/4/3,Lepidotrigla microptena (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/4/3,Flatfish (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/4/3,Marbled sole (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/4/3,Roundnose flounder (muscle),Cs-134,,3.0,Bq/kg-fresh
2024/4/3,Drumfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/4/3,Red sea bream (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/4/3,Black rockfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/4/3,Black rockfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/4/3,Black rockfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/4/3,Flathead (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/4/3,Lepidotrigla microptena (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/4/3,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/4/3,Marbled sole (muscle),Cs-137,,4.4,Bq/kg-fresh
2024/4/3,Roundnose flounder (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/4/3,Drumfish (muscle),Cs-137,,2.9,Bq/kg-fresh
2024/4/3,Red sea bream (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/4/3,Black rockfish (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/4/3,Black rockfish (muscle),Cs-137,2.6,,Bq/kg-fresh
