File Creation Date,2025-08-08
Sampling Location,Around 3km offshore of Ukedo River (T-S3) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/6/5,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/6/5,Flatfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2025/6/5,Flatfish (muscle),Cs-134,,5.4,Bq/kg-fresh
2025/6/5,Stone flounder (muscle),Cs-134,,2.9,Bq/kg-fresh
2025/6/5,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/6/5,Yellow goosefish (whole),Cs-134,,4.5,Bq/kg-fresh
2025/6/5,Common skete (muscle),Cs-137,,4.2,Bq/kg-fresh
2025/6/5,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/6/5,Flatfish (muscle),Cs-137,,5.5,Bq/kg-fresh
2025/6/5,Stone flounder (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/6/5,Searobin (muscle),Cs-137,,4.0,Bq/kg-fresh
2025/6/5,Yellow goosefish (whole),Cs-137,,3.6,Bq/kg-fresh
2025/5/15,Common skete (muscle),Cs-134,,2.7,Bq/kg-fresh
2025/5/15,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/5/15,Flatfish (muscle),Cs-134,,5.3,Bq/kg-fresh
2025/5/15,Searobin (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/5/15,Yellow goosefish (whole),Cs-134,,3.8,Bq/kg-fresh
2025/5/15,Red sea bream (muscle),Cs-134,,2.9,Bq/kg-fresh
2025/5/15,Common skete (muscle),Cs-137,,4.0,Bq/kg-fresh
2025/5/15,Flatfish (muscle),Cs-137,,3.2,Bq/kg-fresh
2025/5/15,Flatfish (muscle),Cs-137,,6.9,Bq/kg-fresh
2025/5/15,Searobin (muscle),Cs-137,,3.9,Bq/kg-fresh
2025/5/15,Yellow goosefish (whole),Cs-137,,4.1,Bq/kg-fresh
2025/5/15,Red sea bream (muscle),Cs-137,,3.0,Bq/kg-fresh
2025/4/25,Common skete (muscle),Cs-134,,3.1,Bq/kg-fresh
2025/4/25,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/4/25,Flatfish (muscle),Cs-134,,5.4,Bq/kg-fresh
2025/4/25,Stingray (muscle),Cs-134,,3.2,Bq/kg-fresh
2025/4/25,Stone flounder (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/4/25,Yellow goosefish (whole),Cs-134,,4.0,Bq/kg-fresh
2025/4/25,Black rockfish (muscle),Cs-134,,4.3,Bq/kg-fresh
2025/4/25,Common skete (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/4/25,Flatfish (muscle),Cs-137,,2.9,Bq/kg-fresh
2025/4/25,Flatfish (muscle),Cs-137,,6.3,Bq/kg-fresh
2025/4/25,Stingray (muscle),Cs-137,,4.5,Bq/kg-fresh
2025/4/25,Stone flounder (muscle),Cs-137,,4.3,Bq/kg-fresh
2025/4/25,Yellow goosefish (whole),Cs-137,,3.8,Bq/kg-fresh
2025/4/25,Black rockfish (muscle),Cs-137,,4.5,Bq/kg-fresh
2025/3/27,Common skete (muscle),Cs-134,,4.0,Bq/kg-fresh
2025/3/27,Flatfish (muscle),Cs-134,,4.0,Bq/kg-fresh
2025/3/27,Roundnose flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/3/27,Stingray (muscle),Cs-134,,4.4,Bq/kg-fresh
2025/3/27,Yellow goosefish (whole),Cs-134,,3.4,Bq/kg-fresh
2025/3/27,Marbled sole (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/3/27,Pointhead flounder (muscle),Cs-134,,5.6,Bq/kg-fresh
2025/3/27,Common skete (muscle),Cs-137,,3.2,Bq/kg-fresh
2025/3/27,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/3/27,Roundnose flounder (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/3/27,Stingray (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/3/27,Yellow goosefish (whole),Cs-137,,3.8,Bq/kg-fresh
2025/3/27,Marbled sole (muscle),Cs-137,,3.2,Bq/kg-fresh
2025/3/27,Pointhead flounder (muscle),Cs-137,,7.1,Bq/kg-fresh
2025/2/27,Roundnose flounder (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/2/27,Lepidotrigla microptena (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/2/27,Smooth dogfish (muscle),Cs-134,,3.2,Bq/kg-fresh
2025/2/27,Marbled sole (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/2/27,Roundnose flounder (muscle),Cs-137,,2.8,Bq/kg-fresh
2025/2/27,Lepidotrigla microptena (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/2/27,Smooth dogfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2025/2/27,Marbled sole (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/1/9,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/1/9,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/1/9,Stone flounder (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/1/9,Searobin (muscle),Cs-134,,4.3,Bq/kg-fresh
2025/1/9,Yellow goosefish (whole),Cs-134,,3.5,Bq/kg-fresh
2025/1/9,Black rockfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/1/9,Red sea bream (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/1/9,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/1/9,Flatfish (muscle),Cs-137,,3.1,Bq/kg-fresh
2025/1/9,Stone flounder (muscle),Cs-137,,3.2,Bq/kg-fresh
2025/1/9,Searobin (muscle),Cs-137,,3.0,Bq/kg-fresh
2025/1/9,Yellow goosefish (whole),Cs-137,,3.8,Bq/kg-fresh
2025/1/9,Black rockfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/1/9,Red sea bream (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/12/12,Searobin (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/12/12,Japanese angel shark  (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/12/12,John dory (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/12/12,Cinnamon flounder (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/12/12,Searobin (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/12/12,Japanese angel shark  (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/12/12,John dory (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/12/12,Cinnamon flounder (muscle),Cs-137,,4.1,Bq/kg-fresh
