File Creation Date,2025-08-18
Sampling Location,Around 3km offshore of  1F site (T-S4) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/6/5,Flatfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/6/5,Flatfish (muscle),Cs-134,,6.3,Bq/kg-fresh
2025/6/5,Searobin (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/6/5,Common skete (muscle),Cs-134,,4.0,Bq/kg-fresh
2025/6/5,Sea bass (muscle),Cs-134,,4.3,Bq/kg-fresh
2025/6/5,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/6/5,Flatfish (muscle),Cs-137,,5.1,Bq/kg-fresh
2025/6/5,Searobin (muscle),Cs-137,,3.9,Bq/kg-fresh
2025/6/5,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2025/6/5,Sea bass (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/5/15,Flatfish (muscle),Cs-134,,4.0,Bq/kg-fresh
2025/5/15,Flatfish (muscle),Cs-134,,7.0,Bq/kg-fresh
2025/5/15,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/5/15,Chub mackerel (muscle),Cs-134,,2.9,Bq/kg-fresh
2025/5/15,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/5/15,Flatfish (muscle),Cs-137,,6.7,Bq/kg-fresh
2025/5/15,Common skete (muscle),Cs-137,,3.2,Bq/kg-fresh
2025/5/15,Chub mackerel (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/4/25,Black rockfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/4/25,Black rockfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/4/25,Black rockfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/4/25,Flatfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2025/4/25,Flatfish (muscle),Cs-134,,5.1,Bq/kg-fresh
2025/4/25,Roundnose flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/4/25,Common skete (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/4/25,Yellow goosefish (whole),Cs-134,,3.7,Bq/kg-fresh
2025/4/25,Crimson sea bream (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/4/25,Sea bass (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/4/25,Sebastes cheni (muscle),Cs-134,,3.2,Bq/kg-fresh
2025/4/25,Black rockfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/4/25,Black rockfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2025/4/25,Black rockfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/4/25,Flatfish (muscle),Cs-137,,3.1,Bq/kg-fresh
2025/4/25,Flatfish (muscle),Cs-137,,6.1,Bq/kg-fresh
2025/4/25,Roundnose flounder (muscle),Cs-137,,2.9,Bq/kg-fresh
2025/4/25,Common skete (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/4/25,Yellow goosefish (whole),Cs-137,,2.9,Bq/kg-fresh
2025/4/25,Crimson sea bream (muscle),Cs-137,,3.1,Bq/kg-fresh
2025/4/25,Sea bass (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/4/25,Sebastes cheni (muscle),Cs-137,,4.0,Bq/kg-fresh
2025/3/27,Black rockfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2025/3/27,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/3/27,Searobin (muscle),Cs-134,,4.1,Bq/kg-fresh
2025/3/27,Roundnose flounder (muscle),Cs-134,,3.0,Bq/kg-fresh
2025/3/27,Common skete (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/3/27,Smooth dogfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/3/27,Pointhead flounder (muscle),Cs-134,,2.6,Bq/kg-fresh
2025/3/27,Black rockfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/3/27,Flatfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/3/27,Searobin (muscle),Cs-137,,3.4,Bq/kg-fresh
2025/3/27,Roundnose flounder (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/3/27,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/3/27,Smooth dogfish (muscle),Cs-137,6.4,,Bq/kg-fresh
2025/3/27,Pointhead flounder (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/2/27,Japanese angel shark  (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/2/27,Yellow goosefish (whole),Cs-134,,3.2,Bq/kg-fresh
2025/2/27,Japanese angel shark  (muscle),Cs-137,,4.2,Bq/kg-fresh
2025/2/27,Yellow goosefish (whole),Cs-137,,3.5,Bq/kg-fresh
2025/1/9,Black rockfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/1/9,Black rockfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2025/1/9,Black rockfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/1/9,Black rockfish (muscle),Cs-134,,2.7,Bq/kg-fresh
2025/1/9,Black rockfish (muscle),Cs-134,,4.5,Bq/kg-fresh
2025/1/9,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/1/9,Common skete (muscle),Cs-134,,3.2,Bq/kg-fresh
2025/1/9,Microstomus achne (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/1/9,Red sea bream (muscle),Cs-134,,3.9,Bq/kg-fresh
2025/1/9,Yellow goosefish (whole),Cs-134,,4.3,Bq/kg-fresh
2025/1/9,Black rockfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/1/9,Black rockfish (muscle),Cs-137,,4.2,Bq/kg-fresh
2025/1/9,Black rockfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/1/9,Black rockfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/1/9,Black rockfish (muscle),Cs-137,,3.9,Bq/kg-fresh
2025/1/9,Searobin (muscle),Cs-137,,3.9,Bq/kg-fresh
2025/1/9,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2025/1/9,Microstomus achne (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/1/9,Red sea bream (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/1/9,Yellow goosefish (whole),Cs-137,,3.8,Bq/kg-fresh
2024/12/12,Searobin (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/12/12,Common skete (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/12/12,Red sea bream (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/12/12,Japanese amberjack (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/12/12,Searobin (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/12/12,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/12/12,Red sea bream (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/12/12,Japanese amberjack (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/11/15,Searobin (muscle),Cs-134,,4.6,Bq/kg-fresh
2024/11/15,Stingray (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/11/15,Japanese angel shark  (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/11/15,Common skete (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/11/15,Searobin (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/11/15,Stingray (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/11/15,Japanese angel shark  (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/11/15,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/11/7,Flatfish (muscle),Cs-134,,3.0,Bq/kg-fresh
2024/11/7,Searobin (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/11/7,Japanese angel shark  (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/11/7,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/11/7,Cinnamon flounder (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/11/7,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/11/7,Searobin (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/11/7,Japanese angel shark  (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/11/7,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/11/7,Cinnamon flounder (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/9/11,Searobin (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/9/11,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/9/11,Red sea bream (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/9/11,Cinnamon flounder (muscle),Cs-134,,3.0,Bq/kg-fresh
2024/9/11,Searobin (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/9/11,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/9/11,Red sea bream (muscle),Cs-137,,2.6,Bq/kg-fresh
2024/9/11,Cinnamon flounder (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/8/21,Flatfish (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/8/21,Flatfish (muscle),Cs-134,,5.1,Bq/kg-fresh
2024/8/21,Searobin (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/8/21,Japanese angel shark  (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/8/21,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/8/21,Crimson sea bream (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/8/21,Blue crab (whole),Cs-134,,3.7,Bq/kg-fresh
2024/8/21,Flatfish (muscle),Cs-137,,2.8,Bq/kg-fresh
2024/8/21,Flatfish (muscle),Cs-137,,5.6,Bq/kg-fresh
2024/8/21,Searobin (muscle),Cs-137,,3.9,Bq/kg-fresh
