File Creation Date,2024-12-09
Sampling Location,Around 2km offshore of Kido River (T-S5) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/10/17,Common skete (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/10/17,Searobin (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/10/17,Red sea bream (muscle),Cs-134,,2.8,Bq/kg-fresh
2024/10/17,Flathead (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/10/17,White croaker (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/10/17,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/10/17,Searobin (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/10/17,Red sea bream (muscle),Cs-137,,3.0,Bq/kg-fresh
2024/10/17,Flathead (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/10/17,White croaker (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/9/20,Common skete (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/9/20,Flatfish (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/9/20,Flatfish (muscle),Cs-134,,5.0,Bq/kg-fresh
2024/9/20,Red sea bream (muscle),Cs-134,,3.0,Bq/kg-fresh
2024/9/20,White croaker (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/9/20,Drumfish (muscle),Cs-134,,4.2,Bq/kg-fresh
2024/9/20,Common skete (muscle),Cs-137,,3.6,Bq/kg-fresh
2024/9/20,Flatfish (muscle),Cs-137,,3.0,Bq/kg-fresh
2024/9/20,Flatfish (muscle),Cs-137,,5.1,Bq/kg-fresh
2024/9/20,Red sea bream (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/9/20,White croaker (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/9/20,Drumfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/8/2,Common skete (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/8/2,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/8/2,Flatfish (muscle),Cs-134,,6.2,Bq/kg-fresh
2024/8/2,Red sea bream (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/8/2,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/8/2,Flatfish (muscle),Cs-137,,4.2,Bq/kg-fresh
2024/8/2,Flatfish (muscle),Cs-137,,4.9,Bq/kg-fresh
2024/8/2,Red sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/7/19,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/7/19,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/7/19,Flatfish (muscle),Cs-134,,5.1,Bq/kg-fresh
2024/7/19,Black rockfish (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/7/19,Marbled sole (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/7/19,Stingray (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/7/19,Japanese amberjack (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/7/19,Common skete (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/7/19,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/7/19,Flatfish (muscle),Cs-137,,4.2,Bq/kg-fresh
