File Creation Date,2026-01-27
Sampling Location,Around 2km offshore of 2F site (T-S7) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/11/13,Common skete (muscle),Cs-134,,4.2,Bq/kg-fresh
2025/11/13,Flatfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/11/13,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/11/13,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/11/13,Flatfish (muscle),Cs-137,,2.9,Bq/kg-fresh
2025/11/13,Flatfish (muscle),Cs-137,,3.1,Bq/kg-fresh
2025/10/2,Common skete (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/10/2,Japanese angel shark  (muscle),Cs-134,,3.0,Bq/kg-fresh
2025/10/2,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/10/2,Red sea bream (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/10/2,Blue crab (whole),Cs-134,,3.3,Bq/kg-fresh
2025/10/2,Common skete (muscle),Cs-137,,3.2,Bq/kg-fresh
2025/10/2,Japanese angel shark  (muscle),Cs-137,,3.4,Bq/kg-fresh
2025/10/2,Searobin (muscle),Cs-137,,4.8,Bq/kg-fresh
2025/10/2,Red sea bream (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/10/2,Blue crab (whole),Cs-137,,3.2,Bq/kg-fresh
2025/9/11,Common skete (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/9/11,Flathead (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/9/11,Japanese angel shark  (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/9/11,Stingray (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/9/11,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/9/11,Flathead (muscle),Cs-137,,3.2,Bq/kg-fresh
2025/9/11,Japanese angel shark  (muscle),Cs-137,,3.4,Bq/kg-fresh
2025/9/11,Stingray (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/8/22,Common skete (muscle),Cs-134,,4.1,Bq/kg-fresh
2025/8/22,Searobin (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/8/22,Red sea bream (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/8/22,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/8/22,Searobin (muscle),Cs-137,,3.1,Bq/kg-fresh
2025/8/22,Red sea bream (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/7/23,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2025/7/23,Flatfish (muscle),Cs-134,,2.9,Bq/kg-fresh
2025/7/23,Flatfish (muscle),Cs-134,,4.0,Bq/kg-fresh
2025/7/23,Black rockfish (muscle),Cs-134,,4.4,Bq/kg-fresh
2025/7/23,Red sea bream (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/7/23,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2025/7/23,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/7/23,Flatfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/7/23,Black rockfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/7/23,Red sea bream (muscle),Cs-137,,2.9,Bq/kg-fresh
2025/7/23,Flatfish (muscle),H-3:TFWT,0.095,,Bq/L
2025/7/23,Flatfish (muscle),H-3:TFWT,0.068,,Bq/kg-fresh
2025/7/23,Flatfish (muscle),H-3:OBT,,0.27,Bq/L
2025/7/23,Flatfish (muscle),H-3:OBT,,0.044,Bq/kg-fresh
2025/6/19,Common skete (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/6/19,Flatfish (muscle),Cs-134,,4.5,Bq/kg-fresh
2025/6/19,Flatfish (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/6/19,Black rockfish (muscle),Cs-134,,4.1,Bq/kg-fresh
2025/6/19,Black rockfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/6/19,Microstomus achne (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/6/19,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/6/19,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/6/19,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/6/19,Black rockfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/6/19,Black rockfish (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/6/19,Microstomus achne (muscle),Cs-137,,3.2,Bq/kg-fresh
2025/6/19,Flatfish (muscle),H-3:TFWT,0.091,,Bq/L
2025/6/19,Flatfish (muscle),H-3:TFWT,0.067,,Bq/kg-fresh
2025/6/19,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2025/6/19,Flatfish (muscle),H-3:OBT,,0.040,Bq/kg-fresh
2025/5/22,Common skete (muscle),Cs-134,,3.1,Bq/kg-fresh
2025/5/22,Flatfish (muscle),Cs-134,,4.6,Bq/kg-fresh
2025/5/22,Microstomus achne (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/5/22,Red sea bream (muscle),Cs-134,,4.0,Bq/kg-fresh
2025/5/22,Fox jacopever (muscle),Cs-134,,4.0,Bq/kg-fresh
2025/5/22,Common skete (muscle),Cs-137,3.7,,Bq/kg-fresh
2025/5/22,Flatfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/5/22,Microstomus achne (muscle),Cs-137,,2.8,Bq/kg-fresh
2025/5/22,Red sea bream (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/5/22,Fox jacopever (muscle),Cs-137,,4.0,Bq/kg-fresh
2025/2/28,Common skete (muscle),Cs-134,,2.9,Bq/kg-fresh
2025/2/28,Flatfish (muscle),Cs-134,,2.9,Bq/kg-fresh
2025/2/28,Red sea bream (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/2/28,Yellow goosefish (whole),Cs-134,,3.3,Bq/kg-fresh
2025/2/28,Common skete (muscle),Cs-137,,3.1,Bq/kg-fresh
2025/2/28,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/2/28,Red sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2025/2/28,Yellow goosefish (whole),Cs-137,,4.1,Bq/kg-fresh
2024/12/4,Common skete (muscle),Cs-134,,4.1,Bq/kg-fresh
2024/12/4,Flatfish (muscle),Cs-134,,2.4,Bq/kg-fresh
2024/12/4,Flatfish (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/12/4,Searobin (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/12/4,Red sea bream (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/12/4,John dory (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/12/4,Common skete (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/12/4,Flatfish (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/12/4,Flatfish (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/12/4,Searobin (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/12/4,Red sea bream (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/12/4,John dory (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/12/4,Flatfish (muscle),H-3:TFWT,0.074,,Bq/L
2024/12/4,Flatfish (muscle),H-3:TFWT,0.057,,Bq/kg-fresh
2024/12/4,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
2024/12/4,Flatfish (muscle),H-3:OBT,,0.031,Bq/kg-fresh
2024/10/17,Common skete (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/10/17,Flatfish (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/10/17,Japanese angel shark  (muscle),Cs-134,,4.0,Bq/kg-fresh
2024/10/17,Red sea bream (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/10/17,White croaker (muscle),Cs-134,,3.6,Bq/kg-fresh
2024/10/17,Common skete (muscle),Cs-137,,4.1,Bq/kg-fresh
2024/10/17,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2024/10/17,Japanese angel shark  (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/10/17,Red sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/10/17,White croaker (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/10/17,Flatfish (muscle),H-3:TFWT,0.11,,Bq/L
2024/10/17,Flatfish (muscle),H-3:TFWT,0.082,,Bq/kg-fresh
2024/10/17,Flatfish (muscle),H-3:OBT,,0.25,Bq/L
