File Creation Date,2025-12-05
Sampling Location,Around 15km offshore of Odakaku (T-B1) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/9/16,Lepidotrigla microptena (muscle),Cs-134,,3.9,Bq/kg-fresh
2025/9/16,Common skete (muscle),Cs-134,,3.9,Bq/kg-fresh
2025/9/16,Searobin (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/9/16,Marbled sole (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/9/16,Ridged-eye flounder (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/9/16,Takifugu snyderi (muscle),Cs-134,,4.0,Bq/kg-fresh
2025/9/16,Crimson sea bream (muscle),Cs-134,,4.6,Bq/kg-fresh
2025/9/16,John dory (muscle),Cs-134,,3.9,Bq/kg-fresh
2025/9/16,Lepidotrigla microptena (muscle),Cs-137,,4.7,Bq/kg-fresh
2025/9/16,Common skete (muscle),Cs-137,,4.0,Bq/kg-fresh
2025/9/16,Searobin (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/9/16,Marbled sole (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/9/16,Ridged-eye flounder (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/9/16,Takifugu snyderi (muscle),Cs-137,,3.0,Bq/kg-fresh
2025/9/16,Crimson sea bream (muscle),Cs-137,,2.8,Bq/kg-fresh
2025/9/16,John dory (muscle),Cs-137,,4.3,Bq/kg-fresh
2025/8/26,Lepidotrigla microptena (muscle),Cs-134,,4.8,Bq/kg-fresh
2025/8/26,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/8/26,Searobin (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/8/26,Roundnose flounder (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/8/26,Takifugu snyderi (muscle),Cs-134,,3.2,Bq/kg-fresh
2025/8/26,Crimson sea bream (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/8/26,John dory (muscle),Cs-134,,4.1,Bq/kg-fresh
2025/8/26,Lepidotrigla microptena (muscle),Cs-137,,3.2,Bq/kg-fresh
2025/8/26,Common skete (muscle),Cs-137,,4.4,Bq/kg-fresh
2025/8/26,Searobin (muscle),Cs-137,,3.6,Bq/kg-fresh
