File Creation Date,2025-01-27
Sampling Location,Around 18km offshore of Ukedo River (T-B2) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/11/12,Ridged-eye flounder (muscle),Cs-134,,3.2,Bq/kg-fresh
2024/11/12,Lepidotrigla microptena (muscle),Cs-134,,3.9,Bq/kg-fresh
2024/11/12,White croaker (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/11/12,Crimson sea bream (muscle),Cs-134,,4.3,Bq/kg-fresh
2024/11/12,John dory (muscle),Cs-134,,4.7,Bq/kg-fresh
2024/11/12,Takifugu snyderi (muscle),Cs-134,,3.5,Bq/kg-fresh
2024/11/12,Red sea bream (muscle),Cs-134,,4.4,Bq/kg-fresh
2024/11/12,Searobin (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/11/12,Ridged-eye flounder (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/11/12,Lepidotrigla microptena (muscle),Cs-137,,3.9,Bq/kg-fresh
2024/11/12,White croaker (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/11/12,Crimson sea bream (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/11/12,John dory (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/11/12,Takifugu snyderi (muscle),Cs-137,,3.8,Bq/kg-fresh
2024/11/12,Red sea bream (muscle),Cs-137,,4.0,Bq/kg-fresh
2024/11/12,Searobin (muscle),Cs-137,,3.2,Bq/kg-fresh
2024/10/22,Common skete (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/10/22,Lepidotrigla microptena (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/10/22,White croaker (muscle),Cs-134,,2.9,Bq/kg-fresh
2024/10/22,Crimson sea bream (muscle),Cs-134,,3.8,Bq/kg-fresh
2024/10/22,Takifugu snyderi (muscle),Cs-134,,3.7,Bq/kg-fresh
2024/10/22,Smooth dogfish (muscle),Cs-134,,3.4,Bq/kg-fresh
2024/10/22,Searobin (muscle),Cs-134,,3.1,Bq/kg-fresh
2024/10/22,Common skete (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/10/22,Lepidotrigla microptena (muscle),Cs-137,,3.5,Bq/kg-fresh
2024/10/22,White croaker (muscle),Cs-137,,3.7,Bq/kg-fresh
2024/10/22,Crimson sea bream (muscle),Cs-137,,3.4,Bq/kg-fresh
2024/10/22,Takifugu snyderi (muscle),Cs-137,,3.0,Bq/kg-fresh
2024/10/22,Smooth dogfish (muscle),Cs-137,,4.4,Bq/kg-fresh
2024/10/22,Searobin (muscle),Cs-137,,3.1,Bq/kg-fresh
2024/10/1,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2024/10/1,Lepidotrigla microptena (muscle),Cs-134,,3.5,Bq/kg-fresh
