File Creation Date,2025-09-01
Sampling Location,Around 10km offshore of 1F site (T-B3) (Fish)

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2025/6/10,Lepidotrigla microptena (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/6/10,Yellow goosefish (whole),Cs-134,,3.2,Bq/kg-fresh
2025/6/10,Takifugu snyderi (muscle),Cs-134,,4.2,Bq/kg-fresh
2025/6/10,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/6/10,Searobin (muscle),Cs-134,,4.5,Bq/kg-fresh
2025/6/10,Ridged-eye flounder (muscle),Cs-134,,3.1,Bq/kg-fresh
2025/6/10,Common skete (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/6/10,Red sea bream (muscle),Cs-134,,4.1,Bq/kg-fresh
2025/6/10,Lepidotrigla microptena (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/6/10,Yellow goosefish (whole),Cs-137,,3.7,Bq/kg-fresh
2025/6/10,Takifugu snyderi (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/6/10,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/6/10,Searobin (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/6/10,Ridged-eye flounder (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/6/10,Common skete (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/6/10,Red sea bream (muscle),Cs-137,,4.0,Bq/kg-fresh
2025/5/20,Lepidotrigla microptena (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/5/20,Yellow goosefish (whole),Cs-134,,3.0,Bq/kg-fresh
2025/5/20,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/5/20,Flatfish (muscle),Cs-134,,4.3,Bq/kg-fresh
2025/5/20,Searobin (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/5/20,Marbled sole (muscle),Cs-134,,4.2,Bq/kg-fresh
2025/5/20,Crimson sea bream (muscle),Cs-134,,3.6,Bq/kg-fresh
2025/5/20,Red sea bream (muscle),Cs-134,,3.1,Bq/kg-fresh
2025/5/20,Lepidotrigla microptena (muscle),Cs-137,,4.2,Bq/kg-fresh
2025/5/20,Yellow goosefish (whole),Cs-137,,3.6,Bq/kg-fresh
2025/5/20,Flatfish (muscle),Cs-137,,2.7,Bq/kg-fresh
2025/5/20,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/5/20,Searobin (muscle),Cs-137,,3.2,Bq/kg-fresh
2025/5/20,Marbled sole (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/5/20,Crimson sea bream (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/5/20,Red sea bream (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/4/19,Lepidotrigla microptena (muscle),Cs-134,,4.3,Bq/kg-fresh
2025/4/19,Takifugu snyderi (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/4/19,Pointhead flounder (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/4/19,Flatfish (muscle),Cs-134,,3.0,Bq/kg-fresh
2025/4/19,Flatfish (muscle),Cs-134,,4.4,Bq/kg-fresh
2025/4/19,Searobin (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/4/19,Roundnose flounder (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/4/19,Sea bass (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/4/19,Crimson sea bream (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/4/19,Red sea bream (muscle),Cs-134,,3.5,Bq/kg-fresh
2025/4/19,Lepidotrigla microptena (muscle),Cs-137,,3.4,Bq/kg-fresh
2025/4/19,Takifugu snyderi (muscle),Cs-137,,3.4,Bq/kg-fresh
2025/4/19,Pointhead flounder (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/4/19,Flatfish (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/4/19,Flatfish (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/4/19,Searobin (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/4/19,Roundnose flounder (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/4/19,Sea bass (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/4/19,Crimson sea bream (muscle),Cs-137,,3.3,Bq/kg-fresh
2025/4/19,Red sea bream (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/3/22,Lepidotrigla microptena (muscle),Cs-134,,3.9,Bq/kg-fresh
2025/3/22,Yellow goosefish (whole),Cs-134,,4.2,Bq/kg-fresh
2025/3/22,Flatfish (muscle),Cs-134,,3.2,Bq/kg-fresh
2025/3/22,Flatfish (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/3/22,Searobin (muscle),Cs-134,,4.2,Bq/kg-fresh
2025/3/22,Common skete (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/3/22,True sardine (muscle),Cs-134,,3.1,Bq/kg-fresh
2025/3/22,Lepidotrigla microptena (muscle),Cs-137,,3.7,Bq/kg-fresh
2025/3/22,Yellow goosefish (whole),Cs-137,,3.8,Bq/kg-fresh
2025/3/22,Flatfish (muscle),Cs-137,,3.0,Bq/kg-fresh
2025/3/22,Flatfish (muscle),Cs-137,,4.4,Bq/kg-fresh
2025/3/22,Searobin (muscle),Cs-137,,3.5,Bq/kg-fresh
2025/3/22,Common skete (muscle),Cs-137,,3.4,Bq/kg-fresh
2025/3/22,True sardine (muscle),Cs-137,,3.1,Bq/kg-fresh
2025/2/15,Lepidotrigla microptena (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/2/15,Takifugu snyderi (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/2/15,Flatfish (muscle),Cs-134,,2.9,Bq/kg-fresh
2025/2/15,Flatfish (muscle),Cs-134,,3.3,Bq/kg-fresh
2025/2/15,Searobin (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/2/15,Smooth dogfish (muscle),Cs-134,,3.9,Bq/kg-fresh
2025/2/15,Roundnose flounder (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/2/15,Sea bass (muscle),Cs-134,,3.4,Bq/kg-fresh
2025/2/15,Crimson sea bream (muscle),Cs-134,,3.8,Bq/kg-fresh
2025/2/15,Red sea bream (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/2/15,John dory (muscle),Cs-134,,3.7,Bq/kg-fresh
2025/2/15,Cinnamon flounder (muscle),Cs-134,,3.1,Bq/kg-fresh
2025/2/15,Lepidotrigla microptena (muscle),Cs-137,,3.8,Bq/kg-fresh
2025/2/15,Takifugu snyderi (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/2/15,Flatfish (muscle),Cs-137,,2.6,Bq/kg-fresh
2025/2/15,Flatfish (muscle),Cs-137,,3.6,Bq/kg-fresh
2025/2/15,Searobin (muscle),Cs-137,,4.4,Bq/kg-fresh
2025/2/15,Smooth dogfish (muscle),Cs-137,,3.4,Bq/kg-fresh
2025/2/15,Roundnose flounder (muscle),Cs-137,,4.0,Bq/kg-fresh
