File Creation Date,2025-02-12
Sampling Location,

Date and time of Sampling,Sample,Radionuclide,Dt,ND,Unit
2024/12/11,Jack mackerel,Cs-134,,9.5,Bq/kg
2024/12/11,Red sea bream,Cs-134,,9.0,Bq/kg
2024/12/11,Yellowbarred red rockfish,Cs-134,,10.0,Bq/kg
2024/12/11,Yellow goosefish,Cs-134,,7.7,Bq/kg
2024/12/11,White croaker,Cs-134,,7.8,Bq/kg
2024/12/11,Jack mackerel,Cs-137,,8.7,Bq/kg
2024/12/11,Red sea bream,Cs-137,,8.3,Bq/kg
2024/12/11,Yellowbarred red rockfish,Cs-137,,7.8,Bq/kg
2024/12/11,Yellow goosefish,Cs-137,,7.0,Bq/kg
2024/12/11,White croaker,Cs-137,,7.2,Bq/kg
2024/12/01,Blackthroat seaperch,Cs-134,,9.1,Bq/kg
2024/12/01,Scorpionfish,Cs-134,,6.4,Bq/kg
2024/12/01,Microstomus achne,Cs-134,,10.0,Bq/kg
2024/12/01,Chub mackerel,Cs-134,,11.0,Bq/kg
2024/12/01,Redwing searobin,Cs-134,,8.6,Bq/kg
2024/12/01,Tiger puffer,Cs-134,,6.6,Bq/kg
2024/12/01,Bluefin searobin,Cs-134,,8.8,Bq/kg
2024/12/01,Blackthroat seaperch,Cs-137,,7.6,Bq/kg
2024/12/01,Scorpionfish,Cs-137,,6.1,Bq/kg
2024/12/01,Microstomus achne,Cs-137,,8.5,Bq/kg
2024/12/01,Chub mackerel,Cs-137,,6.7,Bq/kg
2024/12/01,Redwing searobin,Cs-137,,7.0,Bq/kg
2024/12/01,Tiger puffer,Cs-137,,6.2,Bq/kg
2024/12/01,Bluefin searobin,Cs-137,,7.4,Bq/kg
2024/07/22,Anchovy,Cs-134,,7.7,Bq/kg
2024/07/22,Anchovy,Cs-137,,5.9,Bq/kg
2024/06/24,Anchovy,Cs-134,,8.1,Bq/kg
2024/06/24,Anchovy,Cs-137,,7.4,Bq/kg
2024/04/22,Black rockfish,Cs-134,,6.7,Bq/kg
2024/04/22,Black rockfish,Cs-137,,6.6,Bq/kg
2024/04/02,Black rockfish,Cs-134,,11,Bq/kg
2024/04/02,Microstomus achne,Cs-134,,10,Bq/kg
2024/04/02,Yellowbarred red rockfish,Cs-134,,7.4,Bq/kg
2024/04/02,Brown hakeling,Cs-134,,9.3,Bq/kg
2024/04/02,Fox jacopever,Cs-134,,10,Bq/kg
2024/04/02,Black rockfish,Cs-137,,8.7,Bq/kg
2024/04/02,Microstomus achne,Cs-137,,7.8,Bq/kg
2024/04/02,Yellowbarred red rockfish,Cs-137,,8.4,Bq/kg
2024/04/02,Brown hakeling,Cs-137,,8.4,Bq/kg
2024/04/02,Fox jacopever,Cs-137,,7.1,Bq/kg
2023/12/19,Microstomus achne,Cs-134,,7.8,Bq/kg
2023/12/19,Conger eel,Cs-134,,9.8,Bq/kg
2023/12/19,Littlemouth flounder,Cs-134,,9.7,Bq/kg
2023/12/19,Chub mackerel,Cs-134,,8.9,Bq/kg
2023/12/19,Rikuzen flounder,Cs-134,,11,Bq/kg
2023/12/19,Microstomus achne,Cs-137,,8.9,Bq/kg
2023/12/19,Conger eel,Cs-137,,8.2,Bq/kg
2023/12/19,Littlemouth flounder,Cs-137,,8,Bq/kg
2023/12/19,Chub mackerel,Cs-137,,7.7,Bq/kg
2023/12/19,Rikuzen flounder,Cs-137,,7.9,Bq/kg
2023/10/09,Bluefin searobin,Cs-134,,8.8,Bq/kg-fresh
2023/10/09,Yellow goosefish,Cs-134,,8.8,Bq/kg-fresh
2023/10/09,Crimson sea bream,Cs-134,,9.2,Bq/kg-fresh
2023/10/09,Bluefin searobin,Cs-137,,7.9,Bq/kg-fresh
2023/10/09,Yellow goosefish,Cs-137,,7.8,Bq/kg-fresh
2023/10/09,Crimson sea bream,Cs-137,,8.3,Bq/kg-fresh
2023/06/24,Fox jacopever,Cs-134,,9.2,Bq/kg-fresh
2023/06/24,Goldeye rockfish,Cs-134,,9.9,Bq/kg-fresh
2023/06/24,Greenling,Cs-134,,9.7,Bq/kg-fresh
2023/06/24,Sebastes cheni,Cs-134,,8.1,Bq/kg-fresh
2023/06/24,Fox jacopever,Cs-137,,7,Bq/kg-fresh
2023/06/24,Goldeye rockfish,Cs-137,,9.9,Bq/kg-fresh
2023/06/24,Greenling,Cs-137,,7.6,Bq/kg-fresh
2023/06/24,Sebastes cheni,Cs-137,,7.7,Bq/kg-fresh
2023/06/17,Black rockfish,Cs-134,,11,Bq/kg-fresh
2023/06/17,Fox jacopever,Cs-134,,8.7,Bq/kg-fresh
2023/06/17,Goldeye rockfish,Cs-134,,6.6,Bq/kg-fresh
2023/06/17,Sebastes cheni,Cs-134,,9.8,Bq/kg-fresh
2023/06/17,Black rockfish,Cs-137,,7.2,Bq/kg-fresh
2023/06/17,Fox jacopever,Cs-137,,7.6,Bq/kg-fresh
2023/06/17,Goldeye rockfish,Cs-137,,7.4,Bq/kg-fresh
2023/06/17,Sebastes cheni,Cs-137,,6.5,Bq/kg-fresh
2023/06/10,Fox jacopever,Cs-134,,9.6,Bq/kg-fresh
2023/06/10,Goldeye rockfish,Cs-134,,8.1,Bq/kg-fresh
2023/06/10,Sebastes cheni,Cs-134,,7.5,Bq/kg-fresh
2023/06/10,Fox jacopever,Cs-137,,8.3,Bq/kg-fresh
2023/06/10,Goldeye rockfish,Cs-137,,7.8,Bq/kg-fresh
2023/06/10,Sebastes cheni,Cs-137,,8.1,Bq/kg-fresh
2023/03/08,Black rockfish,Cs-134,,8.6,Bq/kg-fresh
2023/03/08,Sea bass,Cs-134,,8,Bq/kg-fresh
2023/03/08,Black rockfish,Cs-137,,6.9,Bq/kg-fresh
2023/03/08,Sea bass,Cs-137,,6.9,Bq/kg-fresh
2023/03/03,Sea bass,Cs-134,,9.3,Bq/kg-fresh
2023/03/03,Sea bass,Cs-134,,8.9,Bq/kg-fresh
2023/03/03,Sea bass,Cs-137,,7.3,Bq/kg-fresh
2023/03/03,Sea bass,Cs-137,,7.7,Bq/kg-fresh
2022/12/20,Blackthroat seaperch,Cs-134,,8.9,Bq/kg-fresh
2022/12/20,Blue mackerel,Cs-134,,10,Bq/kg-fresh
2022/12/20,Jack mackerel,Cs-134,,9.4,Bq/kg-fresh
2022/12/20,Willowy flounder,Cs-134,,9.2,Bq/kg-fresh
2022/12/20,Scorpionfish,Cs-134,,8.6,Bq/kg-fresh
