File Creation Date,2025-06-27
Sampling Location,1.5km offshore of 1F site (T-A2)

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/6/23 7:39,,0.27,,0.27,-,-
2025/6/16 7:30,,0.34,,0.34,-,-
2025/6/9 7:22,,0.24,,0.25,-,-
2025/6/2 7:31,,0.34,,0.34,-,-
2025/5/26 7:26,,0.36,,0.29,-,-
2025/5/19 7:44,,0.31,,0.29,,0.35
2025/5/12 7:35,,0.38,,0.37,,0.076
2025/5/5 7:09,,0.36,,0.28,,0.39
2025/4/28 7:31,,0.30,,0.27,,0.36
2025/4/21 7:48,,0.34,,0.29,,0.38
2025/4/16 8:02,,0.27,,0.33,4.5,
2025/4/10 14:22,-,-,-,-,0.53,
2025/4/7 8:11,,0.36,,0.29,,0.35
2025/3/31 7:32,,0.30,,0.34,,0.36
2025/3/25 8:06,,0.36,,0.27,1.3,
2025/3/18 7:52,,0.35,,0.33,,0.35
2025/3/14 7:29,-,-,-,-,0.40,
2025/3/10 7:30,,0.37,,0.31,,0.076
2025/3/3 7:45,,0.30,,0.26,,0.37
2025/2/24 7:18,,0.34,,0.35,,0.37
2025/2/17 7:32,,0.34,,0.29,,0.37
2025/2/10 7:43,,0.39,,0.25,0.11,
2025/2/3 7:26,,0.31,,0.31,,0.36
2025/1/29 7:39,,0.36,,0.32,0.44,
2025/1/20 7:36,,0.36,,0.31,,0.36
2025/1/13 7:27,,0.29,,0.33,,0.074
2025/1/6 7:16,,0.22,,0.27,,0.36
2024/12/30 7:26,,0.39,,0.38,,0.36
2024/12/23 7:15,,0.35,,0.37,,0.37
2024/12/16 7:13,,0.30,,0.25,,0.36
2024/12/9 7:39,,0.31,,0.33,,0.073
2024/12/2 7:24,,0.25,,0.30,,0.36
2024/11/25 7:44,,0.29,,0.34,,0.36
2024/11/18 7:28,,0.32,,0.30,,0.35
2024/11/11 7:30,,0.37,,0.25,0.16,
2024/11/4 7:16,,0.28,,0.27,1.0,
2024/10/28 7:37,,0.27,,0.28,0.61,
2024/10/21 7:27,,0.40,,0.31,0.44,
2024/10/17 14:18,-,-,-,-,,0.34
2024/10/14 7:24,,0.28,,0.35,0.076,
2024/10/7 7:35,,0.35,,0.32,1.7,
2024/9/30 7:31,,0.32,,0.33,1.9,
2024/9/27 7:14,-,-,-,-,0.59,
2024/9/25 7:29,,0.38,,0.28,,0.35
2024/9/18 7:28,,0.37,,0.25,,0.35
2024/9/9 7:30,,0.33,,0.28,0.11,
2024/9/2 8:19,,0.34,,0.28,,0.36
2024/8/26 7:19,,0.27,,0.32,,0.34
2024/8/19 7:23,,0.36,,0.35,,0.36
2024/8/14 7:46,,0.25,,0.28,0.20,
2024/8/7 14:14,-,-,-,-,,0.35
2024/8/5 7:22,,0.25,,0.28,,0.35
2024/7/29 7:17,,0.33,,0.32,,0.36
2024/7/22 7:10,,0.30,,0.32,,0.35
2024/7/15 7:13,,0.34,,0.36,0.36,
2024/7/8 7:46,,0.28,,0.29,0.63,
2024/7/1 7:42,,0.30,,0.27,,0.35
2024/6/28 14:07,-,-,-,-,,0.35
2024/6/24 7:38,,0.31,,0.25,,0.37
2024/6/17 7:25,,0.35,,0.35,,0.37
2024/6/10 7:24,,0.32,,0.32,0.077,
2024/6/3 7:25,,0.39,,0.21,,0.35
2024/5/28 8:28,,0.34,,0.26,0.36,
2024/5/20 7:10,,0.25,,0.32,1.4,
2024/5/17 14:16,-,-,-,-,,0.35
2024/5/14 8:30,,0.40,,0.33,,0.071
2024/5/6 8:57,,0.34,,0.38,,0.35
2024/4/29 7:20,,0.33,,0.31,,0.36
2024/4/22 7:27,,0.34,,0.21,0.79,
2024/4/20 6:52,-,-,-,-,2.9,
2024/4/15 7:17,,0.35,,0.24,,0.35
2024/4/8 7:54,,0.31,,0.33,,0.073
2024/4/1 8:09,,0.24,,0.33,,0.34
2024/3/25 7:38,,0.30,,0.33,,0.34
2024/3/19 7:30,,0.33,,0.36,,0.36
2024/3/11 8:12,,0.38,,0.37,0.10,
2024/3/4 8:11,,0.27,,0.33,,0.36
2024/3/1 7:47,-,-,-,-,,0.37
2024/2/26 7:19,,0.31,,0.35,,0.35
2024/2/19 7:35,,0.36,,0.32,,0.36
2024/2/12 7:30,,0.30,,0.27,,0.068
2024/2/5 8:00,,0.38,,0.33,,0.36
2024/1/29 7:59,,0.34,,0.36,,0.35
2024/1/24 8:00,,0.30,,0.29,,0.37
2024/1/15 7:31,,0.33,,0.29,,0.36
2024/1/8 7:48,,0.34,,0.34,0.11,
2024/1/3 7:55,,0.28,,0.26,,0.37
2023/12/25 7:30,,0.36,,0.20,,0.36
2023/12/18 7:37,,0.30,,0.30,,0.36
2023/12/11 7:36,,0.34,,0.31,0.081,
2023/12/4 7:36,,0.28,,0.32,,0.36
2023/11/27 7:32,,0.32,,0.30,,0.36
2023/11/20 7:22,,0.30,,0.30,0.60,
2023/11/13 7:15,,0.33,,0.30,0.16,
2023/11/6 7:14,,0.33,,0.24,,0.38
2023/11/2 14:19,-,-,-,-,0.12,
2023/11/1 7:37,,0.36,,0.27,,0.31
2023/10/23 7:40,,0.31,,0.23,,0.31
2023/10/16 7:49,,0.28,,0.31,0.56,
2023/10/9 7:39,,0.35,,0.32,0.25,
2023/10/5 14:28,-,-,-,-,,0.31
2023/10/2 7:13,,0.27,,0.34,,0.30
2023/9/25 7:11,,0.32,,0.35,,0.30
2023/9/18 7:37,,0.39,,0.30,,0.31
2023/9/11 7:00,,0.34,,0.31,0.097,
2023/9/4 7:22,,0.29,,0.29,0.88,
2023/8/30 7:50,,0.36,,0.28,1.5,
2023/8/26 7:29,-,-,-,-,0.065,
2023/8/24 15:52,-,-,-,-,,0.32
2023/8/21 7:05,,0.24,,0.32,,0.36
2023/8/14 7:28,,0.34,,0.26,,0.076
2023/8/7 7:10,,0.31,,0.34,,0.35
2023/7/31 6:48,,0.36,,0.30,,0.36
2023/7/24 7:42,,0.34,,0.36,,0.35
2023/7/17 7:29,,0.29,,0.27,,0.36
2023/7/10 7:32,,0.34,,0.33,0.091,
2023/7/3 7:21,,0.37,,0.31,,0.33
2023/6/26 7:33,,0.28,,0.29,,0.33
2023/6/19 7:57,,0.37,,0.28,0.089,
2023/6/12 7:28,,0.36,,0.36,,0.31
2023/6/5 7:28,,0.37,,0.31,,0.33
2023/5/29 7:33,,0.36,,0.28,,0.33
2023/5/22 7:18,,0.34,,0.33,,0.34
2023/5/15 7:15,,0.35,,0.33,,0.34
2023/5/10 7:27,,0.34,,0.36,,0.34
2023/5/1 7:16,,0.38,,0.28,,0.33
2023/4/24 7:28,,0.36,,0.39,,0.30
2023/4/17 7:27,,0.32,,0.34,,0.33
2023/4/10 7:23,,0.35,,0.36,,0.31
2023/4/3 7:45,,0.35,,0.27,,0.34
2023/3/27 7:26,,0.38,,0.29,,0.34
2023/3/20 7:25,,0.39,,0.36,,0.34
2023/3/13 7:28,,0.31,,0.33,,0.31
2023/3/6 7:35,,0.25,,0.34,,0.30
2023/2/27 7:21,,0.37,,0.30,,0.31
2023/2/20 7:27,,0.34,,0.34,,0.30
2023/2/13 7:58,,0.31,,0.34,,0.31
2023/2/6 7:20,,0.28,,0.27,,0.31
2023/1/30 7:26,,0.24,,0.30,,0.32
2023/1/23 7:29,,0.29,,0.33,,0.32
2023/1/18 7:25,,0.30,,0.34,,0.30
2023/1/9 7:24,,0.32,,0.33,,0.31
2023/1/2 7:56,,0.26,,0.36,,0.32
2022/12/26 7:24,,0.27,,0.25,,0.32
2022/12/19 7:30,,0.24,,0.33,,0.31
2022/12/12 7:23,,0.31,,0.28,,0.31
2022/12/5 7:24,,0.29,,0.32,,0.31
2022/11/28 7:21,,0.26,,0.31,,0.31
2022/11/21 7:35,,0.36,,0.32,,0.32
2022/11/14 7:31,,0.32,,0.30,,0.30
2022/11/7 7:25,,0.35,,0.33,,0.31
2022/10/31 7:28,,0.32,,0.25,,0.31
2022/10/24 7:28,,0.36,,0.33,,0.31
2022/10/17 7:35,,0.29,,0.31,,0.31
2022/10/12 7:23,,0.35,,0.30,,0.31
2022/10/3 7:28,,0.35,,0.31,,0.32
2022/9/26 7:36,,0.35,,0.34,,0.32
2022/9/19 7:46,,0.35,,0.38,,0.34
2022/9/12 7:20,,0.34,,0.29,,0.33
2022/9/5 7:10,,0.24,,0.28,,0.31
2022/8/29 7:18,,0.30,,0.26,,0.31
2022/8/22 7:23,,0.36,,0.35,,0.32
2022/8/17 8:04,,0.31,,0.39,,0.32
2022/8/8 7:05,,0.31,,0.34,,0.32
2022/8/1 7:11,,0.30,,0.31,,0.33
2022/7/25 7:05,,0.31,,0.34,,0.33
2022/7/18 7:58,,0.29,,0.27,,0.33
2022/7/14 7:08,,0.34,,0.29,0.41,
2022/7/4 7:59,,0.29,,0.36,,0.32
2022/6/27 7:23,,0.38,,0.35,,0.32
2022/6/20 7:18,,0.27,,0.35,,0.32
2022/6/13 7:16,,0.24,,0.36,0.45,
2022/6/10 7:28,,0.38,,0.36,,0.32
2022/5/30 7:20,,0.27,,0.36,,0.33
2022/5/23 7:13,,0.23,,0.31,,0.32
2022/5/16 7:23,,0.30,,0.31,,0.32
2022/5/9 7:06,,0.26,,0.30,,0.33
2022/5/2 7:12,,0.26,,0.33,,0.32
2022/4/25 7:25,,0.31,,0.29,,0.36
2022/4/20 7:17,,0.29,,0.31,,0.32
