File Creation Date,2025-04-14
Sampling Location,1.5km offshore south of 1F site (T-A3)

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/4/7 8:52,,0.29,,0.31,-,-
2025/3/31 7:52,,0.37,,0.33,-,-
2025/3/25 8:31,,0.29,,0.30,-,-
2025/3/18 8:18,,0.24,,0.30,-,-
2025/3/14 7:44,-,-,-,-,,0.37
2025/3/10 7:56,,0.33,,0.30,-,-
2025/3/3 8:21,,0.33,,0.29,,0.37
2025/2/24 7:37,,0.36,,0.29,,0.37
2025/2/17 7:54,,0.36,,0.30,,0.37
2025/2/10 8:07,,0.30,,0.25,,0.075
2025/2/3 7:55,,0.36,,0.25,,0.36
2025/1/29 8:07,,0.27,,0.21,,0.36
2025/1/20 8:08,,0.29,,0.26,,0.37
2025/1/13 7:55,,0.30,,0.25,0.093,
2025/1/6 7:43,,0.27,,0.31,,0.36
2024/12/30 7:51,,0.27,,0.29,,0.36
2024/12/23 7:36,,0.28,,0.29,,0.37
2024/12/16 7:34,,0.37,,0.35,,0.36
2024/12/9 8:01,,0.32,,0.32,0.077,
2024/12/2 7:46,,0.33,,0.31,0.37,
2024/11/25 8:05,,0.36,,0.32,,0.36
2024/11/18 7:58,,0.38,,0.37,,0.35
2024/11/11 8:01,,0.28,,0.28,0.16,
2024/11/4 7:43,,0.30,,0.22,,0.36
2024/10/28 8:05,,0.39,,0.24,0.51,
2024/10/21 7:55,,0.29,,0.30,,0.36
2024/10/17 14:29,-,-,-,-,,0.34
2024/10/14 7:53,,0.27,,0.33,0.12,
2024/10/7 8:01,,0.33,,0.26,3.4,
2024/9/30 7:58,,0.32,,0.33,1.7,
2024/9/27 7:25,-,-,-,-,0.46,
2024/9/25 7:56,,0.29,,0.32,,0.36
2024/9/18 7:53,,0.36,,0.36,,0.35
2024/9/9 7:56,,0.26,,0.31,0.14,
2024/9/2 7:44,,0.33,,0.30,,0.36
2024/8/26 7:43,,0.25,,0.32,,0.34
2024/8/19 7:42,,0.31,,0.32,0.40,
2024/8/14 7:56,,0.29,,0.31,0.13,
2024/8/8 7:47,-,-,-,-,,0.35
2024/8/5 7:46,,0.26,,0.32,,0.35
2024/7/29 7:36,,0.31,,0.29,,0.36
2024/7/22 7:30,,0.36,,0.22,,0.35
2024/7/15 7:40,,0.30,,0.28,,0.35
2024/7/8 8:22,,0.36,,0.35,0.70,
2024/7/1 8:12,,0.37,,0.25,,0.35
2024/6/28 13:57,-,-,-,-,,0.35
2024/6/24 8:04,,0.31,,0.26,,0.37
2024/6/17 7:50,,0.36,,0.31,,0.36
2024/6/10 7:51,,0.32,,0.33,,0.071
2024/6/3 7:58,,0.29,,0.31,,0.35
2024/5/28 8:57,,0.31,,0.25,,0.35
2024/5/20 7:39,,0.26,,0.32,0.78,
2024/5/17 14:27,-,-,-,-,,0.35
2024/5/14 8:54,,0.25,,0.30,,0.071
2024/5/6 8:31,,0.30,,0.26,,0.35
2024/4/29 7:42,,0.25,,0.27,,0.36
2024/4/22 7:46,,0.25,,0.30,3.2,
2024/4/20 7:04,-,-,-,-,,0.36
2024/4/15 7:49,,0.33,,0.23,,0.35
2024/4/8 8:33,,0.38,,0.34,,0.073
2024/4/1 8:24,,0.31,,0.24,,0.34
2024/3/25 7:53,,0.34,,0.30,0.34,
2024/3/19 7:44,,0.35,,0.40,,0.36
2024/3/11 8:27,,0.28,,0.31,0.11,
2024/3/4 8:27,,0.34,,0.34,,0.36
2024/3/1 8:00,-,-,-,-,,0.37
2024/2/26 7:35,,0.37,,0.35,,0.35
2024/2/19 7:20,,0.38,,0.33,,0.36
2024/2/12 7:45,,0.26,,0.29,,0.068
2024/2/5 8:16,,0.28,,0.22,,0.36
2024/1/29 8:18,,0.40,,0.29,,0.35
2024/1/24 8:20,,0.30,,0.32,,0.37
2024/1/15 7:45,,0.29,,0.24,,0.36
2024/1/8 8:03,,0.27,,0.32,0.079,
2024/1/3 8:10,,0.23,,0.29,,0.37
2023/12/25 7:45,,0.38,,0.28,,0.36
2023/12/18 7:53,,0.31,,0.39,,0.36
2023/12/11 7:53,,0.30,,0.32,0.13,
2023/12/4 7:51,,0.34,,0.27,,0.36
2023/11/27 7:47,,0.29,,0.33,,0.36
2023/11/20 7:34,,0.38,,0.32,0.37,
2023/11/13 7:26,,0.33,,0.23,0.15,
2023/11/6 7:02,,0.33,,0.31,,0.39
2023/11/2 14:32,-,-,-,-,,0.31
2023/11/1 7:52,,0.33,,0.30,,0.32
2023/10/23 7:59,,0.39,,0.30,,0.32
2023/10/16 8:05,,0.34,,0.34,0.80,
2023/10/9 8:05,,0.27,,0.29,,0.073
2023/10/5 14:46,-,-,-,-,,0.30
2023/10/2 7:31,,0.27,,0.28,,0.30
2023/9/25 7:35,,0.28,,0.26,,0.29
2023/9/18 7:20,,0.27,,0.31,,0.31
2023/9/11 6:40,,0.36,,0.30,0.16,
2023/9/4 7:03,,0.30,,0.32,0.82,
2023/8/30 7:30,,0.30,,0.26,1.1,
2023/8/26 7:15,-,-,-,-,,0.072
2023/8/24 15:38,-,-,-,-,,0.32
2023/8/21 7:20,,0.39,,0.30,,0.36
2023/8/14 7:12,,0.38,,0.32,,0.069
2023/8/7 6:54,,0.39,,0.28,,0.35
