File Creation Date,2025-06-02
Sampling Location,2F north discharge (T-3)

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/5/7 9:28,,0.0013,0.015,,-,-
2025/4/28 10:05,,0.0012,0.0086,,-,-
2025/4/22 9:50,,0.0011,0.011,,0.69,
2025/4/15 9:25,,0.0014,0.036,,,0.34
2025/4/8 10:45,,0.0012,0.012,,,0.067
2025/4/1 10:00,,0.0012,0.0085,,0.48,
2025/3/25 11:45,,0.0012,0.0084,,,0.37
2025/3/18 11:11,,0.0013,0.012,,,0.38
2025/3/10 11:30,,0.0012,0.012,,0.085,
2025/3/4 12:20,,0.0010,0.0062,,,0.36
2025/2/25 11:16,,0.0011,0.0063,,,0.37
2025/2/18 11:20,,0.0014,0.0055,,,0.39
2025/2/10 10:52,,0.0012,0.0043,,,0.071
2025/2/4 12:25,,0.0014,0.0068,,,0.36
2025/1/28 10:20,,0.0012,0.019,,,0.37
2025/1/21 11:25,,0.0012,0.0050,,,0.36
2025/1/14 12:05,,0.0013,0.0078,,,0.082
2025/1/7 11:25,,0.0011,0.0066,,,0.37
2024/12/30 9:35,,0.0010,0.0077,,,0.37
2024/12/24 11:45,,0.0012,0.0057,,,0.38
2024/12/17 11:15,,0.0013,0.0044,,,0.36
2024/12/10 11:45,,0.0012,0.0067,,0.098,
2024/12/3 11:30,,0.0012,0.0066,,,0.36
2024/11/26 11:20,,0.0013,0.0069,,,0.36
2024/11/19 11:30,,0.0013,0.012,,,0.36
2024/11/12 12:45,,0.0014,0.012,,0.17,
2024/11/5 14:20,,0.0014,0.020,,0.79,
2024/10/30 11:50,,0.0011,0.022,,0.45,
2024/10/22 11:52,,0.0012,0.016,,,0.36
2024/10/15 12:40,,0.0010,0.033,,,0.37
2024/10/7 11:00,,0.0010,0.016,,0.37,
2024/10/1 12:45,,0.0010,0.014,,,0.34
2024/9/24 9:50,,0.0011,0.035,,,0.35
2024/9/17 9:40,,0.0013,0.017,,,0.34
2024/9/10 10:58,,0.0011,0.015,,0.088,
2024/9/3 10:20,,0.0012,0.012,,,0.34
2024/8/27 9:30,,0.0013,0.013,,,0.35
2024/8/20 9:35,,0.0012,0.022,,,0.36
2024/8/13 9:25,,0.0011,0.020,,0.13,
2024/8/6 9:15,,0.0012,0.018,,,0.36
2024/7/30 11:30,,0.0011,0.015,,,0.35
2024/7/23 11:50,,0.0012,0.043,,,0.35
2024/7/16 12:00,,0.0011,0.016,,,0.34
2024/7/9 11:45,,0.0012,0.030,,0.19,
2024/7/2 12:20,,0.0012,0.013,,,0.35
2024/6/25 11:35,,0.0012,0.012,,,0.34
2024/6/18 12:05,,0.0012,0.016,,,0.33
2024/6/11 11:20,,0.0012,0.013,,0.082,
2024/6/4 11:40,,0.0013,0.024,,,0.34
2024/5/28 11:40,,0.0011,0.021,,,0.34
2024/5/21 11:45,,0.0012,0.014,,,0.33
2024/5/14 11:15,,0.0011,0.023,,0.095,
2024/5/10 11:50,,0.0014,0.018,,,0.33
2024/4/30 11:45,,0.0013,0.013,,,0.33
2024/4/23 11:20,,0.0011,0.024,,0.56,
2024/4/16 11:40,,0.0013,0.020,,,0.33
2024/4/9 13:25,,0.0011,0.034,,,0.072
2024/4/2 11:30,,0.0014,0.023,,,0.32
2024/3/26 11:35,,0.0013,0.024,,,0.33
2024/3/19 11:35,,0.0012,0.027,,,0.33
2024/3/12 11:55,,0.0013,0.032,,0.29,
2024/3/5 12:10,,0.0013,0.061,,,0.34
2024/2/29 11:50,0.0015,,0.11,,,0.35
2024/2/20 11:25,,0.0011,0.013,,,0.33
2024/2/13 11:25,,0.0011,0.0079,,,0.068
2024/2/7 11:10,,0.0010,0.015,,,0.32
2024/1/30 11:30,,0.0013,0.030,,,0.33
2024/1/23 11:30,,0.0012,0.067,,,0.33
2024/1/16 11:50,,0.0010,0.0050,,,0.33
2024/1/9 11:40,,0.0012,0.0073,,,0.072
2024/1/4 11:35,,0.0010,0.0062,,,0.34
2023/12/26 11:50,,0.0013,0.0054,,,0.34
2023/12/19 12:40,,0.0010,0.0077,,,0.34
2023/12/13 11:10,,0.0013,0.014,,0.12,
2023/12/5 11:15,,0.0012,0.012,,,0.33
2023/11/28 11:20,,0.0011,0.012,,,0.34
2023/11/21 10:50,,0.0013,0.014,,,0.33
2023/11/14 11:20,,0.0012,0.014,,0.30,
2023/11/7 14:20,,0.0012,0.023,,,0.34
2023/10/31 11:20,,0.0012,0.038,,,0.34
2023/10/24 11:20,,0.0011,0.017,,,0.34
2023/10/16 9:55,,0.0013,0.024,,,0.34
