File Creation Date,2025-12-11
Sampling Location,"Ukedo Port, south side (T-6)"

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/11/11 7:13,,0.0012,0.0076,,-,-
2025/11/4 7:10,,0.0013,0.014,,,0.33
2025/10/28 7:30,,0.0013,0.013,,,0.32
2025/10/21 7:30,,0.0014,0.010,,,0.33
2025/10/14 7:05,,0.0013,0.0082,,-,-
2025/10/7 7:10,,0.0014,0.011,,,0.32
2025/9/30 7:14,,0.0011,0.012,,,0.33
2025/9/24 6:43,,0.0012,0.010,,0.79,
2025/9/16 7:20,,0.0012,0.010,,,0.33
2025/9/9 7:00,,0.0012,0.011,,0.090,
2025/9/2 7:18,,0.0011,0.010,,,0.33
2025/8/26 7:05,,0.0013,0.0098,,,0.34
2025/8/19 6:35,,0.0012,0.0080,,0.43,
2025/8/12 6:40,,0.0012,0.0082,,0.20,
2025/8/5 6:30,,0.0011,0.011,,,0.33
2025/7/29 6:55,,0.0012,0.010,,,0.34
2025/7/22 6:54,,0.0011,0.0063,,,0.33
2025/7/17 7:15,,0.0012,0.017,,,0.32
2025/7/8 6:55,,0.0012,0.0080,,0.095,
2025/7/1 7:25,,0.0011,0.0075,,,0.34
2025/6/24 7:05,,0.0013,0.0061,,,0.34
2025/6/17 7:15,,0.0012,0.0065,,,0.32
2025/6/10 6:50,,0.0015,0.0078,,0.088,
2025/6/3 6:50,,0.0013,0.018,,,0.32
2025/5/27 7:05,,0.0014,0.0058,,,0.33
2025/5/20 6:52,,0.0012,0.0072,,,0.33
2025/5/13 7:10,,0.0012,0.0066,,0.084,
2025/5/7 7:05,,0.0012,0.011,,,0.33
2025/4/28 7:35,,0.0013,0.011,,,0.32
2025/4/22 7:15,,0.0011,0.0067,,,0.33
2025/4/15 7:00,,0.0012,0.019,,0.69,
2025/4/8 7:40,,0.0012,0.0072,,,0.068
2025/4/1 7:40,,0.0013,0.0062,,,0.34
2025/3/25 14:25,,0.0014,0.0066,,0.81,
2025/3/18 12:22,,0.0011,0.0078,,,0.38
2025/3/10 12:50,,0.0013,0.0073,,0.089,
2025/3/4 15:00,,0.0012,0.0095,,,0.36
2025/2/25 12:25,,0.0012,0.0089,,,0.37
2025/2/18 12:40,,0.0013,0.0074,,,0.39
2025/2/10 12:12,,0.0010,0.0068,,,0.071
2025/2/4 14:50,,0.0014,0.012,,,0.36
2025/1/28 12:35,,0.0011,0.0081,,,0.37
2025/1/21 12:45,,0.0014,0.012,,,0.36
2025/1/14 13:15,,0.0012,0.0084,,,0.082
2025/1/7 12:35,,0.0012,0.0072,,,0.37
2024/12/30 7:15,,0.0013,0.0090,,,0.37
2024/12/24 13:00,,0.0013,0.0040,,,0.37
2024/12/17 12:30,,0.0012,0.0043,,,0.36
2024/12/10 14:45,,0.0012,0.0085,,,0.080
2024/12/3 12:45,,0.0011,0.0099,,,0.36
2024/11/26 12:30,,0.0011,0.0083,,,0.36
2024/11/19 14:00,,0.0013,0.0093,,,0.36
2024/11/12 10:05,,0.0012,0.011,,,0.068
2024/11/5 10:12,,0.0014,0.019,,1.2,
2024/10/30 10:00,,0.0012,0.019,,,0.35
2024/10/22 9:55,,0.0013,0.0086,,,0.36
2024/10/15 10:07,,0.0012,0.012,,,0.37
2024/10/7 13:40,,0.0012,0.0091,,0.23,
2024/10/1 10:20,,0.0012,0.016,,,0.34
2024/9/24 6:35,,0.0013,0.017,,,0.35
2024/9/17 6:25,,0.0012,0.0074,,,0.34
2024/9/10 8:06,,0.0013,0.0064,,0.074,
2024/9/3 7:05,,0.0013,0.015,,,0.34
2024/8/27 6:15,,0.0012,0.013,,,0.35
2024/8/20 6:17,,0.0012,0.012,,,0.35
2024/8/13 6:20,,0.0011,0.024,,0.12,
2024/8/6 6:30,,0.0013,0.011,,,0.37
2024/7/30 10:05,,0.0012,0.0065,,,0.35
2024/7/23 9:55,,0.0012,0.0068,,,0.36
2024/7/16 10:10,,0.0012,0.0058,,,0.35
2024/7/9 10:05,,0.0013,0.012,,0.43,
2024/7/2 10:25,,0.0014,0.0086,,,0.35
2024/6/25 10:10,,0.0012,0.0093,,,0.34
2024/6/18 10:25,,0.0013,0.012,,,0.34
2024/6/11 9:55,,0.0013,0.018,,,0.070
2024/6/4 10:05,,0.0013,0.015,,,0.34
2024/5/28 9:55,,0.0013,0.021,,,0.34
2024/5/21 10:15,,0.0013,0.013,,,0.33
2024/5/14 9:55,,0.0011,0.013,,,0.069
2024/5/10 10:05,,0.0014,0.0088,,,0.33
2024/4/30 10:00,,0.0013,0.020,,,0.33
2024/4/23 9:50,,0.0014,0.013,,,0.34
2024/4/16 10:00,,0.0012,0.017,,,0.33
2024/4/9 9:55,,0.0014,0.017,,,0.073
2024/4/2 10:10,,0.0013,0.015,,,0.32
2024/3/26 10:00,,0.0010,0.021,,,0.33
2024/3/19 9:55,,0.00084,0.011,,,0.34
2024/3/12 10:00,,0.0013,0.027,,1.2,
2024/3/5 10:30,,0.0013,0.027,,0.59,
2024/2/29 10:00,,0.0012,0.048,,,0.34
2024/2/20 9:55,,0.0013,0.021,,,0.33
2024/2/13 9:50,,0.0014,0.013,,,0.069
2024/2/7 9:50,,0.0011,0.024,,,0.33
2024/1/30 10:00,,0.0013,0.017,,,0.33
2024/1/23 9:55,,0.0013,0.058,,,0.33
2024/1/16 10:05,,0.0013,0.0070,,,0.33
2024/1/9 9:45,,0.0014,0.0096,,,0.054
2024/1/4 9:50,,0.0013,0.014,,,0.34
2023/12/26 9:25,,0.0011,0.0042,,,0.34
2023/12/19 10:25,,0.0012,0.0057,,,0.34
2023/12/13 9:50,,0.0011,0.023,,,0.071
2023/12/5 9:45,,0.0013,0.012,,,0.33
2023/11/28 9:55,,0.0011,0.015,,,0.34
2023/11/21 9:40,,0.0011,0.010,,0.60,
2023/11/14 9:55,,0.0010,0.012,,1.4,
2023/11/7 12:45,,0.0013,0.045,,0.52,
2023/10/31 9:40,,0.0013,0.068,,,0.34
2023/10/24 9:45,,0.0012,0.017,,0.92,
2023/10/16 14:40,,0.0012,0.050,,0.81,
2023/10/10 10:00,,0.0013,0.046,,0.11,
2023/10/3 10:05,,0.0012,0.026,,,0.35
2023/9/26 9:40,,0.0012,0.036,,,0.35
2023/9/19 9:45,,0.0012,0.011,,,0.34
2023/9/13 10:00,,0.0011,0.047,,0.099,
2023/9/5 9:55,,0.0013,0.022,,,0.33
2023/8/29 9:55,,0.0012,0.012,,,0.34
2023/8/22 9:45,,0.0010,0.016,,,0.34
2023/8/15 9:50,,0.0012,0.020,,0.084,
2023/8/8 10:10,,0.0012,0.014,,,0.34
2023/8/1 10:40,,0.0012,0.013,,,0.36
2023/7/25 9:45,,0.0012,0.011,,,0.36
2023/7/18 10:05,,0.0013,0.011,,,0.35
2023/7/11 10:00,,0.0013,0.0094,,0.094,
2023/7/4 10:00,,0.0013,0.0094,,,0.36
2023/6/27 10:00,,0.0013,0.0067,,,0.36
2023/6/20 9:50,,0.0014,0.011,,,0.073
2023/6/13 10:00,,0.0013,0.0082,,,0.35
2023/6/6 9:55,,0.0014,0.014,,,0.35
2023/5/30 9:40,,0.0012,0.011,,,0.35
2023/5/23 9:40,,0.0011,0.0085,,,0.36
2023/5/16 9:45,,0.0012,0.013,,,0.36
2023/5/9 9:35,,0.0014,0.012,,,0.35
2023/5/2 10:10,,0.0012,0.014,,,0.35
