File Creation Date,2025-12-05
Sampling Location,3km offshore of Ukedo River (T-D1)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/11/12 9:16,,0.0012,0.0029,,-,-,2025/11/12 9:16,,0.0012,0.0059,
2025/10/29 8:17,,0.0010,0.0033,,,0.32,2025/10/29 8:17,,0.0011,0.0031,
2025/10/20 8:03,,0.0012,0.0038,,,0.33,2025/10/20 8:03,,0.0013,0.0033,
2025/10/16 7:33,,0.0013,0.0035,,-,-,2025/10/16 7:33,,0.0014,0.0029,
2025/10/8 8:39,,0.0010,0.0065,,,0.32,2025/10/8 8:39,,0.0011,0.0034,
2025/9/30 8:09,,0.0012,0.0028,,,0.33,2025/9/30 8:09,,0.0011,0.0032,
2025/9/22 8:19,,0.0012,0.0012,,,0.32,2025/9/22,,0.0012,0.0021,
2025/9/17 8:15,,0.0012,0.0025,,,0.33,2025/9/17,,0.0011,0.0018,
2025/9/9 7:50,,0.0011,0.0018,,0.10,,2025/9/9,,0.0011,0.0022,
2025/9/1 8:27,,0.0012,0.0022,,,0.33,2025/9/1 8:27,,0.0011,0.0021,
2025/8/25 9:22,,0.0012,0.0020,,,0.33,2025/8/25 9:22,,0.0013,0.0021,
2025/8/18 8:13,,0.0014,0.0030,,,0.32,2025/8/18 8:13,,0.0012,0.0018,
2025/8/14 8:14,,0.0012,0.0029,,0.096,,2025/8/14 8:14,,0.0012,0.0027,
2025/8/4 8:48,,0.0012,0.0025,,,0.33,2025/8/4 8:48,,0.0012,0.0059,
2025/7/28 8:22,,0.0012,0.0024,,0.38,,2025/7/28 8:22,,0.0013,0.0025,
2025/7/22 8:55,,0.0011,0.0016,,,0.063,2025/7/22 8:55,,0.0010,0.0033,
2025/7/7 8:43,,0.0012,0.0020,,,0.33,2025/7/7 8:43,,0.0012,0.0023,
2025/7/1 8:01,,0.0011,0.0023,,,0.34,2025/7/1 8:01,,0.0011,0.0018,
