File Creation Date,2025-08-18
Sampling Location,15km offshore of 1F site (T-5)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/7/7 7:59,,0.0011,0.0015,,,0.33,2025/7/7 7:59,,0.0012,0.0017,
2025/7/2 7:51,,0.0010,0.0017,,,0.33,2025/7/2 7:51,,0.0011,0.0015,
2025/6/27 8:09,,0.0012,0.0013,,,0.34,2025/6/27 8:09,,0.0013,0.0019,
2025/6/16 7:41,,0.0013,,0.0012,,0.32,2025/6/16 7:41,,0.0012,0.0015,
2025/6/9 7:36,,0.0013,0.0020,,,0.064,2025/6/9 7:36,,0.0011,0.0020,
2025/6/3 7:48,,0.0014,0.0033,,,0.32,2025/6/3 7:48,,0.0013,0.0021,
2025/5/29 7:42,,0.0012,0.0020,,,0.33,2025/5/29 7:42,,0.0013,0.0024,
2025/5/23 7:37,,0.0013,0.0016,,,0.32,2025/5/23 7:37,,0.0013,0.0020,
2025/5/12 7:29,,0.0013,0.0022,,0.099,,2025/5/12 7:29,,0.0011,0.0016,
2025/5/8 7:49,,0.0010,0.0015,,,0.33,2025/5/8 7:49,,0.0010,0.0029,
2025/4/28 7:32,,0.0014,0.0023,,,0.33,2025/4/28 7:32,,0.0012,0.0016,
2025/4/22 7:40,,0.0012,0.0017,,,0.33,2025/4/22 7:40,,0.0012,0.0013,
2025/4/18 7:25,,0.0011,0.0023,,,0.070,2025/4/18 7:25,,0.0012,0.0027,
2025/4/8 7:41,,0.0014,0.0045,,,0.34,2025/4/8 7:41,,0.0013,0.0016,
2025/3/24 7:34,,0.0012,0.0018,,,0.35,2025/3/24 7:34,,0.0010,0.0012,
2025/3/18 7:36,,0.0012,0.0013,,,0.38,2025/3/18 7:36,,0.0010,0.0013,
2025/3/10 7:40,,0.0010,0.0015,,,0.074,2025/3/10 7:40,,0.0011,0.0012,
2025/3/4 8:22,,0.0011,0.0021,,,0.36,2025/3/4 8:22,,0.0010,0.0011,
2025/2/25 7:43,,0.0011,0.0013,,,0.37,2025/2/25 7:43,,0.0012,0.0025,
2025/2/17 7:47,,0.0014,0.0013,,,0.39,2025/2/17 7:47,,0.0010,0.0017,
2025/2/10 7:32,,0.0012,0.0022,,,0.071,2025/2/10 7:32,,0.0013,0.0018,
2025/2/3 8:14,,0.0013,0.0018,,,0.39,2025/2/3 8:14,,0.0010,0.0021,
2025/1/28 7:49,,0.0012,0.0022,,,0.37,2025/1/28 7:49,,0.0014,0.0021,
2025/1/20 7:30,,0.0011,0.0020,,,0.081,2025/1/20 7:30,,0.0011,0.0018,
2025/1/6 7:26,,0.0012,0.0019,,,0.37,2025/1/6 7:26,,0.0013,0.0028,
2024/12/30 7:29,,0.0012,0.0017,,,0.37,2024/12/30 7:29,,0.0013,0.0013,
2024/12/25 7:30,,0.0012,0.0018,,,0.36,2024/12/25 7:30,,0.0013,0.0017,
2024/12/16 8:51,,0.0012,0.0013,,,0.36,2024/12/16 8:51,,0.0011,0.0032,
2024/12/9 8:02,,0.0012,0.0013,,0.093,,2024/12/9 8:02,,0.0010,0.0023,
2024/12/2 7:48,,0.0011,0.0017,,,0.36,2024/12/2 7:48,,0.0011,0.0015,
2024/11/22 7:39,,0.0013,0.0020,,,0.072,2024/11/22 7:39,,0.0014,0.0020,
2024/11/9 7:29,,0.0012,0.0029,,,0.34,2024/11/9 7:29,,0.0013,0.0018,
2024/10/28 7:36,,0.0013,0.0016,,,0.35,2024/10/28 7:36,,0.0013,0.0016,
2024/10/21 8:43,,0.0012,0.0017,,,0.34,2024/10/21 8:43,,0.0014,0.0022,
2024/10/15 8:28,,0.0011,0.0018,,,0.37,2024/10/15 8:28,,0.0012,0.0028,
2024/10/7 8:30,,0.0011,0.0015,,,0.073,2024/10/7 8:30,,0.0012,0.0018,
2024/10/4 6:48,,0.0014,0.0015,,,0.34,2024/10/4 6:48,,0.0012,0.0015,
2024/9/18 7:34,,0.00099,0.0010,,,0.34,2024/9/18 7:34,,0.0011,0.0013,
2024/9/9 7:34,,0.0012,0.0015,,,0.068,2024/9/9 7:34,,0.0012,0.0015,
2024/9/5 8:54,,0.0010,0.0014,,,0.35,2024/9/5 8:54,,0.0012,0.0017,
2024/8/29 7:29,,0.0013,0.0015,,,0.35,2024/8/29 7:29,,0.0013,0.0017,
2024/8/19 7:41,,0.0012,0.0026,,,0.35,2024/8/19 7:41,,0.0013,0.0015,
2024/8/13 7:35,,0.0013,0.0023,,,0.068,2024/8/13 7:35,,0.0013,0.0021,
2024/8/6 7:44,,0.0013,0.0014,,,0.37,2024/8/6 7:44,,0.0013,0.0021,
2024/7/29 8:19,,0.0013,0.0017,,,0.35,2024/7/29 8:19,,0.0012,0.0024,
2024/7/22 7:29,,0.0012,0.0013,,,0.36,2024/7/22 7:29,,0.0014,0.0020,
2024/7/19 7:24,,0.0012,0.0025,,,0.34,2024/7/19 7:24,,0.0013,0.0020,
2024/7/8 8:08,,0.0011,0.0024,,0.074,,2024/7/8 8:08,,0.0011,0.0015,
2024/7/2 8:15,,0.0014,0.0029,,,0.35,2024/7/2 8:15,,0.0013,0.0050,
2024/6/24 8:04,,0.0012,0.0023,,,0.34,2024/6/24 8:04,,0.0011,0.0023,
2024/6/18 7:19,,0.0012,0.0025,,,0.33,2024/6/18 7:19,,0.0012,0.0023,
2024/6/12 7:21,,0.0014,0.0021,,,0.070,2024/6/12 7:21,,0.0010,0.0018,
2024/6/6 8:27,,0.0012,0.0031,,,0.35,2024/6/6 8:27,,0.0013,0.0029,
2024/5/30 6:04,,0.0013,0.0020,,,0.33,2024/5/30 6:04,,0.0014,0.0019,
2024/5/20 8:12,,0.0013,0.0021,,,0.33,2024/5/20 8:12,,0.0013,0.0033,
2024/5/16 7:23,,0.0013,0.0020,,,0.069,2024/5/16 7:23,,0.0012,0.0028,
2024/5/10 8:20,,0.0013,0.0020,,,0.32,2024/5/10 8:20,,0.0014,0.0027,
2024/4/29 7:08,,0.0013,0.0016,,,0.33,2024/4/29 7:08,,0.0013,0.0022,
2024/4/22 7:20,,0.0011,0.0017,,,0.34,2024/4/22 7:20,,0.0010,0.0016,
2024/4/15 7:21,,0.0012,0.0026,,,0.33,2024/4/15 7:21,,0.0013,0.0022,
2024/4/8 7:13,,0.0012,0.0017,,,0.073,2024/4/8 7:13,,0.0013,0.0015,
2024/4/3 7:31,,0.0013,0.0020,,,0.33,2024/4/3 7:31,,0.0014,0.0026,
