File Creation Date,2025-06-26
Sampling Location,Near Iwasawa shore of 2F (T-4)

Sea surface to a depth of 0.5 m,,,,
,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND
2025/6/3 8:00,,0.0013,0.016,
2025/5/27 8:19,,0.0014,0.0076,
2025/5/20 8:06,,0.0012,0.0083,
2025/5/13 8:20,,0.0012,0.0054,
2025/5/7 8:20,,0.0013,0.011,
2025/4/28 8:58,,0.0012,0.0075,
2025/4/22 8:52,,0.0010,0.0052,
2025/4/15 8:18,,0.0013,0.0097,
2025/4/8 9:00,,0.0012,0.0093,
2025/4/1 9:00,,0.0013,0.0059,
2025/3/25 9:55,,0.0012,0.0060,
2025/3/18 9:48,,0.0012,0.015,
2025/3/10 10:00,,0.0014,0.0095,
2025/3/4 10:05,,0.0011,0.0047,
2025/2/25 9:58,,0.0013,0.0045,
2025/2/18 10:15,,0.0011,0.0037,
2025/2/10 9:45,,0.0014,0.0077,
2025/2/4 10:20,,0.0014,0.0064,
2025/1/28 11:10,,0.0010,0.013,
2025/1/21 9:40,,0.0014,0.0048,
2025/1/14 10:00,,0.0014,0.0053,
2025/1/7 10:15,,0.0012,0.0065,
2024/12/30 8:30,,0.0013,0.0057,
2024/12/24 9:48,,0.0013,0.0058,
2024/12/17 10:00,,0.0012,0.0038,
2024/12/10 9:55,,0.0012,0.0045,
2024/12/3 10:00,,0.0012,0.011,
2024/11/26 9:48,,0.0014,0.0084,
2024/11/19 10:00,,0.0014,0.010,
2024/11/12 11:20,,0.0014,0.0067,
2024/11/5 11:20,,0.0014,0.010,
2024/10/29 11:35,,0.0011,0.014,
2024/10/22 13:43,,0.0013,0.0082,
2024/10/15 11:28,,0.0011,0.030,
2024/10/7 12:20,,0.0011,0.013,
2024/10/1 14:30,,0.0012,0.012,
2024/9/24 8:00,,0.0012,0.021,
2024/9/17 7:50,,0.0014,0.0082,
2024/9/10 12:10,,0.0012,0.0072,
2024/9/3 8:45,,0.0012,0.0065,
2024/8/27 7:30,,0.0014,0.0094,
2024/8/20 7:30,,0.0014,0.016,
2024/8/13 7:35,,0.0012,0.0079,
2024/8/6 7:45,,0.0013,0.0078,
2024/7/30 13:45,,0.0012,0.0054,
2024/7/23 14:05,,0.0014,0.0084,
2024/7/16 14:35,,0.0012,0.0068,
2024/7/9 14:00,,0.0014,0.010,
2024/7/2 14:50,,0.0012,0.0058,
2024/6/25 13:55,,0.0013,0.012,
2024/6/18 14:10,,0.0012,0.0074,
2024/6/11 13:35,,0.0012,0.018,
2024/6/4 14:00,,0.0013,0.014,
2024/5/28 14:05,,0.0012,0.0053,
2024/5/21 14:15,,0.0013,0.0059,
2024/5/14 13:40,,0.0012,0.0083,
2024/5/10 14:05,,0.0012,0.012,
2024/4/30 13:40,,0.0013,0.011,
2024/4/23 13:35,,0.0012,0.011,
2024/4/16 14:25,,0.0014,0.015,
2024/4/9 14:15,,0.0012,0.038,
2024/4/2 13:35,,0.0014,0.018,
2024/3/26 14:00,,0.0013,0.015,
2024/3/19 13:55,,0.0014,0.020,
2024/3/12 14:05,,0.0012,0.016,
2024/3/5 14:25,,0.0013,0.030,
2024/2/29 14:10,,0.0013,0.071,
2024/2/20 13:40,,0.0013,0.0066,
2024/2/13 13:35,,0.0013,0.014,
2024/2/7 13:30,,0.0011,0.023,
2024/1/30 13:40,,0.0014,0.018,
2024/1/23 13:30,,0.0012,0.042,
2024/1/16 14:05,,0.0014,0.0052,
2024/1/9 13:30,,0.0012,0.0068,
2024/1/4 13:30,,0.0011,0.0068,
2023/12/26 13:50,,0.0014,0.0044,
2023/12/19 14:40,,0.0012,0.0056,
2023/12/13 13:25,,0.00087,0.012,
2023/12/5 13:30,,0.0013,0.011,
2023/11/28 13:25,,0.0012,0.0075,
2023/11/21 13:00,,0.0013,0.012,
2023/11/14 13:30,,0.0011,0.018,
2023/11/7 15:10,,0.0012,0.011,
2023/10/31 13:25,,0.0013,0.056,
2023/10/24 13:30,,0.0014,0.0088,
2023/10/16 13:30,,0.0013,0.023,
2023/10/10 14:15,,0.0013,0.020,
2023/10/3 13:45,,0.0011,0.014,
2023/9/26 13:10,,0.0012,0.012,
2023/9/19 13:20,,0.0013,0.020,
2023/9/13 13:30,,0.0012,0.023,
2023/9/5 14:05,,0.0013,0.0093,
2023/8/29 13:25,,0.0012,0.011,
2023/8/22 13:30,,0.0011,0.0099,
2023/8/15 13:35,,0.0011,0.0093,
2023/8/8 13:45,,0.0014,0.011,
2023/8/1 14:00,,0.0012,0.043,
2023/7/25 13:50,,0.0011,0.0075,
2023/7/18 13:40,,0.0014,0.0080,
2023/7/11 13:25,,0.0012,0.011,
2023/7/4 13:30,,0.0012,0.0072,
2023/6/27 13:30,,0.0012,0.0079,
2023/6/20 13:25,,0.0013,0.0095,
2023/6/13 13:25,,0.0013,0.0073,
2023/6/6 13:10,,0.0012,0.0074,
2023/5/30 13:10,,0.0011,0.0089,
2023/5/23 13:15,,0.0014,0.010,
2023/5/16 13:30,,0.0012,0.011,
2023/5/9 13:05,,0.0013,0.021,
2023/5/2 13:45,,0.0012,0.0066,
2023/4/25 13:05,,0.0012,0.0063,
2023/4/18 13:25,,0.0013,0.0076,
2023/4/11 14:05,,0.0012,0.0080,
