File Creation Date,2025-05-28
Sampling Location,3km offshore of Odaka District (T-14)

Sea surface to a depth of 0.5 m,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/5/12 7:49,,0.0014,0.0020,,2025/5/12 7:49,,0.0014,0.0023,
2025/5/8 8:55,,0.0014,0.0025,,2025/5/8 8:55,,0.0014,0.0025,
2025/4/28 7:47,,0.0014,0.0029,,2025/4/28 7:47,,0.0014,0.0028,
2025/4/25 7:42,,0.0014,0.0019,,2025/4/25 7:42,,0.0014,0.0030,
2025/4/17 8:01,,0.0014,0.0046,,2025/4/17 8:01,,0.0014,0.0048,
2025/4/7 7:55,,0.0014,0.0033,,2025/4/7 7:55,,0.0014,0.0024,
2025/3/24 7:44,,0.0014,0.0022,,2025/3/24 7:44,,0.0014,0.0018,
2025/3/18 7:55,,0.0012,0.0029,,2025/3/18 7:55,,0.0014,0.0029,
2025/3/10 8:01,,0.0014,0.0024,,2025/3/10 8:01,,0.0014,0.0018,
2025/3/4 8:06,,0.0013,0.0015,,2025/3/4 8:06,,0.0014,0.0020,
2025/2/25 7:50,,0.0013,0.0017,,2025/2/25 7:50,,0.0013,0.0025,
2025/2/17 7:56,,0.0014,0.0025,,2025/2/17 7:56,,0.0014,0.0033,
2025/2/10 7:49,,0.0014,0.0024,,2025/2/10 7:49,,0.0012,0.0021,
2025/2/3 8:03,,0.0014,0.0019,,2025/2/3 8:03,,0.0014,0.0025,
2025/1/28 7:52,,0.0014,0.0025,,2025/1/28 7:52,,0.0014,0.0058,
2025/1/20 8:15,,0.0014,0.0018,,2025/1/20 8:15,,0.0012,0.0027,
2025/1/14 7:48,,0.0014,0.0028,,2025/1/14 7:48,,0.0014,0.0030,
2025/1/6 7:40,,0.0013,0.00098,,2025/1/6 7:40,,0.0014,0.0020,
2024/12/30 7:41,,0.0014,0.0020,,2024/12/30 7:41,,0.0011,0.0025,
