File Creation Date,2025-02-05
Sampling Location,

1m,,,,,,,45m,,,,,,,46m,,,,,,,47m,,,,,,,48m,,,,,49m,,,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2024/08/08,,0.00007,0.0015,,0.096,,2023/01/12,,0.000069,0.0019,,0.065,,2024/08/08,,0.000066,0.0014,,0.09,,2024/01/17,,0.000074,0.0018,,0.047,,2022/01/14,,,0.0018,,2024/05/21,,0.000054,0.0019,,0.043,
2024/05/21,,0.000072,0.0029,,0.058,,-,-,-,-,-,-,-,2022/08/17,,0.000064,0.0015,,0.073,,2023/11/14,,0.000065,0.0014,,0.074,,-,-,-,-,-,2023/05/18,,0.000066,0.002,,0.05,
2024/01/17,,0.000063,0.0015,,0.053,,-,-,-,-,-,-,-,2021/08/17,,,0.0015,,-,-,2023/08/02,,0.000051,0.0014,,0.077,,-,-,-,-,-,-,-,-,-,-,-,-
2023/11/14,,0.000067,0.0014,,0.053,,-,-,-,-,-,-,-,2021/05/18,,,0.0017,,-,-,2022/11/10,,0.000054,0.0016,,0.073,,-,-,-,-,-,-,-,-,-,-,-,-
2023/08/02,,0.000063,0.0015,,0.06,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022/05/26,,0.000055,0.0014,,0.095,,-,-,-,-,-,-,-,-,-,-,-,-
2023/05/18,,0.000065,0.0017,,0.052,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021/11/03,,,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/01/12,,0.000072,0.0014,,0.081,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/11/10,,0.000053,0.0013,,0.078,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/08/17,,0.000065,0.0017,,0.087,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/05/26,,0.000063,0.0018,,0.078,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/01/14,,,0.0018,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/11/03,,,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/08/17,,,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/05/18,,,0.0023,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
