File Creation Date,2024-11-08
Sampling Location,

1m,,,,,,,50m,,,,,115m,,,,,117m,,,,,118m,,,,,119m,,,,,120m,,,,,123m,,,,,124m,,,,,125m,,,,,126m,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2024/05/15,,0.000076,0.0013,,0.055,,2024/05/15,,0.000075,0.0017,,2024/05/15,,0.000075,0.0017,,2024/01/12,,0.000067,0.0018,,2022/11/09,,0.00007,0.0015,,2022/08/15,,0.000058,0.0014,,2023/05/13,,0.000067,0.0016,,2022/05/22,,0.000071,0.0014,,2021/11/06,,,0.0016,,2022/01/11,,,0.0014,,2023/08/02,,0.00007,0.0018,
2024/01/12,,0.000067,0.0014,,0.039,,2024/01/12,,0.000066,0.0014,,-,-,-,-,-,2023/11/14,,0.000056,0.0015,,2021/05/18,,,0.0014,,-,-,-,-,-,2023/01/12,,0.000074,0.0014,,-,-,-,-,-,2021/08/17,,,0.0015,,-,-,-,-,-,-,-,-,-,-
2023/11/14,,0.000065,0.0014,,0.05,,2023/11/14,,0.000067,0.0013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/08/02,,0.000071,0.0019,,0.055,,2023/08/02,,0.000069,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/05/13,,0.000052,0.0014,,0.035,,2023/05/13,,0.00007,0.0017,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/01/12,,0.000076,0.0015,,0.041,,2023/01/12,,0.000069,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/11/09,,0.000065,0.0013,,0.056,,2022/11/09,,0.000066,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/08/15,,0.000065,0.0014,,0.067,,2022/08/15,,0.000067,0.0013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/05/22,0.00007,,0.0016,,0.078,,2022/05/22,,0.000056,0.0013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/01/11,,,0.0017,,0.058,,2022/01/11,,,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/11/06,,,0.0014,,0.072,,2021/11/06,,,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/08/17,,,0.0016,,0.069,,2021/08/17,,,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/05/18,,,0.0021,,0.056,,2021/05/18,,,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
