File Creation Date,2025-06-11
Sampling Location,

1m,,,,,,,50m,,,,,104m,,,,,,,106m,,,,,,,107m,,,,,,,108m,,,,,,,109m,,,,,,,110m,,,,,,,111m,,,,,,,113m,,,,,,,115m,,,,,,,116m,,,,,117m,,,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/01/23,,0.000064,0.0015,,0.063,,2025/01/23,,0.000066,0.0015,,2024/11/12,,0.000066,0.0016,,0.063,,2023/11/23,,0.000063,0.0016,,0.065,,2025/01/23,,0.000069,0.0017,,0.042,,2022/08/15,,0.000064,0.0014,,0.08,,2023/01/12,,0.00007,0.0017,,0.068,,2023/05/18,,0.000069,0.0017,,0.069,,2024/01/13,,0.000069,0.0019,,0.047,,2024/05/21,,0.000068,0.0018,,0.03,,2023/08/01,,0.000065,0.0017,,0.055,,2022/01/14,,,0.0015,,2022/05/26,,0.000056,0.0013,,0.089,
2024/11/12,,0.000069,0.0012,,0.091,,2024/11/12,,0.000074,0.0012,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024/08/07,,0.00072,0.0016,,0.074,,-,-,-,-,-,-,-,2021/05/18,,,0.0014,,-,-,-,-,-,-,-,-,-,2022/11/10,,0.000063,0.0017,,0.085,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021/08/05,,,0.0015,,2021/11/03,,,0.0014,,-,-
2024/08/07,,0.000056,0.0013,,0.069,,2024/08/07,,0.00071,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/05/21,,0.000064,0.0015,,0.043,,2024/05/21,,0.000055,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/01/13,,0.000068,0.0014,,0.059,,2024/01/13,,0.00006,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/11/23,,0.00007,0.0014,,0.057,,2023/11/23,,0.000067,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/08/01,,0.00007,0.002,,0.048,,2023/08/01,,0.000059,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/05/18,,0.00005,0.0015,,0.097,,2023/05/18,,0.000049,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/01/12,,0.000071,0.0014,,0.063,,2023/01/12,,0.000077,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/11/10,,0.000064,0.0013,,0.066,,2022/11/10,,0.000063,0.0013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/08/15,,0.00007,0.0014,,0.096,,2022/08/15,,0.000067,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/05/26,,0.000055,0.0015,,0.078,,2022/05/26,,0.000065,0.0013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/01/14,,,0.002,,-,-,2022/01/14,,,0.0019,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/11/03,,,0.0014,,-,-,2021/11/03,,,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/08/05,,,0.0023,,-,-,2021/08/05,,,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/05/18,,,0.0023,,-,-,2021/05/18,,,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
