File Creation Date,2025-07-04
Sampling Location,

1m,,,,,,,50m,,,,,113m,,,,,,,116m,,,,,,,117m,,,,,,,118m,,,,,,,120m,,,,,,,121m,,,,,,,123m,,,,,124m,,,,,125m,,,,,127m,,,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/01/23,,0.000065,0.0014,,0.048,,2025/01/23,,0.000069,0.0015,,2024/11/12,,0.000076,0.0017,,0.072,,2023/11/23,,0.00006,0.0016,,0.056,,2025/01/23,,0.000069,0.0018,,0.035,,2022/08/20,,0.00005,0.0013,,0.077,,2024/08/06,,0.000074,0.0015,,0.072,,2023/07/31,,0.000062,0.0015,,0.046,,2021/11/03,,,0.0015,,2021/08/04,0.000066,,0.0018,,2022/01/14,,,0.0013,,2022/05/25,,0.000059,0.0014,,0.083,
2024/11/12,,0.00007,0.0012,,0.078,,2024/11/12,,0.000069,0.0012,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024/05/21,,0.000054,0.0016,,0.032,,-,-,-,-,-,-,-,2024/01/13,,0.000068,0.0017,,0.085,,2023/01/09,,0.000073,0.0016,,0.045,,2021/05/21,,,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/08/06,,0.000069,0.0013,,0.047,,2024/08/06,,0.000065,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023/05/23,,0.000052,0.0016,,0.039,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/05/21,,0.000053,0.0014,,0.035,,2024/05/21,,0.000066,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022/11/10,,0.000061,0.0016,,0.08,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/01/13,,0.000056,0.0014,,0.06,,2024/01/13,,0.000062,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/11/23,,0.000052,0.0014,,0.071,,2023/11/23,,0.000065,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/07/31,,0.000069,0.0016,,0.048,,2023/07/31,,0.000061,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/05/23,,0.000054,0.0012,,0.051,,2023/05/23,,0.000064,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/01/09,,0.000066,0.0014,,0.044,,2023/01/09,,0.00007,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
