File Creation Date,2025-11-17
Sampling Location,

1m,,,,,,,100m,,,,,202m,,,,,205m,,,,,206m,,,,,207m,,,,,209m,,,,,210m,,,,,211m,,,,,212m,,,,,213m,,,,,215m,,,,,218m,,,,,220m,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/06/11,,0.00012,0.0018,,0.074,,2025/06/11,,0.00012,0.0013,,2024/01/18,,0.000067,0.0016,,2023/05/13,,0.00005,0.0013,,2025/01/25,,0.00007,0.0016,,2023/07/31,,0.000068,0.0015,,2024/11/10,,0.000072,0.0015,,2023/01/09,,0.000065,0.0015,,2022/08/15,,0.00006,0.0012,,2023/11/16,,0.000055,0.0014,,2021/05/15,,,0.0012,,2024/08/04,,0.000053,0.0013,,2025/06/11,,0.00011,0.0012,,2022/05/25,,0.000074,0.0014,
2025/01/25,,0.000067,0.0013,,0.049,,2025/01/25,,0.000069,0.0014,,2022/11/03,,0.000043,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021/08/05,,,0.0014,,-,-,-,-,-,2024/05/20,,0.000054,0.0014,,-,-,-,-,-,-,-,-,-,-
2024/11/10,,0.000064,0.0011,,0.039,,2024/11/10,,0.000076,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022/01/13,,,0.0013,,-,-,-,-,-,-,-,-,-,-
2024/08/04,,0.000072,0.0013,,0.054,,2024/08/04,,0.000057,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021/11/06,,,0.0014,,-,-,-,-,-,-,-,-,-,-
2024/05/20,,0.000057,0.0013,,0.058,,2024/05/20,,0.000056,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/01/18,,0.000054,0.0014,,0.044,,2024/01/18,,0.000069,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/11/16,,0.000072,0.0012,,0.047,,2023/11/16,,0.000068,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/07/31,,0.000068,0.0012,,0.051,,2023/07/31,,0.000067,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/05/13,,0.000053,0.0013,,0.05,,2023/05/13,,0.000056,0.0017,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
