File Creation Date,2025-08-14
Sampling Location,

1m,,,,,,,50m,,,,,123m,,,,,,,127m,,,,,,,128m,,,,,,,130m,,,,,,,131m,,,,,,,134m,,,,,135m,,,,,,,136m,,,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/01/23,,0.000051,0.0013,,0.058,,2022/08/20,,0.000058,0.0014,,2024/11/12,,0.000072,0.0016,,0.052,,2022/08/20,,0.000052,0.0014,,0.061,,2025/01/23,,0.000074,0.0017,,0.048,,2024/08/06,,0.000071,0.0014,,0.085,,2024/01/13,,0.000069,0.0016,,0.061,,2021/05/21,,,0.0016,,2023/07/31,,0.000073,0.0015,,0.032,,2022/05/30,,0.000058,0.0014,,0.082,
2024/11/12,,0.000049,0.0011,,0.084,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023/11/23,,0.000063,0.0016,,0.054,,2024/05/20,,0.000049,0.0015,,0.11,,2023/01/19,,0.000073,0.0014,,0.078,,-,-,-,-,-,2021/11/03,0.000069,,0.0015,,-,-,2022/01/13,,,0.0017,,-,-
2024/08/06,,0.000065,0.0013,,0.081,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023/05/21,,0.000063,0.0016,,0.03,,-,-,-,-,-,-,-,2021/08/04,,,0.0022,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/05/20,,0.000049,0.0014,,0.057,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022/11/10,,0.000066,0.0017,,0.057,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/01/13,,0.000048,0.0014,,0.05,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/11/23,,0.000068,0.0013,,0.073,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/07/31,,0.00007,0.0014,,0.041,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/05/21,,0.000062,0.0013,,0.056,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/01/19,,0.000068,0.0015,,0.061,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
