File Creation Date,2026-01-30
Sampling Location,"Unit 5/6 discharge, north side (T-1)"

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2026/1/28 7:00,,0.67,,0.56,-,-
2026/1/27 6:50,,0.67,,0.73,-,-
2026/1/26 7:15,,0.75,,0.74,-,-
2026/1/25 7:20,,0.84,,0.68,-,-
2026/1/24 6:40,,0.88,,0.67,-,-
2026/1/23 6:45,,0.65,,0.54,-,-
2026/1/22 6:55,,0.85,,0.60,-,-
2026/1/21 6:38,,0.75,,0.64,-,-
2026/1/20 6:52,,0.61,,0.69,-,-
2026/1/19 6:54,,0.82,,0.67,-,-
2026/1/18 6:53,,0.62,,0.63,-,-
2026/1/17 7:10,,0.68,,0.85,-,-
2026/1/16 6:41,,0.73,,0.67,-,-
2026/1/15 6:50,,0.75,,0.48,-,-
2026/1/14 6:41,,0.67,,0.67,-,-
2026/1/13 7:05,,0.53,,0.54,-,-
2026/1/12 6:50,,0.62,,0.61,-,-
2026/1/11 6:50,,0.53,,0.59,-,-
2026/1/10 6:39,,0.56,,0.54,-,-
2026/1/9 7:04,,0.81,,0.68,-,-
2026/1/8 6:53,,0.84,,0.68,-,-
2026/1/7 6:44,,0.73,,0.72,-,-
2026/1/6 6:47,,0.65,,0.64,-,-
2026/1/5 7:05,,0.0012,0.029,,,0.30
2026/1/4 6:20,,0.75,,0.51,-,-
2026/1/3 7:14,,0.84,,0.62,-,-
2026/1/2 7:15,,0.80,,0.57,-,-
2026/1/1 7:11,,0.65,,0.76,-,-
2025/12/31 7:20,,0.75,,0.53,-,-
2025/12/30 6:45,,0.75,,0.56,-,-
2025/12/29 6:55,,0.0012,0.050,,,0.32
2025/12/28 6:55,,0.56,,0.54,-,-
2025/12/27 7:05,,0.80,,0.56,-,-
2025/12/26 6:35,,0.91,,0.68,-,-
2025/12/25 6:50,,0.80,,0.61,-,-
2025/12/24 7:05,,0.82,,0.79,-,-
2025/12/23 7:08,,0.92,,0.77,-,-
2025/12/22 7:25,,0.0011,0.021,,2.1,
2025/12/21 7:06,,0.82,,0.86,-,-
2025/12/20 7:11,,0.88,,0.56,-,-
2025/12/19 6:57,,0.87,,0.83,-,-
2025/12/18 7:05,,0.0013,0.023,,1.7,
2025/12/17 6:50,,0.69,,0.61,-,-
2025/12/16 6:50,,0.76,,0.85,-,-
2025/12/15 7:01,,0.80,,0.65,-,-
2025/12/14 7:27,,0.91,,0.74,-,-
2025/12/13 7:05,,0.74,,0.66,-,-
2025/12/12 7:00,,0.75,,0.82,-,-
2025/12/11 7:04,,0.73,,0.65,-,-
2025/12/10 7:14,,0.92,,0.68,-,-
2025/12/8 6:56,,0.0013,0.048,,-,-
2025/12/7 6:55,,0.75,,0.99,-,-
2025/12/6 7:10,,0.57,,0.68,-,-
2025/12/5 7:08,,0.67,,0.73,-,-
2025/12/4 13:25,,0.56,,0.54,,0.32
2025/12/3 7:46,,0.64,,0.74,-,-
2025/12/2 6:50,,0.67,,0.65,-,-
2025/12/1 8:15,,0.0012,0.026,,,0.31
2025/11/30 7:28,,0.54,,0.60,-,-
2025/11/29 6:40,,0.53,,0.65,-,-
2025/11/28 6:45,,0.73,,0.77,-,-
2025/11/27 6:36,,0.73,,0.64,-,-
2025/11/26 6:57,,0.85,,0.57,-,-
2025/11/25 7:00,,0.62,,0.59,-,-
2025/11/24 6:55,,0.0012,0.022,,,0.33
2025/11/23 6:55,,0.72,,0.68,-,-
2025/11/22 6:46,,0.87,,0.73,-,-
2025/11/21 6:50,,0.82,,0.87,-,-
2025/11/20 6:58,,0.68,,0.75,-,-
2025/11/19 6:55,,0.64,,0.59,-,-
2025/11/18 6:50,,0.67,,0.68,-,-
2025/11/17 7:00,,0.0012,0.063,,1.0,
2025/11/16 6:35,,0.81,,0.85,-,-
2025/11/15 7:05,,0.86,,0.54,-,-
2025/11/14 6:43,,0.92,,0.77,-,-
2025/11/13 6:55,,0.53,,0.51,-,-
