File Creation Date,2025-08-13
Sampling Location,3km offshore of Iwasawa shore (T-11)

Sea surface to a depth of 0.5 m,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/7/7 9:33,,0.0013,0.0021,,2025/7/7 9:33,,0.0010,0.0033,
2025/7/2 9:20,,0.0011,0.0033,,2025/7/2 9:20,,0.0010,0.0026,
2025/6/27 9:41,,0.0011,0.0039,,2025/6/27 9:41,,0.0012,0.0021,
2025/6/16 9:05,,0.0010,0.0022,,2025/6/16 9:05,,0.0011,0.0024,
2025/6/9 9:06,,0.0012,0.0022,,2025/6/9 9:06,,0.0011,0.0020,
2025/6/3 9:21,,0.0013,0.0092,,2025/6/3 9:21,,0.0013,0.0035,
2025/5/29 9:24,,0.0014,0.0042,,2025/5/29 9:24,,0.0012,0.0048,
2025/5/23 8:56,,0.0012,0.0034,,2025/5/23 8:56,,0.0012,0.0058,
2025/5/12 8:58,,0.0010,0.0029,,2025/5/12 8:58,,0.0011,0.0026,
2025/5/8 10:46,,0.0011,0.0093,,2025/5/8 10:46,,0.0011,0.0057,
2025/4/28 9:28,,0.0012,0.0036,,2025/4/28 9:28,,0.0013,0.0020,
2025/4/22 9:02,,0.0013,0.0051,,2025/4/22 9:02,,0.0012,0.0026,
2025/4/18 8:58,,0.0011,0.0041,,2025/4/18 8:58,,0.00092,0.0031,
2025/4/8 9:14,,0.0013,0.0052,,2025/4/8 9:14,,0.0012,0.0045,
2025/3/24 8:52,,0.0012,0.0021,,2025/3/24 8:52,,0.0010,0.0026,
2025/3/18 9:46,,0.0011,0.0029,,2025/3/18 9:46,,0.0011,0.0044,
2025/3/10 8:58,,0.0011,0.0019,,2025/3/10 8:58,,0.0011,0.0018,
2025/3/4 10:01,,0.0012,0.0036,,2025/3/4 10:01,,0.0010,0.0022,
2025/2/25 9:33,,0.0012,0.0022,,2025/2/25 9:33,,0.0011,0.0016,
2025/2/17 10:01,,0.0013,0.0020,,2025/2/17 10:01,,0.0013,0.0015,
2025/2/10 9:01,,0.0014,0.0023,,2025/2/10 9:01,,0.0013,0.0029,
2025/2/3 9:58,,0.0011,0.0026,,2025/2/3 9:58,,0.0013,0.0024,
2025/1/28 9:50,,0.0012,0.0031,,2025/1/28 9:50,,0.0012,0.0054,
2025/1/20 8:49,,0.0011,0.0024,,2025/1/20 8:49,,0.0012,0.0016,
2025/1/6 8:50,,0.0013,0.0017,,2025/1/6 8:50,,0.0010,0.0027,
2024/12/30 9:10,,0.0014,0.0021,,2024/12/30 9:10,,0.0010,0.0021,
2024/12/25 9:16,,0.0014,0.0031,,2024/12/25 9:16,,0.0013,0.0023,
2024/12/16 9:58,,0.0013,0.0016,,2024/12/16 9:58,,0.0011,0.0014,
2024/12/9 9:30,,0.0013,0.0019,,2024/12/9 9:30,,0.0012,0.0026,
2024/12/2 9:28,,0.0013,0.0020,,2024/12/2 9:28,,0.0012,0.0037,
2024/11/22 9:15,,0.0012,0.0014,,2024/11/22 9:15,,0.0012,0.0040,
2024/11/9 9:00,,0.0011,0.0014,,2024/11/9 9:00,,0.0013,0.0021,
2024/10/28 9:03,,0.0010,0.0034,,2024/10/28 9:03,,0.0011,0.0049,
2024/10/21 10:10,,0.0014,0.0052,,2024/10/21 10:10,,0.0013,0.0068,
2024/10/15 10:44,,0.0013,0.019,,2024/10/15 10:44,,0.0012,0.0054,
2024/10/7 10:32,,0.0013,0.0068,,2024/10/7 10:32,,0.0014,0.0030,
2024/10/4 8:20,,0.0010,0.0073,,2024/10/4 8:20,,0.0011,0.0062,
2024/9/18 8:52,,0.0012,0.0035,,2024/9/18 8:52,,0.0011,0.0048,
2024/9/9 9:00,,0.0014,0.0040,,2024/9/9 9:00,,0.0013,0.0024,
2024/9/5 11:26,,0.0011,0.0024,,2024/9/5 11:26,,0.0012,0.0018,
2024/8/29 8:56,,0.00098,0.0028,,2024/8/29 8:56,,0.0011,0.0027,
2024/8/19 9:14,,0.0012,0.0087,,2024/8/19 9:14,,0.0013,0.0078,
2024/8/13 9:05,,0.0013,0.0030,,2024/8/13 9:05,,0.0012,0.0019,
2024/8/6 9:04,,0.0014,0.0025,,2024/8/6 9:04,,0.0011,0.0021,
2024/7/29 10:05,,0.0012,0.0035,,2024/7/29 10:05,,0.0013,0.0034,
2024/7/22 8:54,,0.0013,0.0034,,2024/7/22 8:54,,0.0012,0.0025,
2024/7/19 8:45,,0.0012,0.0031,,2024/7/19 8:45,,0.0011,0.0031,
