File Creation Date,2026-02-24
Sampling Location,

1m,,,,,,,100m,,,,,204m,,,,,206m,,,,,209m,,,,,210m,,,,,211m,,,,,212m,,,,,213m,,,,,214m,,,,,215m,,,,,216m,,,,,218m,,,,,219m,,,,,220m,,,,,221m,,,,,224m,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/08/07,,0.00011,0.0013,,0.063,,2025/08/07,,0.00012,0.0011,,2022/11/03,,0.000064,0.0016,,2025/01/25,,0.000064,0.0015,,2023/05/13,,0.000053,0.0013,,2024/11/22,,0.000054,0.0014,,2024/01/18,,0.000068,0.0016,,2023/07/31,,0.000058,0.0015,,2022/08/15,,0.000073,0.0012,,2021/11/12,,,0.0016,,2024/08/06,,0.000076,0.0012,,2024/05/20,,0.000055,0.0012,,2021/08/04,,,0.0018,,2022/01/13,,,0.0012,,2025/06/12,,0.00011,0.0011,,2022/05/25,,0.000058,0.0013,,2025/08/07,,0.000076,0.00093,
2025/06/12,,0.00012,0.0012,,0.052,,2025/06/12,,0.00012,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023/11/16,,0.000068,0.0012,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021/05/15,,,0.0012,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023/01/08,,0.000061,0.0015,,-,-,-,-,-,-,-,-,-,-
2025/01/25,,0.000055,0.0014,,0.047,,2025/01/25,,0.000065,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/11/22,,0.000055,0.0011,,0.039,,2024/11/22,,0.000055,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/08/06,,0.000071,0.0014,,0.038,,2024/08/06,,0.000072,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/05/20,,0.000049,0.0014,,0.055,,2024/05/20,,0.000055,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/01/18,,0.00006,0.0014,,0.045,,2024/01/18,,0.000067,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/11/16,,0.000063,0.0013,,0.049,,2023/11/16,,0.000067,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/07/31,,0.000057,0.0012,,0.071,,2023/07/31,,0.000054,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
