File Creation Date,2026-02-25
Sampling Location,

1m,,,,,50m,,,,,88m,,,,,90m,,,,,91m,,,,,92m,,,,,93m,,,,,95m,,,,,96m,,,,,97m,,,,,98m,,,,,99m,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/08/18,,0.000069,0.0013,,2025/08/18,,0.000071,0.0013,,2022/08/20,,0.000066,0.0016,,2023/05/21,,0.00005,0.0017,,2024/11/08,,0.000072,0.0016,,2024/08/05,,0.000071,0.0017,,2024/05/20,,0.00007,0.0016,,2025/01/20,,0.000071,0.0018,,2025/08/18,,0.000071,0.0014,,2022/11/13,,0.000063,0.0018,,2025/06/21,,0.00012,0.0015,,2022/01/18,,,0.0014,
2025/06/21,,0.000093,0.0016,,2025/06/21,,0.00011,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023/01/19,,0.000069,0.0015,,2024/01/19,,0.000049,0.0019,,2022/05/30,,0.000075,0.0017,,2021/11/04,,,0.0016,,2023/08/06,,0.000072,0.0022,,-,-,-,-,-
2025/01/20,,0.000069,0.0013,,2025/01/20,,0.000074,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023/11/24,,0.00007,0.0017,,2021/08/21,,,0.0021,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/11/08,,0.000054,0.0012,,2024/11/08,,0.000068,0.0013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021/05/21,,,0.0018,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/08/05,,0.000076,0.0018,,2024/08/05,,0.000069,0.0013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/05/20,,0.000059,0.0018,,2024/05/20,,0.000069,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/01/19,,0.000075,0.0014,,2024/01/19,,0.000074,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/11/24,,0.000064,0.0014,,2023/11/24,,0.000053,0.0013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/08/06,,0.000072,0.0023,,2023/08/06,,0.000066,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
