File Creation Date,2026-02-03
Sampling Location,

1m,,,,,,,119m,,,,,,,120m,,,,,,,121m,,,,,,,122m,,,,,,,125m,,,,,126m,,,,,,,127m,,,,,,,128m,,,,,,,129m,,,,,,,130m,,,,,,,132m,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/06/21,,0.00011,0.0013,,0.094,,2024/11/14,,0.000065,0.0016,,0.067,,2023/05/21,,0.00007,0.0015,,0.041,,2023/11/24,,0.000065,0.0016,,0.074,,2025/01/21,,0.000062,0.0016,,0.056,,2021/05/20,,,0.0015,,2024/08/05,,0.000074,0.0014,,0.072,,2024/01/13,,0.000053,0.0017,,0.046,,2025/06/21,,0.00012,0.0015,,0.095,,2023/01/19,,0.000067,0.0015,,0.073,,2023/08/06,,0.000068,0.0016,,0.028,,2021/08/21,,,0.0013,
2025/01/21,,0.000057,0.0013,,0.051,,-,-,-,-,-,-,-,2022/08/20,,0.000064,0.0013,,0.069,,-,-,-,-,-,-,-,2024/05/18,,0.000056,0.0015,,0.051,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022/01/18,,,0.0015,,-,-,2022/05/30,,0.00007,0.0015,,0.1,,-,-,-,-,-,-,-,-,-,-,-,-
2024/11/14,,0.000066,0.0012,,0.078,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2022/11/13,,0.000055,0.0017,,0.079,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021/11/04,,,0.0018,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/08/05,,0.000073,0.0014,,0.07,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/05/18,,0.000067,0.0015,,0.056,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/01/13,,0.000047,0.0014,,0.07,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/11/24,,0.000049,0.0014,,0.054,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/08/06,,0.000063,0.0015,,0.053,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/05/21,,0.000063,0.0014,,0.044,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
