File Creation Date,2025-08-04
Sampling Location,

1m,,,,,,,100m,,,,,182m,,,,,184m,,,,,185m,,,,,188m,,,,,190m,,,,,192m,,,,,193m,,,,,194m,,,,,197m,,,,,200m,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/01/19,,0.000057,0.0013,,0.031,,2025/01/19,,0.000065,0.0014,,2023/11/15,,0.000071,0.0013,,2024/05/18,,0.000065,0.0013,,2024/11/22,,0.00007,0.0015,,2025/01/19,,0.000071,0.0016,,2022/11/07,,0.000063,0.0018,,2021/05/12,,,0.0013,,2024/01/18,,0.000075,0.0017,,2022/08/19,,0.000057,0.0013,,2021/08/22,,,0.0014,,2024/08/05,,0.000057,0.0012,
2024/11/22,,0.000073,0.0012,,0.03,,2024/11/22,,0.000074,0.0014,,2023/05/11,,0.000062,0.0013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023/07/30,,0.000071,0.0014,,2022/05/24,,0.000079,0.0013,,-,-,-,-,-,2021/11/12,,,0.0014,
2024/08/05,,0.000057,0.0014,,0.046,,2024/08/05,,0.000074,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2023/01/08,,0.000057,0.0015,,2022/01/10,,,0.0017,,-,-,-,-,-,-,-,-,-,-
2024/05/18,,0.000053,0.0013,,0.054,,2024/05/18,,0.000076,0.0017,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/01/18,,0.000064,0.0014,,0.047,,2024/01/18,,0.000069,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/11/15,,0.000064,0.0014,,0.043,,2023/11/15,,0.000053,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/07/30,,0.00007,0.0012,,0.064,,2023/07/30,,0.000073,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/05/11,,0.000054,0.0014,,0.046,,2023/05/11,,0.000047,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/01/08,,0.000073,0.0014,,0.041,,2023/01/08,,0.000077,0.0017,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/11/07,,0.000069,0.0012,,0.054,,2022/11/07,,0.000048,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/08/19,,0.000062,0.0013,,0.067,,2022/08/19,,0.000066,0.0013,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/05/24,,0.000074,0.0015,,0.042,,2022/05/24,,0.000057,0.0017,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/01/10,,,0.0015,,0.056,,2022/01/10,,,0.0017,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/11/12,,,0.0015,,0.052,,2021/11/12,,,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/08/22,,,0.0015,,0.052,,2021/08/22,,,0.0018,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/05/12,,,0.0015,,0.043,,2021/05/12,,,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
