File Creation Date,2025-05-30
Sampling Location,

1m,,,,,,,100m,,,,,598m,,,,,607m,,,,,619m,,,,,621m,,,,,624m,,,,,625m,,,,,626m,,,,,628m,,,,,635m,,,,,638m,,,,,642m,,,,,643m,,,,,645m,,,,,650m,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/01/19,,0.00006,0.0014,,0.035,,2025/01/19,,0.000089,0.0014,,2024/11/21,,0.00004,0.00043,,2024/05/18,,0.00004,0.00041,,2025/01/19,,0.000043,0.00054,,2024/01/18,,0.00004,0.00034,,2023/05/11,,0.000034,0.00026,,2024/08/05,,0.000045,0.0004,,2022/11/07,,0.000033,0.00038,,2023/01/07,,0.000037,0.00035,,2023/07/30,,0.000038,0.00052,,2022/05/24,,0.000037,0.00045,,2021/08/22,,,0.00028,,2023/11/15,,0.000029,0.00027,,2022/08/19,,0.000033,0.00034,,2021/11/13,,,0.00043,
2024/11/21,,0.000056,0.0011,,0.025,,2024/11/21,,0.000066,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2021/05/12,,,0.00046,,2022/01/10,,,0.00046,,-,-,-,-,-
2024/08/05,,0.000058,0.0014,,0.046,,2024/08/05,,0.000072,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/05/18,,0.000078,0.0013,,0.058,,2024/05/18,,0.000069,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2024/01/18,,0.000073,0.0014,,0.041,,2024/01/18,,0.000049,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/11/15,,0.000053,0.0013,,0.044,,2023/11/15,,0.000066,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/07/30,,0.000053,0.0012,,0.049,,2023/07/30,,0.000056,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/05/11,,0.000061,0.0014,,0.044,,2023/05/11,,0.000051,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2023/01/07,,0.000059,0.0014,,0.044,,2023/01/07,,0.000057,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/11/07,,0.000064,0.0012,,0.047,,2022/11/07,,0.000051,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/08/19,,0.000063,0.0014,,0.07,,2022/08/19,,0.000065,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/05/24,,0.000071,0.0015,,0.041,,2022/05/24,,0.00006,0.0018,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2022/01/10,,,0.0015,,0.051,,2022/01/10,,,0.0016,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/11/13,,,0.0014,,0.064,,2021/11/13,,,0.0015,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/08/22,,,0.0013,,0.043,,2021/08/22,,,0.0018,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021/05/12,,,0.0016,,0.05,,2021/05/12,,,0.0014,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
