File Creation Date,2025-12-23
Sampling Location,

1m,,,,,100m,,,,,200m,,,,,300m,,,,,500m,,,,
,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/07/12,,0.00051,0.0012,,2025/07/12,,0.00048,0.0012,,2025/07/12,,0.00048,0.0011,,2025/07/12,,0.00053,0.0011,,2025/07/12,,0.00052,0.00038,
2024/11/28,,0.00053,0.0013,,2024/11/28,,0.00063,0.0011,,2024/11/28,,0.00053,0.0015,,2024/11/28,,0.00053,0.0017,,2024/11/28,,0.00052,0.0016,
2024/07/22,,0.00043,0.0013,,2024/07/22,,0.0005,0.0014,,2024/07/22,,0.00046,0.0019,,2024/07/22,,0.00045,0.0019,,2024/07/22,,0.00045,0.0013,
2023/11/24,,0.00047,0.0014,,2023/11/24,,0.00056,0.0014,,2023/11/24,,0.00048,0.0018,,2023/11/24,,0.0005,0.0023,,2023/11/24,,0.00052,0.0015,
2023/07/16,,0.00055,0.0014,,2023/07/16,,0.00052,0.0015,,2023/07/16,,0.0005,0.0016,,2023/07/16,,0.0005,0.0017,,2023/07/16,,0.00047,0.0018,
2022/12/03,,0.00069,0.0015,,2022/12/03,,0.00069,0.0015,,2022/12/03,,0.00069,0.0024,,2022/12/03,,0.00075,0.0019,,2022/12/03,,0.00072,0.0011,
2022/06/19,,0.00048,0.0015,,2022/06/19,,0.00058,0.0015,,2022/06/19,,0.0005,0.0014,,2022/06/19,,0.00054,0.001,,2022/06/19,,0.00051,0.00055,
2021/12/04,,,0.0018,,2021/12/04,,,0.0021,,2021/12/04,,,0.0017,,2021/12/04,,,0.0014,,2021/12/04,,,0.0008,
2021/07/23,,,0.0013,,2021/07/23,,,0.0018,,2021/07/23,,,0.0021,,2021/07/23,,,0.0026,,2021/07/23,,,0.0014,
