File Creation Date,2025-04-04
Sampling Location,Around 4km offshore of Kumagawa (T-S8)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/2/5 9:42,,0.0014,0.0020,,-,-,2025/2/5 9:42,,0.0014,0.0026,
2025/1/15 5:22,,0.0014,0.0019,,-,-,2025/1/15 5:22,,0.0014,0.0036,
2024/12/9 10:07,,0.0014,0.0034,,0.057,,2024/12/9 10:07,,0.0014,0.0026,
2024/11/14 12:18,,0.0014,0.0014,,0.049,,2024/11/14 12:18,,0.0014,0.0012,
2024/10/21 7:38,,0.0014,0.0031,,0.069,,2024/10/21 7:38,,0.0014,0.0033,
2024/10/1 6:02,,0.0014,0.013,,2.7,,2024/10/1 6:02,,0.0014,0.0043,
2024/9/19 5:51,,0.0014,0.0038,,0.098,,2024/9/19 5:51,,0.0014,0.0027,
2024/8/8 9:55,,0.0014,0.0018,,0.062,,2024/8/8 9:55,,0.0014,0.0034,
2024/7/4 10:11,,0.0014,0.0026,,0.039,,2024/7/4 10:11,,0.0014,0.0019,
2024/6/17 5:37,,0.0014,0.0024,,0.059,,2024/6/17 5:37,,0.0014,0.0027,
2024/5/22 5:32,,0.0014,0.0033,,0.081,,2024/5/22 5:32,,0.0014,0.0051,
2024/4/23 12:41,,0.0014,0.0054,,0.13,,2024/4/23 12:41,,0.0014,0.0031,
2024/4/15 9:44,,0.0014,0.0048,,0.058,,2024/4/15 9:44,,0.0014,0.0025,
2024/3/25 9:53,,0.0012,0.0027,,0.039,,2024/3/25 9:53,,0.0014,0.0045,
2024/3/4 7:13,,0.0014,0.021,,0.11,,2024/3/4 7:13,,0.0014,0.021,
2024/1/11 9:57,,0.0014,0.0023,,0.053,,2024/1/11 9:57,,0.0014,0.0027,
2023/12/7 7:01,,0.0014,0.0016,,0.057,,2023/12/7 7:01,,0.0014,0.0022,
2023/11/8 8:28,,0.0014,0.0040,,0.097,,2023/11/8 8:28,,0.0014,0.0053,
2023/10/12 10:02,,0.0014,0.0022,,0.065,,2023/10/12 10:02,,0.0014,0.0042,
2023/9/11 5:33,,0.0014,0.026,,0.098,,2023/9/11 5:33,,0.0014,0.0049,
2023/08/30 11:02,,0.0014,0.0044,,0.062,,2023/08/30 11:02,,0.0014,0.0053,
2023/7/20 9:46,,0.0014,0.0027,,0.037,,2023/7/20 9:46,,0.0014,0.0035,
2023/6/29 11:12,,0.0014,0.0029,,0.057,,2023/6/29 11:12,,0.0014,0.0029,
2023/6/5 5:28,,0.0014,0.0066,,0.045,,2023/6/5 5:28,,0.0014,0.0044,
2023/5/9 6:55,,0.0014,0.0033,,0.049,,2023/5/9 6:55,,0.0014,0.0096,
2023/3/22 9:41,,0.0014,0.0029,,0.042,,2023/3/22 9:41,,0.0014,0.0037,
2023/3/9 9:58,,0.0014,0.0030,,0.047,,2023/3/9 9:58,,0.0014,0.0017,
2023/1/12 10:03,,0.0014,0.0020,,0.045,,2023/1/12 10:03,,0.0014,0.0019,
2022/12/21 10:21,,0.0014,0.0023,,0.045,,2022/12/21 10:21,,0.0014,0.0020,
2022/12/7 10:03,,0.0014,0.0045,,0.063,,2022/12/7 10:03,,0.0014,0.0095,
2022/10/3 7:27,,0.0013,0.0067,,0.12,,2022/10/3 7:27,,0.0014,0.0048,
2022/9/12 10:07,,0.0014,0.0024,,0.093,,2022/9/12 10:07,,0.0014,0.0019,
2022/8/8 6:44,,0.0013,0.0034,,0.079,,2022/8/8 6:44,,0.0014,0.0018,
2022/7/13 7:02,,0.0014,0.0023,,0.081,,2022/7/13 7:02,,0.0014,0.0039,
2022/6/27 7:06,,0.0014,0.0074,,0.075,,2022/6/27 7:06,,0.0014,0.0024,
2022/5/9 10:06,,0.0011,0.0034,,0.070,,2022/5/9 10:06,,0.0014,0.0029,
2022/3/15 6:16,,0.0014,0.0034,,-,-,2022/3/15 6:16,,0.0014,0.0031,
2022/2/2 10:42,,0.0014,0.0037,,-,-,2022/2/2 10:42,,0.0014,0.0039,
2022/1/26 6:33,,0.0014,0.0029,,-,-,2022/1/26 6:33,,0.0014,0.0030,
2021/12/23 5:47,,0.0014,0.0049,,-,-,2021/12/23 5:47,,0.0014,0.0057,
2021/11/24 6:04,,0.0014,0.0032,,-,-,2021/11/24 6:04,,0.0014,0.013,
2021/10/20 5:42,,0.0014,0.0044,,-,-,2021/10/20 5:42,,0.0014,0.0031,
2021/9/14 6:22,,0.0014,0.0028,,-,-,2021/9/14 6:22,,0.0014,0.0032,
2021/8/26 7:03,,0.0014,0.0055,,-,-,2021/8/26 7:03,,0.0014,0.0035,
2021/8/4 5:38,,0.0014,0.0032,,-,-,2021/8/4 5:38,,0.0013,0.0024,
2021/6/24 5:50,,0.0014,0.0024,,-,-,2021/6/24 5:50,,0.0017,0.0041,
2021/5/20 5:37,,0.0015,0.0035,,-,-,2021/5/20 5:37,,0.0014,0.0050,
2021/4/20 7:03,,0.0014,0.0042,,-,-,2021/4/20 7:03,,0.0014,0.0037,
2021/3/16 5:41,,0.0014,0.0075,,-,-,2021/3/16 5:41,,0.0014,0.0049,
2021/2/18 6:06,,0.0013,0.0059,,-,-,2021/2/18 6:06,,0.0012,0.0051,
