File Creation Date,2025-09-10
Sampling Location,

0.5m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/04/24,,0.00076,0.01,,-,-
2025/03/08,,0.00073,0.0038,,0.095,
2025/02/11,,0.00068,0.0089,,0.075,
2025/01/19,,0.00072,0.0037,,0.068,
2024/12/13,,0.00059,0.003,,,0.038
2024/11/08,,0.00064,0.0084,,0.28,
2024/10/05,,0.00072,0.041,,0.13,
2024/09/13,,0.00069,0.0059,,0.11,
2024/08/09,,0.00071,0.0052,,0.094,
2024/07/04,,0.00077,0.041,,3.5,
2024/06/07,,0.00074,0.011,,0.098,
2024/05/18,,0.0008,0.013,,1.5,
2024/04/20,,0.00074,0.0078,,0.073,
2024/03/12,,0.00079,0.013,,0.82,
2024/02/02,,0.00081,0.019,,0.066,
2024/01/12,,0.00045,0.0023,,,0.045
2023/12/08,,0.00047,0.0073,,0.071,
2023/11/10,,0.00044,0.016,,0.63,
2023/10/06,,0.0005,0.0085,,1.1,
2023/09/01,,0.00047,0.0074,,0.097,
2023/08/04,,0.00052,0.0044,,0.079,
2023/07/07,,0.00047,0.0055,,0.087,
2023/06/09,,0.00048,0.0051,,0.052,
2023/05/20,,0.00048,0.006,,0.094,
2023/04/21,,0.00046,0.0056,,0.087,
2023/03/03,,0.00046,0.0052,,0.066,
2023/02/03,,0.00043,0.004,,0.058,
2023/01/13,,0.00046,0.0039,,,0.037
2022/12/02,,0.00054,0.016,,0.079,
2022/11/12,,0.0005,0.0083,,0.13,
2022/10/07,,0.00049,0.0043,,0.14,
2022/09/16,,0.00049,0.01,,0.12,
2022/08/25,,0.00053,0.0028,,0.1,
2022/07/20,,0.0005,0.0063,,0.15,
2022/06/10,,0.0005,0.01,,0.21,
2022/05/20,,0.00055,0.0051,,0.12,
2022/04/21,,0.00048,0.0098,,0.13,
2022/03/03,,0.00056,0.01,,0.084,
2022/02/03,,0.00056,0.0062,,0.067,
2022/01/13,,,0.012,,,
2021/12/15,0.00073,,0.017,,,
2021/11/05,,,0.0082,,0.15,
2021/10/08,0.00056,,0.016,,0.092,
2021/09/09,0.00064,,0.019,,0.12,
2021/08/07,,,0.011,,0.12,
2021/07/13,,,0.0043,,0.13,
2021/06/11,,,0.0053,,0.097,
2021/05/19,,,0.0068,,0.074,
2021/04/22,,,0.01,,0.061,
