File Creation Date,2025-11-11
Sampling Location,Around 1km offshore of Ota River (T-S1)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/9/10 6:04,,0.0012,0.0022,,-,-,2025/9/10 6:04,,0.0012,0.0016,
2025/8/19 9:21,,0.0014,0.0027,,-,-,2025/8/19 9:21,,0.0011,0.0018,
2025/7/2 10:12,,0.0013,0.0025,,0.071,,2025/7/2 10:12,,0.0012,0.0026,
2025/6/17 6:03,,0.0013,0.0020,,0.086,,2025/6/17 6:03,,0.0012,0.0023,
2025/5/21 9:14,,0.0013,0.0029,,0.071,,2025/5/21 9:14,,0.0012,0.0030,
2025/5/7 9:36,,0.0014,0.0020,,,0.069,2025/5/7 9:36,,0.0011,0.0021,
2025/4/9 7:13,,0.0013,0.0031,,,0.069,2025/4/9 7:13,,0.0012,0.0028,
2025/2/20 6:17,,0.0012,0.0021,,,0.071,2025/2/20 6:17,,0.0011,0.0014,
2025/1/23 9:30,,0.0012,0.0016,,,0.067,2025/1/23 9:30,,0.0012,0.0015,
2024/12/18 9:40,,0.0012,0.0020,,,0.069,2024/12/18 9:40,,0.0011,0.0013,
2024/12/4 9:43,,0.0010,0.0026,,,0.071,2024/12/4 9:43,,0.0012,0.0024,
2024/10/28 9:11,,0.0012,0.0048,,0.12,,2024/10/28 9:11,,0.0012,0.0053,
2024/9/4 12:15,,0.0012,0.0021,,,0.067,2024/9/4 12:15,,0.0012,0.0029,
2024/8/21 9:09,,0.0011,0.0023,,,0.067,2024/8/21 9:09,,0.0011,0.0030,
2024/7/2 9:31,,0.0012,0.0029,,,0.069,2024/7/2 9:31,,0.0011,0.0031,
2024/6/17 11:40,,0.0013,0.0036,,,0.070,2024/6/17 11:40,,0.0011,0.0033,
2024/5/20 5:43,,0.0011,0.0043,,,0.070,2024/5/20 5:43,,0.0012,0.0029,
2024/4/17 5:21,,0.0012,0.0059,,,0.074,2024/4/17 5:21,,0.0011,0.0059,
2024/4/2 5:55,,0.0012,0.0062,,,0.074,2024/4/2 5:55,,0.0012,0.0027,
2024/1/19 6:02,,0.0011,0.0026,,,0.067,2024/1/19 6:02,,0.0012,0.0025,
2023/12/20 12:06,,0.0012,0.0025,,0.13,,2023/12/20 12:06,,0.0011,0.0036,
2023/11/8 9:19,,0.0012,0.0081,,0.16,,2023/11/8 9:19,,0.0013,0.0076,
2023/10/17 6:22,,0.0011,0.0061,,,0.070,2023/10/17 6:22,,0.0012,0.0060,
