File Creation Date,2026-01-27
Sampling Location,Around 3km offshore of Odaka Ward (T-S2)

Sea surface to a depth of 0.5 m,,
,H-3,
Date and time of Sampling,Dt,ND
2025/10/22 9:10,,0.061
2025/9/10 5:49,0.11,
2025/8/19 9:40,0.091,
2025/7/2 9:56,0.090,
2025/6/17 5:51,0.085,
2025/5/21 8:59,,0.067
2025/5/7 9:53,0.081,
2025/4/9 7:33,,0.067
2025/2/20 6:37,,0.071
2025/1/23 10:08,,0.067
2024/12/18 9:24,,0.069
2024/12/4 9:32,,0.071
2024/10/28 9:30,0.16,
2024/9/4 12:40,,0.068
2024/8/21 9:34,,0.070
2024/7/2 9:14,,0.067
2024/6/17 11:25,,0.066
2024/5/20 5:30,,0.070
2024/4/17 5:45,,0.075
2024/4/2 6:12,,0.069
2024/1/19 6:21,0.087,
2023/12/20 11:53,0.16,
2023/11/8 9:42,0.12,
2023/10/17 6:39,,0.070
2023/9/5 11:32,,0.073
2023/08/02 14:22,,0.067
2023/7/19 13:49,,0.071
2023/6/21 10:09,,0.079
2023/5/26 7:25,0.077,
2023/5/12 9:57,,0.073
2023/3/23 6:05,,0.078
2023/2/8 6:25,0.11,
2023/1/18 12:44,,0.083
2022/12/7 5:53,,0.077
2022/11/8 7:26,0.14,
2022/10/6 10:48,0.082,
2022/9/29 6:16,0.098,
2022/8/3 9:30,0.10,
2022/7/21 5:45,0.20,
2022/6/2 9:57,,0.074
2022/5/18 9:37,0.091,
2022/5/10 7:35,,0.065
