File Creation Date,2025-11-28
Sampling Location,

Surface layer,,,,,,,Bottom layer,,,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/05/27,,0.0007,0.0071,,0.1,,2025/05/27,-,-,-,-,0.11,
2025/01/21,,0.0008,0.01,,0.063,,2025/01/21,-,-,-,-,0.05,
2024/11/14,,0.0008,0.01,,0.077,,2024/11/14,,0.0008,0.036,,0.094,
2024/09/12,-,-,-,-,0.097,,2024/09/12,-,-,-,-,0.11,
2024/05/22,,0.0007,0.005,,0.91,,2024/05/22,,0.0007,0.0066,,0.86,
2024/03/04,-,-,-,-,3.3,,2024/03/04,-,-,-,-,3.6,
2024/02/08,,0.0007,0.022,,0.094,,2024/02/08,,0.0007,0.021,,0.06,
2024/01/18,-,-,-,-,0.063,,2024/01/18,-,-,-,-,0.048,
2023/12/15,-,-,-,-,0.085,,2023/12/15,-,-,-,-,0.083,
2023/11/15,,0.0009,0.012,,0.38,,2023/11/15,,0.0009,0.013,,0.34,
2023/11/01,-,-,-,-,0.094,,2023/11/01,-,-,-,-,0.15,
2023/10/17,-,-,-,-,0.27,,2023/10/17,-,-,-,-,0.18,
2023/09/15,,0.0008,0.023,,-,-,2023/09/15,,0.0007,0.018,,0.1,
2023/08/25,-,-,-,-,0.067,,2023/05/31,,0.0008,0.0073,,0.1,
2023/05/31,,0.0007,0.007,,0.12,,2023/01/18,,0.0008,0.0069,,0.062,
2023/01/18,,0.0008,0.0065,,0.1,,2022/10/31,,0.0008,0.018,,0.1,
2022/10/31,,0.0008,0.018,,0.093,,2022/08/26,,0.0008,0.017,,0.12,
2022/08/26,,0.0009,0.01,,0.13,,2022/06/22,,0.0008,0.0074,,0.1,
2022/06/22,,0.0008,0.014,,0.13,,-,-,-,-,-,-,-
