File Creation Date,2025-08-21
Sampling Location,Around 3km offshore of Ukedo River (T-S3)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/6/4 11:11,,0.0014,0.0037,,-,-,2025/6/4 11:11,,0.0014,0.0025,
2025/5/14 10:48,,0.0012,0.0014,,-,-,2025/5/14 10:48,,0.0014,0.0020,
2025/4/24 10:13,,0.0014,0.0029,,0.35,,2025/4/24 10:13,,0.0014,0.0032,
2025/4/17 8:03,,0.0014,0.0026,,,0.066,2025/4/17 8:03,,0.0014,0.0027,
2025/3/25 10:22,,0.0014,0.0044,,0.72,,2025/3/25 10:22,,0.0014,0.0021,
2025/3/14 10:12,,0.0014,0.0021,,,0.068,2025/3/14 10:12,,0.0013,0.0018,
2025/2/26 10:05,,0.0014,0.0021,,,0.072,2025/2/26 10:05,,0.0014,0.0019,
2025/1/8 9:36,,0.0013,0.0010,,,0.068,2025/1/8 9:36,,0.0012,0.0022,
2024/12/11 10:37,,0.0014,0.0015,,,0.079,2024/12/11 10:37,,0.0014,0.0018,
2024/11/14 9:47,,0.0014,0.0016,,,0.070,2024/11/14 9:47,,0.0014,0.0016,
2024/11/6 10:48,,0.0014,0.0067,,0.40,,2024/11/6 10:48,,0.0014,0.0085,
2024/10/25 9:42,,0.0013,0.0029,,0.16,,2024/10/25 9:42,,0.0014,0.0031,
2024/10/4 9:54,,0.0014,0.0033,,,0.070,2024/10/4 9:54,,0.0014,0.0022,
2024/9/10 6:44,,0.0014,0.0021,,0.083,,2024/9/10 6:44,,0.0014,0.0031,
2024/8/20 7:28,,0.0014,0.0031,,,0.070,2024/8/20 7:28,,0.0014,0.0050,
2024/7/3 11:45,,0.0013,0.0034,,,0.070,2024/7/3 11:45,,0.0014,0.0019,
2024/6/12 9:53,,0.0014,0.0038,,,0.066,2024/6/12 9:53,,0.0014,0.0025,
2024/5/22 10:26,,0.0014,0.0033,,,0.070,2024/5/22 10:26,,0.0014,0.0028,
2024/5/8 9:52,,0.0014,0.0035,,0.14,,2024/5/8 9:52,,0.0014,0.0041,
2024/4/23 6:49,,0.0014,0.0041,,0.21,,2024/4/23 6:49,,0.0014,0.0041,
2024/4/11 10:15,,0.0014,0.0037,,,0.073,2024/4/11 10:15,,0.0014,0.0032,
2024/3/4 11:35,,0.0014,0.0047,,,0.068,2024/3/4 11:35,,0.0014,0.0069,
2024/2/7 7:24,,0.0014,0.0063,,,0.068,2024/2/7 7:24,,0.0014,0.0095,
2024/1/17 10:25,,0.0014,0.0014,,0.14,,2024/1/17 10:25,,0.0014,0.0018,
2023/12/20 10:50,,0.0014,0.0024,,0.12,,2023/12/20 10:50,,0.0014,0.0024,
2023/11/8 6:55,,0.0014,0.0038,,0.12,,2023/11/8 6:55,,0.0014,0.012,
2023/10/12 11:13,,0.0014,0.0085,,,0.071,2023/10/12 11:13,,0.0014,0.0056,
2023/9/12 5:30,,0.0014,0.014,,,0.068,2023/9/12 5:30,,0.0014,0.0053,
2023/08/30 10:00,,0.0014,0.0027,,0.070,,2023/08/30 10:00,,0.0014,0.0041,
2023/7/20 7:11,,0.0014,0.0032,,,0.070,2023/7/20 7:11,,0.0014,0.0034,
2023/6/29 10:23,,0.0014,0.0038,,,0.079,2023/6/29 10:23,,0.0014,0.0030,
2023/5/30 5:21,,0.0014,0.0038,,,0.076,2023/5/30 5:21,,0.0014,0.0096,
2023/4/27 6:33,,0.0014,0.0030,,,0.074,2023/4/27 6:33,,0.0014,0.0065,
2023/3/22 11:19,,0.0014,0.0062,,,0.078,2023/3/22 11:19,,0.0014,0.0040,
2023/2/9 7:51,,0.0014,0.0023,,,0.071,2023/2/9 7:51,,0.0014,0.0027,
2023/1/12 9:46,,0.0014,0.0019,,,0.081,2023/1/12 9:46,,0.0014,0.0025,
2022/12/21 10:27,,0.0014,0.0026,,,0.078,2022/12/21 10:27,,0.0014,0.0025,
2022/11/16 8:02,,0.0014,0.0020,,0.12,,2022/11/16 8:02,,0.0014,0.0025,
2022/10/19 10:35,,0.0014,0.011,,0.097,,2022/10/19 10:35,,0.0014,0.0025,
2022/9/6 5:53,,0.0014,0.0026,,0.15,,2022/9/6 5:53,,0.0014,0.0013,
2022/8/2 6:22,,0.0014,0.0019,,,0.077,2022/8/2 6:22,,0.0014,0.0029,
2022/7/11 10:37,,0.0014,0.0041,,0.13,,2022/7/11 10:37,,0.0014,0.0038,
