File Creation Date,2025-05-01
Sampling Location,

Surface layer,,,Bottom layer,,
,H-3,,,H-3,
Date and time of Sampling,Dt,ND,Date and time of Sampling,Dt,ND
2024/11/14,0.055,,2024/11/14,0.059,
2024/09/12,0.094,,2024/09/12,0.086,
2024/05/30,0.077,,2024/05/30,0.18,
2024/02/08,0.036,,2024/02/08,0.066,
2023/09/06,0.095,,2023/09/06,0.068,
2023/06/21,0.075,,2023/06/21,0.069,
2023/01/18,0.047,,2023/01/18,0.041,
2022/10/31,0.059,,2022/10/31,0.057,
2022/08/25,0.066,,2022/08/25,0.058,
2022/06/28,0.067,,2022/06/28,0.064,
