File Creation Date,2025-10-31
Sampling Location,Around 3km offshore of  1F site (T-S4)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/9/17 8:46,,0.0014,0.0022,,-,-,2025/9/17 8:46,,0.0014,0.0022,
2025/8/18 10:37,,0.0014,0.0021,,-,-,2025/8/18 10:37,,0.0014,0.0015,
2025/7/22 6:17,,0.0014,0.0015,,,0.061,2025/7/22 6:17,,0.0014,0.0027,
2025/7/3 10:05,,0.0014,0.0016,,0.085,,2025/7/3 10:05,,0.0014,0.0023,
2025/6/4 10:46,,0.0014,0.0026,,,0.063,2025/6/4 10:46,,0.0014,0.0027,
2025/5/14 10:31,,0.0014,0.0023,,0.097,,2025/5/14 10:31,,0.0014,0.0015,
2025/4/24 10:33,,0.0014,0.0028,,0.30,,2025/4/24 10:33,,0.0014,0.0046,
2025/4/17 7:42,,0.0014,0.014,,0.56,,2025/4/17 7:42,,0.0014,0.0094,
2025/3/25 9:48,,0.0014,0.0037,,0.60,,2025/3/25 9:48,,0.0012,0.0017,
2025/3/14 9:55,,0.0014,0.0018,,,0.067,2025/3/14 9:55,,0.0014,0.0018,
2025/2/26 9:46,,0.0013,0.0029,,,0.072,2025/2/26 9:46,,0.0014,0.0021,
2025/1/8 9:59,,0.0014,0.0014,,,0.070,2025/1/8 9:59,,0.0014,0.0025,
2024/12/11 11:06,,0.0014,0.0013,,,0.079,2024/12/11 11:06,,0.0014,0.0011,
2024/11/14 10:15,,0.0014,0.0016,,,0.072,2024/11/14 10:15,,0.0014,0.0013,
2024/11/6 11:21,,0.0014,0.0012,,,0.069,2024/11/6 11:21,,0.0014,0.0017,
2024/10/25 10:18,,0.0014,0.0037,,0.13,,2024/10/25 10:18,,0.0014,0.0030,
2024/10/4 10:41,,0.0014,0.0025,,,0.072,2024/10/4 10:41,,0.0014,0.0021,
2024/9/10 7:14,,0.0014,0.0015,,0.076,,2024/9/10 7:14,,0.0014,0.0026,
2024/8/20 6:56,,0.0014,0.0044,,0.089,,2024/8/20 6:56,,0.0014,0.0022,
2024/7/3 11:21,,0.0014,0.0028,,0.080,,2024/7/3 11:21,,0.0014,0.0018,
2024/6/12 10:14,,0.0014,0.0046,,,0.070,2024/6/12 10:14,,0.0014,0.0023,
2024/5/22 10:02,,0.0013,0.0043,,,0.069,2024/5/22 10:02,,0.0014,0.0039,
2024/5/8 10:16,,0.0014,0.0042,,0.18,,2024/5/8 10:16,,0.0014,0.0030,
2024/4/23 7:15,,0.0014,0.0040,,0.11,,2024/4/23 7:15,,0.0014,0.0041,
2024/4/11 9:58,,0.0014,0.0051,,,0.072,2024/4/11 9:58,,0.0014,0.0025,
2024/3/4 11:09,,0.0014,0.0035,,,0.069,2024/3/4 11:09,,0.0014,0.0032,
2024/2/7 7:05,,0.0014,0.0035,,0.071,,2024/2/7 7:05,,0.0014,0.0063,
2024/1/17 10:03,,0.0014,0.0017,,,0.068,2024/1/17 10:03,,0.0012,0.0025,
2023/12/20 11:18,,0.0014,0.0021,,0.075,,2023/12/20 11:18,,0.0014,0.0016,
2023/11/8 7:23,,0.0014,0.0044,,0.10,,2023/11/8 7:23,,0.0014,0.018,
2023/10/12 11:35,,0.0014,0.0036,,,0.070,2023/10/12 11:35,,0.0014,0.0043,
2023/9/12 5:52,,0.0014,0.012,,0.087,,2023/9/12 5:52,,0.0014,0.0049,
2023/08/30 09:42,,0.0014,0.0034,,0.073,,2023/08/30 09:42,,0.0014,0.0036,
2023/7/20 7:41,,0.0014,0.0026,,,0.070,2023/7/20 7:41,,0.0014,0.0040,
2023/6/29 10:08,,0.0014,0.0031,,,0.080,2023/6/29 10:08,,0.0014,0.0026,
2023/5/30 5:42,,0.0014,0.0032,,,0.075,2023/5/30 5:42,,0.0014,0.0080,
2023/4/27 6:13,,0.0014,0.0031,,,0.075,2023/4/27 6:13,,0.0014,0.0027,
2023/3/22 11:42,,0.0014,0.0046,,,0.079,2023/3/22 11:42,,0.0014,0.0025,
2023/2/9 8:09,,0.0014,0.0021,,0.085,,2023/2/9 8:09,,0.0014,0.0020,
2023/1/12 10:11,,0.0014,0.0017,,,0.083,2023/1/12 10:11,,0.0014,0.0019,
2022/12/21 10:09,,0.0014,0.0014,,,0.079,2022/12/21 10:09,,0.0014,0.0019,
2022/11/16 7:42,,0.0014,0.0022,,,0.071,2022/11/16 7:42,,0.0014,0.0043,
2022/10/19 11:00,0.0016,,0.044,,0.094,,2022/10/19 11:00,,0.0014,0.0026,
2022/9/6 5:34,,0.0014,0.0036,,0.093,,2022/9/6 5:34,,0.0014,0.0023,
2022/8/2 6:46,,0.0014,0.0021,,,0.077,2022/8/2 6:46,,0.0014,0.0026,
2022/7/11 10:02,,0.0014,0.0049,,0.13,,2022/7/11 10:02,,0.0014,0.0045,
2022/6/22 10:34,,0.0014,0.0040,,0.14,,2022/6/22 10:34,,0.0014,0.0025,
2022/5/25 10:40,,0.0014,0.0047,,0.084,,2022/5/25 10:40,,0.0014,0.0033,
2022/5/11 10:40,,0.0013,0.0027,,,0.067,2022/5/11 10:40,,0.0014,0.0034,
2022/3/9 10:35,,0.0014,0.0032,,-,-,2022/3/9 10:35,,0.0014,0.0053,
2022/2/3 10:51,,0.0014,0.0029,,-,-,2022/2/3 10:51,,0.0014,0.0022,
2022/1/26 10:07,,0.0014,0.0027,,-,-,2022/1/26 10:07,,0.0014,0.0067,
2021/12/23 9:52,,0.0014,0.0099,,-,-,2021/12/23 9:52,,0.0014,0.0058,
2021/11/17 11:00,,0.0014,0.0049,,-,-,2021/11/17 11:00,,0.0014,0.0043,
2021/10/12 5:55,,0.0014,0.0052,,-,-,2021/10/12 5:55,,0.0014,0.0044,
2021/9/2 11:41,,0.0014,0.0044,,-,-,2021/9/2 11:41,,0.0012,0.0031,
2021/8/25 10:29,,0.0014,0.0031,,-,-,2021/8/25 10:29,,0.0014,0.0034,
2021/8/5 5:38,,0.0014,0.0037,,-,-,2021/8/5 5:38,,0.0014,0.0029,
2021/6/17 10:40,,0.0014,0.0031,,-,-,2021/6/17 10:40,,0.0015,0.0028,
2021/5/19 10:20,,0.0015,0.0041,,-,-,2021/5/19 10:20,,0.0014,0.0082,
2021/4/21 10:18,,0.0014,0.0073,,-,-,2021/4/21 10:18,,0.0014,0.0060,
2021/3/4 10:42,,0.0014,0.0034,,-,-,2021/3/4 10:42,,0.0013,0.0059,
2021/2/4 12:06,,0.0014,0.0045,,-,-,2021/2/4 12:06,,0.0016,0.0059,
