File Creation Date,2025-12-08
Sampling Location,Around 2km offshore of Kido River (T-S5)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/10/1 6:27,,0.0012,0.0058,,-,-,2025/10/1 6:27,,0.0014,0.0076,
2025/9/10 6:49,,0.0014,0.0029,,-,-,2025/9/10 6:49,,0.0013,0.0030,
2025/8/21 6:19,,0.0014,0.0031,,0.15,,2025/8/21 6:19,,0.0014,0.0022,
2025/7/22 6:15,,0.0014,0.0023,,,0.063,2025/7/22 6:15,,0.0014,0.0028,
2025/6/18 8:19,,0.0014,0.0026,,0.070,,2025/6/18 8:19,,0.0014,0.0020,
2025/5/21 6:01,,0.0014,0.0047,,0.070,,2025/5/21 6:01,,0.0014,0.0038,
2025/4/9 6:10,,0.0014,0.0063,,0.069,,2025/4/9 6:10,,0.0014,0.0044,
2025/2/27 6:16,,0.0014,0.0026,,,0.072,2025/2/27 6:16,,0.0014,0.0019,
2024/12/3 6:13,,0.0014,0.0020,,,0.071,2024/12/3 6:13,,0.0014,0.0022,
2024/10/16 9:46,,0.0014,0.011,,0.14,,2024/10/16 9:46,,0.0014,0.0048,
2024/9/19 5:53,,0.0014,0.0038,,0.079,,2024/9/19 5:53,,0.0014,0.0025,
2024/8/1 6:18,,0.0014,0.0031,,0.085,,2024/8/1 6:18,,0.0013,0.0027,
2024/7/18 6:11,,0.0014,0.0054,,0.31,,2024/7/18 6:11,,0.0014,0.0051,
2024/6/27 6:02,,0.0014,0.0022,,,0.069,2024/6/27 6:02,,0.0014,0.0039,
2024/6/6 6:02,,0.0014,0.0055,,,0.070,2024/6/6 6:02,,0.0014,0.0032,
2024/4/23 6:05,,0.0014,0.0081,,,0.062,2024/4/23 6:05,,0.00098,0.0054,
2024/4/5 6:19,,0.0013,0.0045,,,0.071,2024/4/5 6:19,,0.0014,0.0054,
2024/2/9 6:12,,0.0014,0.0039,,,0.068,2024/2/9 6:12,,0.0014,0.0038,
2023/12/5 6:17,,0.0014,0.0029,,,0.071,2023/12/5 6:17,,0.0014,0.0038,
2023/11/20 6:04,,0.0014,0.0061,,0.14,,2023/11/20 6:04,,0.0014,0.0049,
2023/10/17 6:24,,0.0014,0.0059,,0.11,,2023/10/17 6:24,,0.0014,0.0063,
2023/9/14 6:09,,0.0014,0.0046,,,0.075,2023/9/14 6:09,,0.0014,0.0037,
2023/08/23 06:05,,0.0014,0.0060,,0.091,,2023/08/23 06:05,,0.0014,0.0047,
2023/7/18 5:49,,0.0014,0.0041,,,0.072,2023/7/18 5:49,,0.0014,0.0031,
2023/6/28 6:28,,0.0014,0.0047,,,0.080,2023/6/28 6:28,,0.0014,0.0029,
2023/5/10 6:00,,0.0014,0.0059,,,0.074,2023/5/10 6:00,,0.0014,0.0064,
2023/3/15 6:16,,0.0014,0.014,,,0.080,2023/3/15 6:16,,0.0014,0.0043,
2023/2/23 6:44,,0.0014,0.0040,,,0.070,2023/2/23 6:44,,0.0014,0.0041,
2023/1/19 7:31,,0.0014,0.0038,,,0.078,2023/1/19 7:31,,0.0014,0.0046,
2023/1/11 6:21,,0.0014,0.0022,,,0.085,2023/1/11 6:21,,0.0014,0.0027,
2022/11/8 6:22,,0.0014,0.0056,,0.15,,2022/11/8 6:22,,0.0014,0.0045,
2022/10/12 6:25,,0.0014,0.0064,,0.083,,2022/10/12 6:25,,0.0014,0.013,
2022/9/14 6:11,,0.0014,0.0052,,0.12,,2022/9/14 6:11,,0.0014,0.0032,
2022/8/29 6:25,,0.0012,0.0031,,0.088,,2022/8/29 6:25,,0.0014,0.0032,
2022/7/20 6:33,,0.0014,0.0043,,0.13,,2022/7/20 6:33,,0.0014,0.0032,
2022/6/29 6:06,,0.0014,0.0028,,0.11,,2022/6/29 6:06,,0.0014,0.0038,
2022/5/30 5:50,,0.0014,0.0061,,,0.074,2022/5/30 5:50,,0.0014,0.0089,
2022/3/24 6:10,,0.0014,0.012,,-,-,2022/3/24 6:10,,0.0014,0.011,
2022/2/24 6:03,,0.0014,0.013,,-,-,2022/2/24 6:03,,0.0014,0.0043,
2022/1/27 6:12,,0.0014,0.0089,,-,-,2022/1/27 6:12,,0.0014,0.0049,
2021/12/16 6:24,,0.0014,0.014,,-,-,2021/12/16 6:24,,0.0014,0.018,
2021/11/18 6:29,,0.0014,0.010,,-,-,2021/11/18 6:29,,0.0014,0.0098,
2021/9/21 9:50,,0.0014,0.0069,,-,-,2021/9/21 9:50,,0.0014,0.0073,
2021/8/30 6:17,,0.0014,0.0030,,-,-,2021/8/30 6:17,,0.0014,0.0039,
2021/8/2 5:55,,0.0014,0.0046,,-,-,2021/8/2 5:55,,0.0014,0.0041,
2021/6/23 6:05,,0.0015,0.0047,,-,-,2021/6/23 6:05,,0.0015,0.0074,
2021/5/25 8:08,,0.0015,0.0047,,-,-,2021/5/25 8:08,,0.0014,0.0095,
2021/3/8 6:12,,0.0014,0.011,,-,-,2021/3/8 6:12,,0.0014,0.012,
2021/2/11 6:16,,0.0014,0.0026,,-,-,2021/2/11 6:16,,0.0016,0.0025,
