File Creation Date,2026-01-05
Sampling Location,Around 2km offshore of 2F site (T-S7)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/11/12 6:21,,0.0014,0.0030,,-,-,2025/11/12 6:21,,0.0014,0.0035,
2025/10/1 5:53,,0.0014,0.0049,,-,-,2025/10/1 5:53,,0.0014,0.0057,
2025/9/10 5:52,,0.0014,0.0048,,0.11,,2025/9/10 5:52,,0.0014,0.0045,
2025/8/21 5:50,,0.0014,0.0032,,0.19,,2025/8/21 5:50,,0.0014,0.0027,
2025/7/22 5:48,,0.0014,0.0015,,0.14,,2025/7/22 5:48,,0.0012,0.0043,
2025/6/18 8:03,,0.0014,0.0028,,0.098,,2025/6/18 8:03,,0.0014,0.0030,
2025/5/21 5:38,,0.0014,0.0085,,,0.089,2025/5/21 5:38,,0.0014,0.0035,
2025/4/9 5:41,,0.0014,0.0081,,,0.081,2025/4/9 5:41,,0.0014,0.0048,
2025/2/27 5:49,,0.0014,0.0025,,,0.070,2025/2/27 5:49,,0.0014,0.0020,
2024/12/3 5:46,,0.0014,0.0048,,,0.078,2024/12/3 5:46,,0.0014,0.0044,
2024/10/16 9:12,,0.0014,0.0051,,0.091,,2024/10/16 9:12,,0.0014,0.0038,
2024/9/19 5:26,,0.0014,0.0035,,0.13,,2024/9/19 5:26,,0.0014,0.0017,
2024/8/1 5:53,,0.0014,0.0046,,0.11,,2024/8/1 5:53,,0.0014,0.0027,
2024/7/18 5:43,,0.0014,0.0052,,0.15,,2024/7/18 5:43,,0.0014,0.0043,
2024/6/27 5:41,,0.0014,0.0064,,0.14,,2024/6/27 5:41,,0.0014,0.0050,
2024/6/6 5:38,,0.0014,0.015,,,0.084,2024/6/6 5:38,,0.0014,0.0053,
2024/4/23 5:41,,0.0014,0.011,,,0.083,2024/4/23 5:41,,0.0010,0.0083,
2024/4/5 5:53,,0.0014,0.0059,,0.19,,2024/4/5 5:53,,0.0014,0.0060,
2024/2/9 5:46,,0.0014,0.0044,,,0.081,2024/2/9 5:46,,0.0014,0.0056,
2023/12/5 5:48,,0.0014,0.0025,,0.15,,2023/12/5 5:48,,0.0014,0.0033,
2023/11/20 5:43,,0.0014,0.010,,0.25,,2023/11/20 5:43,,0.0014,0.0084,
2023/10/17 6:00,,0.0014,0.0074,,0.11,,2023/10/17 6:00,,0.0014,0.0094,
2023/9/14 5:46,,0.0014,0.0088,,0.098,,2023/9/14 5:46,,0.0014,0.0043,
2023/08/23 05:40,,0.0014,0.0068,,,0.077,2023/08/23 05:40,,0.0014,0.0054,
2023/7/18 5:24,,0.0014,0.0044,,,0.061,2023/7/18 5:24,,0.0014,0.0034,
2023/6/28 5:50,,0.0014,0.0055,,,0.066,2023/6/28 5:50,,0.0014,0.0043,
2023/5/10 5:37,,0.0014,0.0098,,,0.24,2023/5/10 5:37,,0.0014,0.0032,
2023/3/15 5:53,,0.0014,0.0045,,,0.34,2023/3/15 5:53,,0.0014,0.0047,
2023/2/23 6:15,,0.0014,0.0042,,,0.35,2023/2/23 6:15,,0.0014,0.0062,
2023/1/19 7:02,,0.0014,0.0033,,,0.32,2023/1/19 7:02,,0.0014,0.0038,
2023/1/11 5:48,,0.0014,0.0013,,,0.31,2023/1/11 5:48,,0.0014,0.0018,
2022/11/8 6:00,,0.0014,0.0051,,,0.31,2022/11/8 6:00,,0.0014,0.0099,
2022/10/12 5:59,,0.0014,0.0060,,,0.33,2022/10/12 5:59,,0.0014,0.0090,
2022/9/14 5:51,,0.0014,0.0026,,,0.32,2022/9/14 5:51,,0.0014,0.0033,
2022/8/29 5:49,,0.0014,0.0059,,,0.32,2022/8/29 5:49,,0.0014,0.0024,
2022/7/20 6:01,,0.0014,0.0035,,,0.33,2022/7/20 6:01,,0.0014,0.0049,
2022/6/29 5:46,,0.0011,0.0027,,0.39,,2022/6/29 5:46,,0.0014,0.0036,
2022/5/30 5:29,,0.0013,0.0054,,,0.33,2022/5/30 5:29,,0.0014,0.0092,
2022/3/24 5:53,,0.0014,0.0069,,-,-,2022/3/24 5:53,,0.0014,0.0075,
2022/2/24 5:41,,0.0014,0.0073,,-,-,2022/2/24 5:41,,0.0014,0.0071,
2022/1/27 5:52,,0.0014,0.0080,,-,-,2022/1/27 5:52,,0.0014,0.0097,
2021/12/16 5:47,,0.0014,0.013,,-,-,2021/12/16 5:47,,0.0014,0.014,
2021/11/18 6:00,,0.0014,0.011,,-,-,2021/11/18 6:00,,0.0014,0.012,
2021/9/21 9:30,,0.0014,0.0074,,-,-,2021/9/21 9:30,,0.0014,0.0081,
2021/8/30 5:48,,0.0014,0.0061,,-,-,2021/8/30 5:48,,0.0014,0.0057,
2021/8/2 5:30,,0.0014,0.0074,,-,-,2021/8/2 5:30,,0.0014,0.0042,
2021/6/23 5:40,,0.0014,0.0051,,-,-,2021/6/23 5:40,,0.0013,0.0077,
2021/5/25 7:39,,0.0013,0.0054,,-,-,2021/5/25 7:39,,0.0015,0.0070,
2021/3/8 5:48,,0.0015,0.014,,-,-,2021/3/8 5:48,,0.0015,0.015,
2021/2/11 5:50,,0.0015,0.0034,,-,-,2021/2/11 5:50,,0.0015,0.0065,
