File Creation Date,2024-11-28
Sampling Location,Around 15km offshore of Odakaku (T-B1)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2024/10/22 6:40,,0.0014,0.0018,,-,-,2024/10/22 6:40,,0.0014,0.0017,
2024/10/1 7:01,,0.0014,0.0015,,-,-,2024/10/1 7:01,,0.0014,0.0019,
2024/9/10 6:54,,0.0014,0.0013,,-,-,2024/9/10 6:54,,0.0014,0.0015,
2024/6/25 7:31,,0.0014,0.0032,,0.092,,2024/6/25 7:31,,0.0014,0.0020,
2024/6/11 7:35,,0.0014,0.0028,,,0.082,2024/6/11 7:35,,0.0014,0.0020,
2024/5/28 5:35,,0.0014,0.0015,,,0.079,2024/5/28 5:35,,0.0014,0.0018,
2024/4/9 6:06,,0.0014,0.0035,,,0.059,2024/4/9 6:06,,0.0014,0.0021,
2024/3/15 10:24,,0.0014,0.0018,,0.14,,2024/3/15 10:24,,0.0014,0.0023,
2024/1/30 6:38,,0.0014,0.0022,,0.096,,2024/1/30 6:38,,0.0014,0.0027,
2023/12/19 8:04,,0.0013,0.0017,,0.077,,2023/12/19 8:04,,0.0014,0.0019,
2023/11/14 7:28,,0.0014,0.0013,,,0.073,2023/11/14 7:28,,0.0014,0.0012,
2023/10/3 7:36,,0.0014,0.0014,,0.11,,2023/10/3 7:36,,0.0014,0.0019,
2023/9/12 6:51,,0.0014,0.0026,,0.15,,2023/9/12 6:51,,0.0014,0.0017,
2023/08/22 07:43,,0.0014,0.0017,,,0.065,2023/08/22 07:43,,0.0014,0.0020,
2023/8/1 6:24,,0.0014,0.0025,,0.075,,2023/8/1 6:24,,0.0014,0.0021,
2023/6/20 6:05,,0.0014,0.0012,,,0.076,2023/6/20 6:05,,0.0014,0.0018,
2023/6/6 7:29,,0.0014,0.0014,,,0.34,2023/6/6 7:29,,0.0014,0.0023,
2023/5/30 6:15,,0.0014,0.0014,,,0.34,2023/5/30 6:15,,0.0014,0.0028,
2023/3/28 7:14,,0.0014,0.0016,,,0.33,2023/3/28 7:14,,0.0014,0.0021,
2023/2/28 6:58,,0.0014,0.0018,,,0.31,2023/2/28 6:58,,0.0014,0.0020,
2023/1/26 6:52,,0.0014,0.0020,,,0.31,2023/1/26 6:52,,0.0014,0.0024,
2022/12/13 6:32,,0.0014,0.0015,,,0.33,2022/12/13 6:32,,0.0014,0.0028,
2022/12/6 5:58,,0.0014,0.0017,,,0.32,2022/12/6 5:58,,0.0014,0.0023,
2022/11/10 7:06,,0.0014,0.0017,,,0.32,2022/11/10 7:06,,0.0014,0.0020,
2022/9/13 12:08,,0.0014,0.0011,,,0.32,2022/9/13 12:08,,0.0014,0.0013,
2022/8/26 7:02,,0.0014,0.0015,,,0.31,2022/8/26 7:02,,0.0014,0.0021,
2022/8/5 10:45,,0.0014,0.0015,,,0.32,2022/8/5 10:45,,0.0014,0.0014,
2022/6/21 7:16,,0.0014,0.0018,,,0.33,2022/6/21 7:16,,0.0014,0.0014,
2022/5/24 6:09,,0.0014,0.0015,,,0.33,2022/5/24 6:09,,0.0014,0.0015,
2022/5/17 6:47,,0.0014,0.0021,,,0.32,2022/5/17 6:47,,0.0014,0.0018,
2022/3/29 5:52,,0.0014,0.0020,,-,-,2022/3/29 5:52,,0.0014,0.0019,
2022/2/8 6:49,,0.0014,0.0014,,-,-,2022/2/8 6:49,,0.0014,0.0018,
2022/1/25 9:46,,0.0014,0.0019,,-,-,2022/1/25 9:46,,0.0014,0.0021,
2021/12/21 7:19,,0.0014,0.0022,,-,-,2021/12/21 7:19,,0.0014,0.0015,
2021/11/16 7:56,,0.0014,0.0018,,-,-,2021/11/16 7:56,,0.0014,0.0024,
2021/10/5 6:21,,0.0014,0.0060,,-,-,2021/10/5 6:21,,0.0014,0.0023,
2021/9/24 5:49,,0.0014,0.0019,,-,-,2021/9/24 5:49,,0.0013,0.0026,
2021/8/24 6:28,,0.0014,0.0019,,-,-,2021/8/24 6:28,,0.0014,0.0019,
2021/7/20 6:14,,0.0014,0.0026,,-,-,2021/7/20 6:14,,0.0012,0.0024,
2021/6/15 6:11,,0.0013,0.0022,,-,-,2021/6/15 6:11,,0.0014,0.0017,
2021/5/18 5:50,,0.0011,0.0020,,-,-,2021/5/18 5:50,,0.0014,0.0019,
2021/3/19 10:10,,0.0014,0.0027,,-,-,2021/3/19 10:10,,0.0014,0.0019,
2021/2/26 6:47,,0.0012,0.0020,,-,-,2021/2/26 6:47,,0.0012,0.0021,
