File Creation Date,2025-12-03
Sampling Location,Around 18km offshore of Ukedo River (T-B2)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/10/21 6:33,,0.0014,0.0010,,-,-,2025/10/21 6:33,,0.0014,0.0012,
2025/9/16 6:23,,0.0014,0.0011,,-,-,2025/9/16 6:23,,0.0014,0.0016,
2025/8/26 6:31,,0.0014,0.0014,,0.14,,2025/8/26 6:31,,0.0014,0.0013,
2025/6/17 7:32,,0.0012,0.0015,,0.12,,2025/6/17 7:32,,0.0014,0.0016,
2025/5/27 8:04,,0.0014,0.0019,,0.14,,2025/5/27 8:04,,0.0013,0.0011,
2025/5/13 7:08,,0.0012,0.0014,,0.18,,2025/5/13 7:08,,0.0014,0.0012,
2025/4/22 6:49,,0.0014,0.0020,,,0.086,2025/4/22 6:49,,0.0014,0.0021,
2024/12/17 6:34,,0.0014,0.0014,,,0.078,2024/12/17 6:34,,0.0014,0.0019,
2024/11/12 7:00,,0.0014,0.0015,,,0.069,2024/11/12 7:00,,0.0014,0.0016,
2024/10/22 6:10,,0.0014,0.0017,,,0.071,2024/10/22 6:10,,0.0014,0.0014,
2024/10/1 7:34,,0.0014,0.0011,,0.10,,2024/10/1 7:34,,0.0014,0.0018,
2024/9/10 6:23,,0.0014,0.0025,,0.093,,2024/9/10 6:23,,0.0014,0.0017,
2024/6/25 8:08,,0.0014,0.0015,,0.085,,2024/6/25 8:08,,0.0014,0.0016,
2024/6/11 6:44,,0.0014,0.0029,,,0.083,2024/6/11 6:44,,0.0014,0.0023,
2024/5/28 6:05,,0.0014,0.0017,,,0.086,2024/5/28 6:05,,0.0014,0.0018,
2024/4/9 6:33,,0.0014,0.0024,,,0.064,2024/4/9 6:33,,0.0014,0.0018,
2024/3/15 9:53,,0.0014,0.0017,,0.11,,2024/3/15 9:53,,0.0014,0.0029,
2024/1/30 7:45,,0.0014,0.0029,,0.12,,2024/1/30 7:45,,0.0014,0.0023,
2023/12/19 7:14,,0.0014,0.0016,,,0.074,2023/12/19 7:14,,0.0014,0.0017,
2023/11/14 7:57,,0.0014,0.0014,,,0.078,2023/11/14 7:57,,0.0014,0.0013,
2023/10/3 6:59,,0.0014,0.0014,,,0.077,2023/10/3 6:59,,0.0014,0.0018,
2023/9/12 6:17,,0.0014,0.0022,,0.12,,2023/9/12 6:17,,0.0014,0.0018,
2023/08/22 07:09,,0.0014,0.0015,,,0.063,2023/08/22 07:09,,0.0014,0.0025,
2023/8/1 7:07,,0.0014,0.0024,,0.088,,2023/8/1 7:07,,0.0014,0.0031,
2023/6/20 6:34,,0.0014,0.0020,,,0.071,2023/6/20 6:34,,0.0014,0.0022,
