File Creation Date,2025-03-13
Sampling Location,Near south discharge (T-2)

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/3/11 6:35,,0.93,,0.74,-,-
2025/3/10 7:40,,0.75,,0.82,-,-
2025/3/9 8:50,,0.72,,0.71,-,-
2025/3/8 6:22,,0.75,,0.82,-,-
2025/3/7 6:30,,0.88,,0.78,-,-
2025/3/6 6:50,,0.94,,0.79,-,-
2025/3/5 6:45,,0.75,,0.93,-,-
2025/3/4 6:40,,0.82,,0.57,-,-
2025/3/3 8:30,,0.82,,0.86,-,-
2025/3/2 6:45,,0.79,,0.75,-,-
2025/3/1 6:25,,0.75,,0.63,-,-
2025/2/28 6:30,,0.98,,0.82,-,-
2025/2/27 6:40,,0.93,,0.63,-,-
2025/2/26 6:38,,0.93,,0.78,-,-
2025/2/25 6:30,,0.58,,0.74,-,-
2025/2/24 6:24,,0.88,,0.62,,0.36
2025/2/23 6:24,,0.77,,0.78,-,-
2025/2/22 6:22,,0.88,,0.93,-,-
2025/2/21 7:00,,0.93,,0.71,,0.32
2025/2/20 6:35,,0.68,,0.82,-,-
2025/2/19 6:30,,0.68,,0.63,-,-
2025/2/18 6:31,,0.79,,0.83,-,-
2025/2/17 7:48,,0.0011,0.050,,,0.31
2025/2/16 8:20,,0.73,,0.51,-,-
2025/2/15 6:10,,0.91,,0.90,-,-
2025/2/14 6:28,,0.84,,0.78,,0.32
2025/2/13 6:30,,0.88,,0.78,-,-
2025/2/12 6:33,,0.94,,0.75,-,-
2025/2/11 6:40,,0.88,,0.78,-,-
2025/2/10 7:40,,0.0011,0.030,,-,-
2025/2/9 6:27,,0.61,,0.57,-,-
2025/2/8 6:20,,0.67,,0.57,,0.34
2025/2/7 6:35,,0.61,,0.51,-,-
2025/2/6 6:30,,0.97,,0.82,-,-
2025/2/5 7:45,,0.94,,0.59,-,-
2025/2/4 6:30,,0.65,,0.64,-,-
2025/2/3 8:15,,0.0012,0.041,,,0.31
2025/2/2 8:40,,0.73,,0.62,-,-
2025/2/1 6:30,,0.93,,0.78,0.43,
2025/1/31 6:40,,0.82,,0.90,-,-
2025/1/30 6:35,,0.75,,0.74,-,-
2025/1/29 8:00,,0.0012,0.064,,,0.33
2025/1/28 6:30,,0.98,,0.78,-,-
2025/1/27 7:40,,0.75,,0.82,-,-
2025/1/25 6:18,,0.73,,0.61,-,-
2025/1/24 6:23,,0.68,,0.74,,0.29
2025/1/23 6:26,,0.88,,0.74,-,-
2025/1/22 7:45,,0.58,,0.78,-,-
2025/1/21 6:40,,0.68,,0.74,-,-
2025/1/20 8:40,,0.0012,0.021,,,0.32
2025/1/19 8:35,,0.88,,0.69,-,-
2025/1/18 6:20,,0.93,,0.63,-,-
2025/1/17 6:30,,0.56,,0.62,,0.33
2025/1/16 6:35,,0.98,,0.86,-,-
2025/1/15 7:30,,0.68,,0.79,-,-
2025/1/14 6:30,,0.93,,0.63,-,-
2025/1/13 7:45,,0.0012,0.016,,-,-
2025/1/12 8:35,,0.79,,0.66,-,-
2025/1/11 6:28,,0.86,,0.60,-,-
2025/1/10 6:34,,0.55,,0.66,,0.33
2025/1/9 6:28,,0.84,,0.61,-,-
2025/1/8 6:25,,0.67,,0.71,-,-
2025/1/7 6:40,,0.84,,0.82,-,-
2025/1/6 7:00,,0.0011,0.030,,,0.32
2025/1/5 6:30,,0.86,,0.86,-,-
2025/1/4 6:30,,0.88,,0.86,,0.29
2025/1/3 6:30,,0.93,,0.86,-,-
2025/1/2 6:15,,0.72,,0.61,-,-
2025/1/1 6:25,,0.75,,0.74,-,-
2024/12/31 9:27,,0.84,,0.54,-,-
2024/12/30 7:35,,0.0012,0.022,,,0.33
2024/12/29 6:30,,0.64,,0.68,-,-
2024/12/28 6:14,,0.78,,0.71,-,-
2024/12/27 6:32,,0.71,,0.65,0.45,
2024/12/26 6:30,,0.74,,0.62,-,-
2024/12/25 6:30,,0.64,,0.68,-,-
2024/12/24 6:30,,0.69,,0.65,-,-
2024/12/23 8:26,,0.0011,0.0094,,,0.33
2024/12/22 6:20,,0.72,,0.66,-,-
2024/12/21 8:03,,0.65,,0.75,-,-
2024/12/20 6:40,,0.75,,0.63,,0.28
2024/12/19 6:23,,0.53,,0.57,-,-
2024/12/18 6:40,,0.74,,0.62,-,-
2024/12/17 6:20,,0.75,,0.86,-,-
2024/12/16 7:53,,0.0012,0.017,,,0.31
2024/12/15 6:20,,0.68,,0.57,-,-
2024/12/14 6:20,,0.75,,0.74,-,-
2024/12/13 6:40,,0.88,,0.63,,0.25
2024/12/12 6:35,,0.53,,0.65,-,-
2024/12/11 6:30,,0.81,,0.72,-,-
2024/12/10 6:35,,0.97,,0.90,-,-
2024/12/9 7:34,,0.0012,0.011,,,0.077
2024/12/8 6:25,,0.84,,0.74,-,-
2024/12/7 8:10,,0.68,,0.62,-,-
2024/12/6 6:40,,0.72,,0.54,-,-
2024/12/5 6:35,,0.75,,0.71,-,-
2024/12/4 6:52,,0.82,,0.82,-,-
2024/12/3 6:43,,0.68,,0.86,-,-
2024/12/2 8:05,,0.0012,0.018,,,0.32
2024/12/1 6:35,,0.67,,0.72,-,-
2024/11/30 6:28,,0.82,,0.69,-,-
2024/11/29 6:30,,0.65,,0.71,,0.33
2024/11/28 6:24,,0.75,,0.82,-,-
2024/11/27 6:20,,0.93,,0.82,-,-
2024/11/26 6:30,,0.66,,0.47,-,-
2024/11/25 8:00,,0.0013,0.014,,,0.36
2024/11/24 6:10,,0.79,,0.83,-,-
2024/11/23 6:25,,0.75,,0.75,-,-
2024/11/22 6:23,,0.93,,0.89,,0.29
2024/11/21 6:30,,0.75,,0.75,-,-
2024/11/20 6:45,,0.79,,0.59,-,-
2024/11/19 6:30,,0.68,,0.79,-,-
2024/11/18 7:50,,0.0010,0.030,,,0.25
2024/11/17 6:13,,0.77,,0.78,-,-
2024/11/16 6:30,,0.84,,0.54,-,-
2024/11/15 6:43,,0.77,,0.76,,0.25
2024/11/14 8:30,,0.89,,0.75,-,-
2024/11/13 6:30,,0.80,,0.65,-,-
2024/11/12 6:38,,0.95,,0.51,-,-
