File Creation Date,2025-02-03
Sampling Location,Around 10km offshore of 1F site (T-B3)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2024/11/26 5:11,,0.0014,0.0059,,-,-,2024/11/26 5:11,,0.0014,0.0024,
2024/10/26 6:00,,0.0014,0.0014,,-,-,2024/10/26 6:00,,0.0014,0.0021,
2024/9/14 6:21,,0.0014,0.0051,,0.076,,2024/9/14 6:21,,0.0014,0.0018,
2024/8/26 5:07,,0.0014,0.0011,,,0.066,2024/8/26 5:07,,0.0014,0.0016,
2024/6/8 5:54,,0.0014,0.0021,,0.093,,2024/6/8 5:54,,0.0014,0.0026,
2024/5/11 5:15,,0.0014,0.0029,,,0.079,2024/5/11 5:15,,0.0014,0.0027,
2024/4/16 6:12,,0.0014,0.0029,,0.14,,2024/4/16 6:12,,0.0014,0.0025,
2024/3/24 5:42,,0.0014,0.0020,,0.11,,2024/3/24 5:42,,0.0014,0.0025,
2024/1/27 5:57,,0.0014,0.0024,,0.11,,2024/1/27 5:57,,0.0014,0.0055,
2023/12/19 5:56,,0.0014,0.0021,,0.087,,2023/12/19 5:56,,0.0014,0.0018,
2023/11/28 5:36,,0.0014,0.0023,,,0.073,2023/11/28 5:36,,0.0014,0.0015,
2023/10/24 6:12,,0.0014,0.0079,,,0.072,2023/10/24 6:12,,0.0014,0.0017,
2023/9/26 6:02,,0.0014,0.0014,,0.11,,2023/9/26 6:02,,0.0014,0.0020,
2023/08/24 05:33,,0.0014,0.0019,,0.071,,2023/08/24 05:33,,0.0014,0.0025,
2023/6/27 4:18,,0.0014,0.0035,,,0.074,2023/6/27 4:18,,0.0014,0.0028,
2023/5/27 5:31,,0.0014,0.0017,,,0.34,2023/5/27 5:31,,0.0014,0.0016,
2023/5/13 5:19,,0.0014,0.0020,,,0.33,2023/5/13 5:19,,0.0014,0.0023,
2023/3/20 5:00,,0.0014,0.0079,,,0.34,2023/3/20 5:00,,0.0014,0.0028,
2023/2/22 6:25,,0.0013,0.0022,,,0.31,2023/2/22 6:25,,0.0014,0.0034,
2023/2/10 5:55,,0.0014,0.0012,,,0.35,2023/2/10 5:55,,0.0014,0.0017,
2022/12/20 5:09,,0.0014,0.016,,,0.35,2022/12/20 5:09,,0.0014,0.0020,
2022/10/28 5:44,,0.0014,0.0020,,,0.32,2022/10/28 5:44,,0.0014,0.0025,
2022/9/27 5:50,,0.0014,0.0016,,,0.33,2022/9/27 5:50,,0.0014,0.0019,
2022/8/30 6:08,,0.0014,0.0022,,,0.32,2022/8/30 6:08,,0.0014,0.0021,
2022/6/28 4:00,,0.0014,0.0016,,,0.33,2022/6/28 4:00,,0.0014,0.0012,
2022/5/31 5:22,,0.0014,0.0020,,,0.33,2022/5/31 5:22,,0.0014,0.0015,
2022/3/15 6:01,,0.0014,0.0064,,-,-,2022/3/15 6:01,,0.0014,0.0023,
2022/2/10 5:45,,0.0014,0.0023,,-,-,2022/2/10 5:45,,0.0014,0.0025,
2021/12/14 5:56,,0.0014,0.0050,,-,-,2021/12/14 5:56,,0.0013,0.0037,
2021/11/30 5:47,,0.0014,0.011,,-,-,2021/11/30 5:47,,0.0014,0.0031,
2021/10/19 5:45,,0.0014,0.0019,,-,-,2021/10/19 5:45,,0.0013,0.0021,
2021/9/14 5:56,,0.0014,0.0016,,-,-,2021/9/14 5:56,,0.0014,0.0021,
2021/8/27 5:56,,0.0014,0.0039,,-,-,2021/8/27 5:56,,0.0014,0.0021,
2021/7/21 6:00,,0.0014,0.0037,,-,-,2021/7/21 6:00,,0.0014,0.0019,
2021/5/25 5:49,,0.0015,0.0027,,-,-,2021/5/25 5:49,,0.0014,0.0023,
2021/4/28 5:21,,0.0013,0.0023,,-,-,2021/4/28 5:21,,0.0014,0.0027,
2021/3/18 5:54,,0.0015,0.0026,,-,-,2021/3/18 5:54,,0.0014,0.0024,
