File Creation Date,2025-09-16
Sampling Location,15km offshore of Iwasawa beach (T-7)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/7/3 7:31,,0.0014,0.0013,,-,-,2025/7/3 7:31,,0.0013,0.0014,
2025/6/10 6:58,,0.0014,0.0021,,-,-,2025/6/10 6:58,,0.0014,0.0014,
2025/5/13 9:02,,0.0014,0.0019,,0.24,,2025/5/13 9:02,,0.0014,0.0017,
2025/4/28 8:36,,0.0014,0.0019,,,0.076,2025/4/28 8:36,,0.0014,0.0017,
2025/3/11 8:25,,0.0014,0.0015,,,0.083,2025/3/11 8:25,,0.0014,0.0015,
2025/2/12 6:53,,0.0014,0.0021,,,0.076,2025/2/12 6:53,,0.0014,0.0017,
2025/1/23 7:15,,0.0014,0.0017,,,0.073,2025/1/23 7:15,,0.0013,0.0015,
2024/12/3 7:07,,0.0014,0.0018,,,0.078,2024/12/3 7:07,,0.0014,0.0017,
2024/11/20 9:11,,0.0014,0.0013,,,0.068,2024/11/20 9:11,,0.0014,0.0018,
2024/11/12 6:53,,0.0014,0.0013,,0.099,,2024/11/12 6:53,,0.0014,0.0019,
2024/9/13 7:01,,0.0014,0.0015,,,0.068,2024/9/13 7:01,,0.0013,0.0013,
2024/8/22 7:07,,0.0014,0.0015,,0.10,,2024/8/22 7:07,,0.0014,0.0024,
2024/7/10 7:08,,0.0014,0.0022,,0.091,,2024/7/10 7:08,,0.0014,0.0018,
2024/6/14 6:44,,0.0014,0.0014,,0.098,,2024/6/14 6:44,,0.0014,0.0013,
2024/5/24 6:44,,0.0014,0.0015,,0.079,,2024/5/24 6:44,,0.0014,0.0018,
2024/4/17 6:41,,0.0014,0.0020,,0.092,,2024/4/17 6:41,,0.0014,0.0019,
2024/3/20 6:50,,0.0014,0.0017,,0.080,,2024/3/20 6:50,,0.0013,0.0022,
2024/1/30 7:08,,0.0014,0.0015,,,0.070,2024/1/30 7:08,,0.0014,0.0036,
2023/12/25 6:48,,0.0014,0.0014,,,0.075,2023/12/25 6:48,,0.0014,0.0024,
2023/12/1 6:54,,0.0014,0.0017,,0.094,,2023/12/1 6:54,,0.0014,0.0019,
2023/10/27 7:26,,0.0014,0.0012,,,0.068,2023/10/27 7:26,,0.0014,0.0020,
2023/9/28 7:20,,0.0014,0.0015,,0.13,,2023/9/28 7:20,,0.0014,0.0014,
2023/7/25 6:45,,0.0014,0.0027,,0.11,,2023/7/25 6:45,,0.0014,0.0018,
2023/6/13 6:49,,0.0014,0.0010,,0.078,,2023/6/13 6:49,,0.0014,0.0018,
2023/5/19 7:14,,0.0014,0.0011,,,0.33,2023/5/19 7:14,,0.0014,0.0017,
2023/4/25 6:42,,0.0014,0.0011,,,0.34,2023/4/25 6:42,,0.0014,0.0016,
2023/3/3 8:46,,0.0014,0.0012,,,0.30,2023/3/3 8:46,,0.0014,0.0022,
2023/2/17 6:38,,0.0014,0.0015,,,0.35,2023/2/17 6:38,,0.0014,0.0013,
2023/2/7 8:47,,0.0014,0.0024,,,0.34,2023/2/7 8:47,,0.0014,0.0019,
2022/11/17 7:21,,0.0014,0.0012,,,0.32,2022/11/17 7:21,,0.0014,0.0023,
2022/10/29 6:57,,0.0014,0.0017,,,0.32,2022/10/29 6:57,,0.0014,0.0023,
2022/9/27 7:01,,0.0014,0.0014,,,0.33,2022/9/27 7:01,,0.0014,0.0016,
2022/7/1 6:57,,0.0014,0.0018,,0.38,,2022/7/1 6:57,,0.0014,0.0018,
2022/5/30 6:57,,0.0014,0.0015,,,0.31,2022/5/30 6:57,,0.0014,0.0015,
2022/4/21 6:45,,0.0014,0.0021,,,0.35,2022/4/21 6:45,,0.0014,0.0013,
2022/3/4 7:01,,0.0014,0.0017,,-,-,2022/3/4 7:01,,0.0014,0.0014,
2022/2/28 6:50,,0.0014,0.0018,,-,-,2022/2/28 6:50,,0.0014,0.0015,
2022/1/6 7:03,,0.0014,0.0019,,-,-,2022/1/6 7:03,,0.0014,0.0018,
2021/12/3 6:53,,0.0014,0.0023,,-,-,2021/12/3 6:53,,0.0014,0.0019,
2021/11/4 7:17,,0.0014,0.0015,,-,-,2021/11/4 7:17,,0.0014,0.0015,
2021/10/28 6:42,,0.0014,0.0024,,-,-,2021/10/28 6:42,,0.0014,0.0025,
2021/9/22 6:54,,0.0014,0.0014,,-,-,2021/9/22 6:54,,0.0014,0.0016,
2021/8/31 6:40,,0.0013,0.0034,,-,-,2021/8/31 6:40,,0.0014,0.0019,
2021/7/1 6:48,,0.0013,0.0020,,-,-,2021/7/1 6:48,,0.0015,0.0018,
2021/6/8 6:37,,0.0014,0.0024,,-,-,2021/6/8 6:37,,0.0014,0.0017,
2021/5/7 6:39,,0.0012,0.0020,,-,-,2021/5/7 6:39,,0.0012,0.0024,
2021/4/16 6:30,,0.0014,0.0021,,-,-,2021/4/16 6:30,,0.0015,0.0017,
2021/3/12 6:39,,0.0015,0.0028,,-,-,2021/3/12 6:39,,0.0014,0.0016,
2021/2/25 7:34,,0.0013,0.0022,,-,-,2021/2/25 7:34,,0.0014,0.0020,
