File Creation Date,2026-01-13
Sampling Location,1km offshore of Niida River (T-13-1)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/11/20 5:40,,0.0014,0.0019,,-,-,2025/11/20 5:40,,0.0014,0.0020,
2025/10/30 8:04,,0.0014,0.0041,,-,-,2025/10/30 8:04,,0.0014,0.0021,
2025/9/24 6:58,,0.0014,0.0021,,0.098,,2025/9/24 6:58,,0.0014,0.0024,
2025/8/21 9:24,,0.0014,0.0016,,0.090,,2025/8/21 9:24,,0.0014,0.0018,
2025/7/25 9:45,,0.0014,0.0017,,,0.069,2025/7/25 9:45,,0.0014,0.0023,
2025/6/19 9:16,,0.0013,0.0014,,0.090,,2025/6/19 9:16,,0.0014,0.0018,
2025/5/20 7:41,,0.0014,0.0035,,,0.062,2025/5/20 7:41,,0.0014,0.0023,
2025/4/10 6:45,,0.0014,0.0021,,,0.066,2025/4/10 6:45,,0.0014,0.0019,
2025/3/12 7:56,,0.0014,0.0022,,0.075,,2025/3/12 7:56,,0.0014,0.0022,
2025/2/17 7:32,,0.00097,0.0021,,,0.071,2025/2/17 7:32,,0.0014,0.0019,
2025/2/5 7:12,,0.0014,0.0028,,,0.067,2025/2/5 7:12,,0.0014,0.0023,
2024/12/18 10:06,,0.0014,0.0018,,,0.070,2024/12/18 10:06,,0.0014,0.0016,
2024/11/21 7:24,,0.0014,0.0022,,,0.070,2024/11/21 7:24,,0.0013,0.0032,
2024/10/25 10:37,,0.0014,0.0041,,0.098,,2024/10/25 10:37,,0.0014,0.0052,
2024/9/17 6:35,,0.0014,0.0022,,0.082,,2024/9/17 6:35,,0.0014,0.0027,
2024/8/23 6:20,,0.0014,0.0029,,,0.071,2024/8/23 6:20,,0.0014,0.0030,
2024/7/16 7:23,,0.0014,0.0044,,0.084,,2024/7/16 7:23,,0.0014,0.0027,
2024/6/19 5:08,,0.0014,0.0036,,,0.070,2024/6/19 5:08,,0.0014,0.0031,
2024/5/24 8:07,,0.0014,0.0029,,,0.063,2024/5/24 8:07,,0.0014,0.0031,
2024/4/17 9:44,,0.0013,0.0051,,0.076,,2024/4/17 9:44,,0.0014,0.0062,
2024/3/19 8:07,,0.0014,0.0039,,,0.072,2024/3/19 8:07,,0.0014,0.0044,
2024/2/14 6:55,,0.0014,0.0016,,,0.069,2024/2/14 6:55,,0.0014,0.0024,
2024/1/31 8:06,,0.0014,0.0058,,,0.067,2024/1/31 8:06,,0.0014,0.011,
2023/12/18 10:13,,0.0014,0.0032,,0.12,,2023/12/18 10:13,,0.0014,0.0038,
2023/11/22 7:00,,0.0014,0.0037,,0.078,,2023/11/22 7:00,,0.0014,0.0036,
2023/10/19 10:12,,0.0013,0.0035,,0.087,,2023/10/19 10:12,,0.0014,0.0055,
2023/9/21 6:36,,0.0014,0.0025,,0.11,,2023/9/21 6:36,,0.0013,0.0040,
2023/08/08 10:09,,0.0014,0.0039,,0.079,,2023/08/08 10:09,,0.0014,0.0032,
2023/7/7 6:10,,0.0014,0.0034,,,0.087,2023/7/7 6:10,,0.0013,0.0042,
2023/6/16 9:48,,0.0014,0.0028,,,0.065,2023/6/16 9:48,,0.0014,0.0025,
2023/6/1 6:46,,0.0014,0.0027,,,0.35,2023/6/1 6:46,,0.0014,0.0039,
2023/5/11 9:40,,0.0014,0.0023,,,0.36,2023/5/11 9:40,,0.0014,0.0024,
2023/3/8 6:26,,0.0014,0.0034,,,0.35,2023/3/8 6:26,,0.0014,0.0028,
2023/2/17 7:27,,0.0013,0.0028,,,0.35,2023/2/17 7:27,,0.0013,0.0033,
2023/1/16 10:14,,0.0014,0.0032,,,0.36,2023/1/16 10:14,,0.0014,0.0034,
2022/12/1 10:28,,0.0014,0.0067,,,0.33,2022/12/1 10:28,,0.0014,0.0064,
2022/11/18 7:58,,0.0014,0.0042,,,0.34,2022/11/18 7:58,,0.0014,0.0047,
2022/10/6 7:06,,0.0014,0.0026,,,0.36,2022/10/6 7:06,,0.0014,0.0031,
2022/9/29 7:42,,0.0014,0.0026,,,0.35,2022/9/29 7:42,,0.0014,0.0080,
2022/8/4 9:59,,0.0014,0.0019,,,0.34,2022/8/4 9:59,,0.0014,0.0024,
2022/7/12 5:53,,0.0014,0.0024,,,0.38,2022/7/12 5:53,,0.0014,0.0022,
2022/6/3 9:35,,0.0014,0.0030,,,0.38,2022/6/3 9:35,,0.0013,0.0030,
2022/5/20 8:36,,0.0014,0.0034,,,0.38,2022/5/20 8:36,,0.0014,0.0034,
2022/4/13 8:29,,0.0014,0.0027,,-,-,2022/4/13 8:29,,0.0014,0.0019,
2022/3/2 6:48,,0.0014,0.0030,,-,-,2022/3/2 6:48,,0.0014,0.0027,
2022/2/9 7:17,,0.0014,0.0026,,-,-,2022/2/9 7:17,,0.0014,0.0030,
2022/1/18 6:58,,0.0014,0.0036,,-,-,2022/1/18 6:58,,0.0014,0.0041,
2021/12/3 6:41,,0.0014,0.011,,-,-,2021/12/3 6:41,0.0016,,0.020,
2021/11/26 5:55,,0.0014,0.0051,,-,-,2021/11/26 5:55,,0.0014,0.0052,
2021/10/8 5:58,,0.0014,0.0068,,-,-,2021/10/8 5:58,,0.0014,0.0072,
2021/9/1 6:19,,0.0014,0.0048,,-,-,2021/9/1 6:19,,0.0014,0.0030,
2021/8/17 6:51,,0.0014,0.0051,,-,-,2021/8/17 6:51,,0.0014,0.0043,
2021/7/6 5:05,,0.0015,0.0031,,-,-,2021/7/6 5:05,,0.0014,0.0036,
2021/6/3 6:36,,0.0015,0.0043,,-,-,2021/6/3 6:36,,0.0015,0.0044,
2021/5/21 7:08,,0.0015,0.0048,,-,-,2021/5/21 7:08,,0.0015,0.0045,
2021/4/2 6:47,,0.0014,0.014,,-,-,2021/4/2 6:47,,0.0014,0.0040,
2021/3/10 6:10,,0.0014,0.0033,,-,-,2021/3/10 6:10,,0.0014,0.0040,
2021/2/5 11:20,,0.0013,0.0038,,-,-,2021/2/5 11:20,,0.0013,0.0034,
