File Creation Date,2024-12-12
Sampling Location,

Surface layer,,,,
,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND
2024/03/04,,0.84,,0.96
2024/02/05,,1.3,,1.1
2024/01/04,,1.1,,0.79
2023/12/04,,1.2,,0.83
2023/11/06,,0.95,,0.84
2023/10/02,,1.1,,0.91
2023/09/04,,1.1,,0.96
2023/08/07,,0.83,,0.65
2023/07/03,,1.1,,0.93
2023/06/05,,0.76,,0.97
2023/05/01,,1,,1
2023/04/03,,1,,1
2023/03/06,,1,,1
2023/02/06,,1,,1
2023/01/04,,1,,1
2022/12/05,,1,,1
2022/11/07,,1,,1
2022/10/03,,1,,1
2022/09/05,,1,,1
2022/08/01,,1,,1
2022/07/04,,1,,1
2022/06/06,,1,,1
2022/05/02,,1,,1
2022/04/04,,1,,1
2022/03/07,,1,,1
2022/02/07,,1,,1
2022/01/04,,1,,1
2021/12/06,,1,,1
2021/11/01,,1,,1
2021/10/04,,1,,1
2021/09/06,,1,,1
2021/08/02,,1,,1
2021/07/05,,1,,1
2021/06/07,,1,,1
2021/05/06,,1,,1
2021/04/05,,1,,1
