File Creation Date,2025-05-20
Sampling Location,3km Offshore of Soma 3km (T-22)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/3/12 9:15,,0.0014,0.0022,,-,-,2025/3/12 9:15,,0.0014,0.0034,
2025/2/17 6:32,,0.0014,0.0022,,-,-,2025/2/17 6:32,,0.0014,0.0024,
2025/2/5 8:09,,0.0014,0.0022,,,0.067,2025/2/5 8:09,,0.0014,0.0026,
2024/12/18 9:02,,0.0014,0.0023,,,0.071,2024/12/18 9:02,,0.0014,0.0026,
2024/11/21 6:11,,0.0014,0.0024,,,0.072,2024/11/21 6:11,,0.0014,0.0026,
2024/10/25 9:32,,0.0014,0.0028,,,0.067,2024/10/25 9:32,,0.0014,0.0031,
2024/9/17 7:39,,0.0014,0.0026,,,0.073,2024/9/17 7:39,,0.0014,0.0028,
2024/8/23 7:31,,0.0014,0.0031,,,0.070,2024/8/23 7:31,,0.0014,0.0035,
2024/7/16 8:51,,0.0014,0.0027,,0.14,,2024/7/16 8:51,,0.0014,0.0023,
2024/6/19 6:23,,0.0014,0.0031,,0.075,,2024/6/19 6:23,,0.0014,0.0038,
2024/5/24 9:18,,0.0014,0.0031,,,0.068,2024/5/24 9:18,,0.00097,0.0041,
2024/4/17 8:33,,0.0014,0.0032,,,0.078,2024/4/17 8:33,,0.0014,0.0036,
2024/3/19 6:55,,0.0014,0.0050,,0.074,,2024/3/19 6:55,,0.0014,0.0060,
2024/2/14 8:01,,0.0014,0.0026,,,0.069,2024/2/14 8:01,,0.0014,0.0021,
2024/1/31 9:10,,0.0014,0.0048,,,0.068,2024/1/31 9:10,,0.0014,0.0046,
2023/12/18 9:06,,0.0014,0.0025,,,0.079,2023/12/18 9:06,,0.0014,0.0035,
2023/11/22 5:38,,0.0014,0.0032,,,0.082,2023/11/22 5:38,,0.0014,0.0033,
2023/10/19 9:11,,0.0014,0.0024,,0.12,,2023/10/19 9:11,,0.0014,0.0035,
2023/9/21 7:36,,0.0014,0.0028,,0.11,,2023/9/21 7:36,,0.0014,0.0024,
2023/08/08 09:01,,0.0014,0.0050,,0.087,,2023/08/08 09:01,,0.0014,0.0053,
2023/7/7 7:12,,0.0014,0.0020,,,0.086,2023/7/7 7:12,,0.0013,0.0037,
2023/6/16 8:43,,0.0014,0.0020,,,0.074,2023/6/16 8:43,,0.0014,0.0022,
2023/6/1 5:49,,0.0014,0.0029,,,0.35,2023/6/1 5:49,,0.0014,0.0038,
2023/5/11 8:37,,0.0014,0.0055,,,0.36,2023/5/11 8:37,,0.0013,0.0028,
2023/3/8 7:45,,0.0014,0.0028,,,0.34,2023/3/8 7:45,,0.0014,0.0027,
2023/2/17 6:26,,0.0014,0.0026,,,0.34,2023/2/17 6:26,,0.0014,0.0020,
2023/1/16 8:57,,0.0014,0.0020,,,0.36,2023/1/16 8:57,,0.0014,0.0020,
2022/12/1 9:15,,0.0014,0.0054,,,0.34,2022/12/1 9:15,,0.0014,0.0058,
2022/11/18 9:50,,0.0014,0.0037,,,0.34,2022/11/18 9:50,,0.0014,0.0031,
2022/10/6 5:44,,0.0014,0.0026,,,0.36,2022/10/6 5:44,,0.0013,0.0020,
2022/9/29 8:56,,0.0014,0.0025,,,0.34,2022/9/29 8:56,,0.0014,0.0036,
2022/8/4 8:53,,0.0014,0.0017,,,0.34,2022/8/4 8:53,,0.0014,0.0021,
2022/7/12 7:04,,0.0014,0.0044,,,0.38,2022/7/12 7:04,,0.0014,0.0030,
2022/6/3 8:39,,0.0014,0.0029,,,0.38,2022/6/3 8:39,,0.0014,0.0030,
2022/5/20 9:43,,0.0014,0.0023,,,0.39,2022/5/20 9:43,,0.0014,0.0034,
2022/4/13 9:37,,0.0014,0.0026,,-,-,2022/4/13 9:37,,0.0014,0.0026,
2022/3/2 8:08,,0.0014,0.0018,,-,-,2022/3/2 8:08,,0.0014,0.0023,
2022/2/9 6:13,,0.0014,0.0020,,-,-,2022/2/9 6:13,,0.0014,0.0016,
2022/1/18 5:51,,0.0014,0.0028,,-,-,2022/1/18 5:51,,0.0014,0.0033,
2021/12/3 5:43,,0.0014,0.0058,,-,-,2021/12/3 5:43,,0.0014,0.0064,
2021/11/26 6:55,,0.0014,0.0092,,-,-,2021/11/26 6:55,,0.0014,0.0039,
2021/10/8 7:04,,0.0014,0.0069,,-,-,2021/10/8 7:04,,0.0014,0.0048,
2021/9/1 7:08,,0.0014,0.0030,,-,-,2021/9/1 7:08,,0.0014,0.0024,
2021/8/17 5:36,,0.0014,0.0056,,-,-,2021/8/17 5:36,,0.0014,0.0031,
2021/7/6 5:55,,0.0014,0.0026,,-,-,2021/7/6 5:55,,0.0015,0.0018,
2021/6/3 5:24,,0.0014,0.0026,,-,-,2021/6/3 5:24,,0.0015,0.0045,
2021/5/21 6:01,,0.0013,0.0042,,-,-,2021/5/21 6:01,,0.0015,0.0047,
2021/4/2 5:48,,0.0011,0.0038,,-,-,2021/4/2 5:48,,0.0012,0.0047,
2021/3/10 7:08,,0.0014,0.0037,,-,-,2021/3/10 7:08,,0.0014,0.0031,
2021/2/5 10:10,,0.0016,0.0037,,-,-,2021/2/5 10:10,,0.0014,0.0028,
