File Creation Date,2025-01-09
Sampling Location,

1.5m,,,,
,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND
2024/03/15,,0.7,,0.58
2024/02/01,,0.83,,0.76
2024/01/17,,1.1,,0.93
2023/12/13,,0.99,,0.8
2023/11/21,,0.77,,0.75
2023/10/04,,1.2,,0.66
2023/09/04,,1.1,,1
2023/08/04,,0.98,,0.92
2023/07/12,,1,,0.99
2023/06/02,,1.1,,0.99
2023/05/19,,1,,1
2023/04/17,,1,,1
2023/03/01,,1,,1
2023/02/03,,1,,1
2023/01/09,,1,,1
2022/12/18,,1,,1
2022/11/04,,1,,1
2022/10/13,,1,,1
2022/09/13,,1,,1
2022/08/16,,1,,1
2022/07/07,,1,,1
2022/06/17,,1,,1
2022/05/13,,1,,1
2022/04/18,,1,,1
2022/03/07,,1,,1
2022/02/21,,1,,1
2022/01/12,,1,,1
2021/12/10,,1,,1
2021/11/01,,1,,1
2021/10/08,,1,,1
2021/09/10,,1,,1
2021/08/06,,1,,1
2021/07/09,,1,,1
2021/06/10,,1,,1
2021/05/11,,1,,1
2021/04/09,,1,,1
