File Creation Date,2025-05-29
Sampling Location,5km offshore of Kashima (T-MA)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/4/10 6:15,,0.0014,0.0025,,-,-,2025/4/10 6:15,,0.0014,0.0016,
2025/3/12 8:38,,0.0014,0.0018,,-,-,2025/3/12 8:38,,0.0013,0.0020,
2025/2/17 7:00,,0.0014,0.0024,,,0.070,2025/2/17 7:00,,0.0014,0.0018,
2025/2/5 6:25,,0.0014,0.0021,,,0.067,2025/2/5 6:25,,0.0014,0.0019,
2024/12/18 9:32,,0.0014,0.0017,,0.072,,2024/12/18 9:32,,0.0014,0.0018,
2024/11/21 6:46,,0.0014,0.0013,,,0.070,2024/11/21 6:46,,0.0014,0.0017,
2024/10/25 10:01,,0.0014,0.0025,,,0.067,2024/10/25 10:01,,0.0014,0.0019,
2024/9/17 7:08,,0.0014,0.0026,,,0.072,2024/9/17 7:08,,0.0014,0.0033,
2024/8/23 6:58,,0.0014,0.0031,,0.082,,2024/8/23 6:58,,0.0014,0.0022,
2024/7/16 8:09,,0.0014,0.0031,,0.084,,2024/7/16 8:09,,0.0014,0.0032,
2024/6/19 5:47,,0.0013,0.0026,,,0.069,2024/6/19 5:47,,0.0013,0.0022,
2024/5/24 8:45,,0.0014,0.0036,,,0.069,2024/5/24 8:45,,0.0011,0.0018,
2024/4/17 9:06,,0.0014,0.0032,,,0.074,2024/4/17 9:06,,0.0014,0.0028,
2024/3/19 7:27,,0.0013,0.0038,,0.078,,2024/3/19 7:27,,0.0014,0.0041,
2024/2/14 7:19,,0.0014,0.0019,,,0.071,2024/2/14 7:29,,0.0014,0.0021,
2024/1/31 8:41,,0.0014,0.0025,,,0.067,2024/1/31 8:41,,0.0011,0.0048,
2023/12/18 9:37,,0.0014,0.0028,,0.10,,2023/12/18 9:37,,0.0014,0.0023,
2023/11/22 6:14,,0.0014,0.0032,,,0.089,2023/11/22 6:14,,0.0014,0.0030,
2023/10/19 9:40,,0.0014,0.0033,,0.097,,2023/10/19 9:40,,0.0014,0.0018,
2023/9/21 7:08,,0.0014,0.0023,,,0.068,2023/9/21 7:08,,0.0014,0.0022,
2023/08/08 09:32,,0.0014,0.0037,,0.086,,2023/08/08 09:32,,0.0014,0.0023,
2023/7/7 6:42,,0.0014,0.0032,,,0.089,2023/7/7 6:42,,0.0013,0.0029,
2023/6/16 9:13,,0.0014,0.0020,,,0.073,2023/6/16 9:13,,0.0014,0.0031,
2023/6/1 6:16,,0.0014,0.0025,,,0.35,2023/6/1 6:16,,0.0014,0.0042,
2023/5/11 9:07,,0.0014,0.0025,,,0.36,2023/5/11 9:07,,0.0014,0.0018,
2023/3/8 7:06,,0.0014,0.0020,,,0.34,2023/3/8 7:06,,0.0014,0.0026,
2023/2/17 6:54,,0.0014,0.0019,,,0.35,2023/2/17 6:54,,0.0013,0.0022,
2023/1/16 9:29,,0.0014,0.0020,,,0.36,2023/1/16 9:29,,0.0014,0.0029,
2022/12/1 9:49,,0.0014,0.0046,,,0.34,2022/12/1 9:49,,0.0014,0.0041,
2022/11/18 6:44,,0.0014,0.0028,,,0.34,2022/11/18 6:44,,0.0014,0.0030,
2022/10/6 6:26,,0.0014,0.0015,,,0.36,2022/10/6 6:26,,0.0014,0.0023,
2022/9/29 8:21,,0.0014,0.0031,,,0.33,2022/9/29 8:21,,0.0014,0.0018,
2022/8/4 9:23,,0.0014,0.0014,,,0.34,2022/8/4 9:23,,0.0014,0.0018,
2022/7/12 6:29,,0.0014,0.0021,,,0.38,2022/7/12 6:29,,0.0014,0.0038,
2022/6/3 9:05,,0.0014,0.0028,,,0.38,2022/6/3 9:05,,0.0014,0.0025,
2022/5/20 9:14,,0.0014,0.0032,,,0.37,2022/5/20 9:14,,0.0014,0.0027,
2022/4/13 9:04,,0.0014,0.0025,,-,-,2022/4/13 9:04,,0.0014,0.0019,
2022/3/2 7:31,,0.0014,0.0025,,-,-,2022/3/2 7:31,,0.0014,0.0025,
2022/2/9 6:41,,0.0014,0.0023,,-,-,2022/2/9 6:41,,0.0013,0.0022,
2022/1/18 6:21,,0.0014,0.0020,,-,-,2022/1/18 6:21,,0.0014,0.0031,
2021/12/3 6:10,,0.0014,0.0032,,-,-,2021/12/3 6:10,,0.0014,0.0043,
2021/11/26 6:26,,0.0014,0.0022,,-,-,2021/11/26 6:26,,0.0014,0.0019,
2021/10/8 6:33,,0.0014,0.0039,,-,-,2021/10/8 6:33,,0.0014,0.0042,
2021/9/1 6:45,,0.0014,0.0022,,-,-,2021/9/1 6:45,,0.0014,0.0025,
2021/8/17 6:09,,0.0014,0.0022,,-,-,2021/8/17 6:09,,0.0014,0.0016,
2021/7/6 4:24,,0.0011,0.0029,,-,-,2021/7/6 4:24,,0.0015,0.0037,
2021/6/3 5:55,,0.0014,0.0030,,-,-,2021/6/3 5:55,,0.0014,0.0025,
2021/5/21 6:29,,0.0015,0.0050,,-,-,2021/5/21 6:29,,0.0015,0.0025,
2021/4/2 6:15,,0.0013,0.0032,,-,-,2021/4/2 6:15,,0.0014,0.0028,
2021/3/10 6:39,,0.0015,0.0022,,-,-,2021/3/10 6:39,,0.0014,0.0070,
2021/2/5 10:44,,0.0015,0.0027,,-,-,2021/2/5 10:44,,0.0014,0.0020,
