File Creation Date,2025-07-23
Sampling Location,3km offshore of Onahama Port (T-18)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/6/10 10:14,,0.0014,0.0021,,-,-,2025/6/10 10:14,,0.0014,0.0018,
2025/5/13 11:43,,0.0014,0.0020,,-,-,2025/5/13 11:43,,0.0014,0.0021,
2025/4/28 11:09,,0.0014,0.0035,,-,-,2025/4/28 11:09,,0.0014,0.0027,
2025/3/11 11:02,,0.0014,0.0021,,,0.076,2025/3/11 11:02,,0.0014,0.0021,
2025/2/12 9:34,,0.0013,0.0016,,0.13,,2025/2/12 9:34,,0.0014,0.0017,
2025/1/23 9:58,,0.0014,0.0011,,,0.068,2025/1/23 9:58,,0.0014,0.0012,
2024/12/3 9:48,,0.0014,0.0013,,,0.069,2024/12/3 9:48,,0.0014,0.0019,
2024/11/20 11:50,,0.0012,0.0017,,0.074,,2024/11/20 11:50,,0.0014,0.0018,
2024/11/12 9:15,,0.0013,0.0010,,,0.075,2024/11/12 9:15,,0.0014,0.0020,
2024/9/13 9:36,,0.0014,0.0021,,0.092,,2024/9/13 9:36,,0.0014,0.0022,
2024/8/22 9:41,,0.0014,0.0037,,,0.070,2024/8/22 9:41,,0.0014,0.0018,
2024/7/10 9:42,,0.0014,0.0022,,0.14,,2024/7/10 9:42,,0.0014,0.0024,
2024/6/14 9:13,,0.0014,0.0023,,,0.069,2024/6/14 9:13,,0.0014,0.0017,
2024/5/24 9:38,,0.0014,0.0016,,,0.084,2024/5/24 9:38,,0.0014,0.0026,
2024/4/17 9:13,,0.0014,0.0034,,,0.064,2024/4/17 9:13,,0.0014,0.0039,
2024/3/20 10:03,,0.0014,0.0022,,0.094,,2024/3/20 10:03,,0.0014,0.0019,
2024/1/30 9:42,,0.0014,0.0028,,0.14,,2024/1/30 9:42,,0.0014,0.0045,
2023/12/25 9:21,-,-,-,-,0.071,,2023/12/25,,0.0014,0.0015,
2023/12/25,,0.0014,0.0020,,-,-,2023/12/1 9:18,,0.0014,0.0021,
2023/12/1 9:18,,0.0014,0.0014,,,0.070,2023/10/27 9:59,,0.0014,0.0025,
2023/10/27 9:59,,0.0014,0.0026,,,0.073,2023/9/28 9:48,,0.0014,0.0033,
2023/9/28 9:48,,0.0014,0.0032,,0.11,,2023/7/25 9:23,,0.0014,0.0021,
2023/7/25 9:23,,0.0014,0.0019,,,0.070,2023/6/13 9:35,,0.0014,0.0018,
2023/6/13 9:35,,0.0014,0.0018,,,0.076,2023/5/19 10:01,,0.0014,0.0030,
2023/5/19 10:01,,0.0014,0.0021,,,0.33,2023/4/25 9:08,,0.0014,0.0020,
2023/4/25 9:08,,0.0014,0.0021,,,0.34,2023/3/3 11:03,,0.0014,0.0018,
2023/3/3 11:03,,0.0014,0.0012,,,0.30,2023/2/17 8:49,,0.0013,0.0026,
2023/2/17 8:49,,0.0014,0.0016,,,0.35,2023/2/7 11:46,,0.0014,0.0015,
2023/2/7 11:46,,0.0014,0.0015,,,0.31,2022/11/17 10:43,,0.0014,0.0015,
2022/11/17 10:43,,0.0014,0.0020,,,0.32,2022/10/29 9:24,,0.0014,0.0023,
2022/10/29 9:24,,0.0014,0.0022,,,0.31,2022/9/27 10:11,,0.0014,0.0031,
2022/9/27 10:11,,0.0014,0.0018,,,0.33,2022/7/1 9:28,,0.0014,0.0023,
2022/7/1 9:28,,0.0014,0.0021,,0.38,,2022/5/30 9:30,,0.0014,0.0028,
2022/5/30 9:30,,0.0014,0.0017,,,0.31,2022/4/21 9:20,,0.0014,0.0021,
2022/4/21 9:20,,0.0014,0.0021,,,0.35,2022/3/4 9:41,,0.0014,0.0032,
2022/3/4 9:41,,0.0014,0.0024,,-,-,2022/2/28 9:13,,0.0014,0.0030,
2022/2/28 9:13,,0.0014,0.0026,,-,-,2022/1/6 10:52,,0.0014,0.0014,
2022/1/6 10:52,,0.0014,0.0019,,-,-,2021/12/3 9:40,,0.0014,0.0031,
2021/12/3 9:40,,0.0014,0.0032,,-,-,2021/11/4 9:40,,0.0014,0.0032,
2021/11/4 9:40,,0.0014,0.0048,,-,-,2021/10/28 8:57,,0.0014,0.0043,
2021/10/28 8:57,,0.0014,0.0038,,-,-,2021/9/22 9:34,,0.0014,0.0024,
2021/9/22 9:34,,0.0014,0.0031,,-,-,2021/8/31 8:52,,0.0014,0.0037,
2021/8/31 8:52,,0.0014,0.0029,,-,-,2021/7/1 11:00,,0.0014,0.0036,
2021/7/1 11:00,,0.0014,0.0034,,-,-,2021/6/8 9:08,,0.0015,0.0043,
2021/6/8 9:08,,0.0014,0.0039,,-,-,2021/5/7 8:53,,0.0013,0.0031,
2021/5/7 8:53,,0.0014,0.0022,,-,-,2021/4/16 8:43,,0.0013,0.0034,
2021/4/16 8:43,,0.0015,0.0030,,-,-,2021/3/12 9:15,,0.0014,0.0029,
2021/3/12 9:15,,0.0012,0.0028,,-,-,2021/2/25 10:40,,0.0011,0.0035,
2021/2/25 10:40,,0.0014,0.0027,,-,-,-,-,-,-,-
