File Creation Date,2025-03-10
Sampling Location,5km offshore of Numanouchi (T-M10)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2024/12/3 8:41,,0.0014,0.0012,,-,-,2024/12/3 8:41,,0.0013,0.0019,
2024/11/20 10:52,,0.0013,0.0013,,-,-,2024/11/20 10:52,,0.0014,0.0015,
2024/11/12 8:15,,0.0014,0.0013,,,0.068,2024/11/12 8:15,,0.0014,0.0014,
2024/9/13 8:30,,0.0014,0.0021,,0.068,,2024/9/13 8:30,,0.0014,0.0019,
2024/8/22 8:35,,0.0014,0.0016,,0.13,,2024/8/22 8:35,,0.0014,0.0024,
2024/7/10 8:45,,0.0014,0.0024,,0.15,,2024/7/10 8:45,,0.0014,0.0013,
2024/6/14 8:06,,0.0014,0.0013,,0.088,,2024/6/14 8:06,,0.0014,0.0018,
2024/5/24 8:26,,0.0014,0.0019,,,0.080,2024/5/24 8:26,,0.0014,0.0013,
2024/4/17 8:16,,0.0014,0.0015,,0.078,,2024/4/17 8:16,,0.0014,0.0019,
2024/3/20 8:59,,0.0014,0.0014,,0.099,,2024/3/20 8:59,,0.0014,0.0046,
2024/1/30 8:40,,0.0014,0.0017,,0.11,,2024/1/30 8:40,,0.0014,0.0017,
2023/12/25 8:22,,0.0014,0.0015,,,0.074,2023/12/25 8:22,,0.0014,0.0014,
2023/12/1 8:21,,0.0014,0.0014,,,0.078,2023/12/1 8:21,,0.0014,0.0021,
2023/10/27 8:56,,0.0013,0.0012,,,0.075,2023/10/27 8:56,,0.0012,0.0017,
2023/9/28 8:47,,0.0014,0.0016,,0.085,,2023/9/28 8:47,,0.0014,0.0020,
2023/7/25 8:21,,0.0014,0.0016,,,0.067,2023/7/25 8:21,,0.0014,0.0019,
2023/6/13 8:38,,0.0014,0.0015,,,0.077,2023/6/13 8:38,,0.0014,0.0016,
2023/5/19 9:00,,0.0014,0.0019,,,0.33,2023/5/19 9:00,,0.0014,0.0017,
2023/4/25 8:01,,0.0014,0.0017,,,0.34,2023/4/25 8:01,,0.0014,0.0014,
2023/3/3 10:10,,0.0014,0.0016,,,0.31,2023/3/3 10:10,,0.0011,0.0022,
2023/2/17 7:55,,0.0014,0.0016,,,0.35,2023/2/17 7:55,,0.0014,0.0019,
2023/2/7 10:12,,0.0014,0.0019,,,0.34,2023/2/7 10:12,,0.0014,0.0024,
2022/11/17 9:31,,0.0014,0.0016,,,0.32,2022/11/17 9:31,,0.0014,0.0016,
2022/10/29 8:26,,0.0014,0.0014,,,0.32,2022/10/29 8:26,,0.0014,0.0018,
2022/9/27 9:11,,0.0014,0.0014,,,0.33,2022/9/27 9:11,,0.0014,0.0014,
2022/7/1 8:24,,0.0014,0.0021,,0.42,,2022/7/1 8:24,,0.0014,0.0020,
2022/5/30 8:26,,0.0014,0.0017,,,0.31,2022/5/30 8:26,,0.0014,0.0014,
2022/4/21 8:15,,0.0014,0.0019,,,0.35,2022/4/21 8:15,,0.0014,0.0014,
2022/3/4 8:38,,0.0014,0.0019,,-,-,2022/3/4 8:38,,0.0014,0.0017,
2022/2/28 8:14,,0.0014,0.0018,,-,-,2022/2/28 8:14,,0.0014,0.0027,
2022/1/6 9:34,,0.0014,0.0017,,-,-,2022/1/6 9:34,,0.0014,0.0021,
2021/12/3 8:39,,0.0014,0.0016,,-,-,2021/12/3 8:39,,0.0014,0.0022,
2021/11/4 8:42,,0.0014,0.0017,,-,-,2021/11/4 8:42,,0.0014,0.0014,
2021/10/28 8:00,,0.0014,0.0050,,-,-,2021/10/28 8:00,,0.0014,0.0023,
2021/9/22 8:25,,0.0014,0.0020,,-,-,2021/9/22 8:25,,0.0014,0.0016,
2021/8/31 7:56,,0.0014,0.0045,,-,-,2021/8/31 7:56,,0.0014,0.0025,
2021/7/1 9:55,,0.0015,0.0018,,-,-,2021/7/1 9:55,,0.0016,0.0019,
2021/6/8 8:14,,0.0015,0.0020,,-,-,2021/6/8 8:14,,0.0014,0.0016,
2021/5/7 7:56,,0.0014,0.0014,,-,-,2021/5/7 7:56,,0.0012,0.0018,
2021/4/16 7:43,,0.0016,0.0017,,-,-,2021/4/16 7:43,,0.0013,0.0026,
2021/3/12 8:18,,0.0015,0.0019,,-,-,2021/3/12 8:18,,0.0015,0.0033,
2021/2/25 9:21,,0.0013,0.0019,,-,-,2021/2/25 9:21,,0.0012,0.0022,
