File Creation Date,2025-02-04
Sampling Location,3km offshore of northern area of Iwaki City (T-12)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2024/12/16 5:45,,0.0014,0.0014,,-,-,2024/12/16 5:45,,0.0014,0.0017,
2024/11/20 9:54,,0.0013,0.0015,,-,-,2024/11/20 9:54,,0.0014,0.0021,
2024/11/9 5:46,,0.0014,0.0015,,-,-,2024/11/9 5:46,,0.0013,0.0016,
2024/9/12 4:48,,0.0014,0.0019,,0.10,,2024/9/12 4:48,,0.0014,0.0019,
2024/8/6 4:17,,0.0014,0.0023,,,0.067,2024/8/6 4:17,,0.0014,0.0025,
2024/7/23 4:30,,0.0014,0.0038,,0.071,,2024/7/23 4:30,,0.0014,0.0030,
2024/6/6 4:39,,0.0014,0.0043,,0.091,,2024/6/6 4:39,,0.0014,0.0033,
2024/5/23 4:59,,0.0014,0.0020,,,0.065,2024/5/23 4:59,,0.0014,0.0023,
2024/4/22 5:02,,0.0014,0.0031,,,0.074,2024/4/22 5:02,,0.0014,0.0043,
2024/2/5 5:09,,0.0014,0.0027,,0.092,,2024/2/5 5:09,,0.0014,0.0033,
2024/1/12 5:48,,0.0014,0.0018,,,0.072,2024/1/12 5:48,,0.0014,0.0023,
2023/12/8 5:07,,0.0014,0.0027,,,0.086,2023/12/8 5:07,,0.0014,0.0027,
2023/11/21 9:22,,0.0014,0.0023,,0.091,,2023/11/21 9:22,,0.0014,0.0022,
2023/10/23 5:47,,0.0014,0.0019,,0.072,,2023/10/23 5:47,,0.0014,0.0022,
2023/9/26 5:36,,0.0014,0.0028,,,0.069,2023/9/26 5:36,,0.0014,0.0027,
2023/08/21 04:31,,0.0014,0.0019,,0.096,,2023/08/21 04:31,,0.0014,0.0038,
2023/7/25 5:28,,0.0014,0.0024,,,0.074,2023/7/25 5:28,,0.0014,0.0018,
2023/6/30 5:36,,0.0014,0.0023,,,0.074,2023/6/30 5:36,,0.0014,0.0026,
2023/6/16 9:51,,0.0014,0.0040,,,0.38,2023/6/16 9:51,,0.0014,0.0030,
2023/5/26 5:27,,0.0014,0.0031,,,0.35,2023/5/26 5:27,,0.0014,0.0030,
2023/3/9 5:35,,0.0014,0.0023,,,0.35,2023/3/9 5:35,,0.0014,0.0023,
2023/2/22 5:37,,0.0014,0.0023,,,0.35,2023/2/22 5:37,,0.0014,0.0034,
2023/1/18 5:38,,0.0014,0.0022,,,0.36,2023/1/18 5:38,,0.0014,0.0023,
2022/12/16 7:47,,0.0011,0.0018,,,0.35,2022/12/16 7:47,,0.0014,0.0020,
2022/10/21 5:05,,0.0014,0.0040,,,0.37,2022/10/21 5:05,,0.0014,0.0037,
2022/9/22 9:25,,0.0014,0.0031,,,0.35,2022/9/22 9:25,,0.0014,0.0033,
2022/8/23 4:53,,0.0014,0.0015,,,0.34,2022/8/23 4:53,,0.0014,0.0025,
2022/7/26 4:32,,0.0014,0.0025,,,0.38,2022/7/26 4:32,,0.0014,0.0030,
2022/6/17 5:24,,0.0014,0.0059,,,0.38,2022/6/17 5:24,,0.0014,0.0048,
2022/5/25 5:10,,0.0014,0.0029,,,0.37,2022/5/25 5:10,,0.0014,0.0032,
2022/4/8 5:26,,0.0014,0.0048,,-,-,2022/4/8 5:26,,0.0014,0.0048,
2022/3/4 5:30,,0.0014,0.0038,,-,-,2022/3/4 5:30,,0.0014,0.0039,
2022/2/28 7:25,,0.0014,0.0033,,-,-,2022/2/28 7:25,,0.0014,0.0029,
2022/1/28 5:25,,0.0014,0.0031,,-,-,2022/1/28 5:25,,0.0014,0.0032,
2021/12/15 6:57,,0.0014,0.0087,,-,-,2021/12/15 6:57,,0.0014,0.0086,
2021/11/12 10:07,,0.0014,0.0063,,-,-,2021/11/12 10:07,,0.0014,0.0060,
2021/10/20 7:10,,0.0014,0.0050,,-,-,2021/10/20 7:10,,0.0014,0.0031,
2021/9/28 5:36,,0.0014,0.0018,,-,-,2021/9/28 5:36,,0.0014,0.0020,
2021/8/6 10:01,,0.0014,0.0044,,-,-,2021/8/6 10:01,,0.0014,0.0054,
2021/7/7 7:16,,0.0014,0.0028,,-,-,2021/7/7 7:16,,0.0014,0.0032,
2021/6/23 5:26,,0.0013,0.0029,,-,-,2021/6/23 5:26,,0.0014,0.0029,
2021/5/13 6:57,,0.0013,0.0024,,-,-,2021/5/13 6:57,,0.0013,0.0032,
2021/4/1 7:13,,0.0014,0.0022,,-,-,2021/4/1 7:13,,0.0013,0.0025,
2021/3/11 7:07,,0.0014,0.0049,,-,-,2021/3/11 7:07,,0.0014,0.0051,
2021/2/3 5:41,,0.0014,0.0028,,-,-,2021/2/3 5:41,,0.0015,0.0056,
