File Creation Date,2025-08-13
Sampling Location,1km offshore of Natsui River  (T-17-1)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/6/20 8:43,,0.0014,0.0017,,-,-,2025/6/20 8:43,,0.0014,0.0013,
2025/5/23 6:26,,0.0014,0.0025,,-,-,2025/5/23 6:26,,0.0014,0.0023,
2025/4/21 5:32,,0.0014,0.0028,,0.089,,2025/4/21 5:32,,0.0014,0.0017,
2025/4/10 6:14,,0.0014,0.0033,,,0.066,2025/4/10 6:14,,0.0014,0.0028,
2025/2/26 5:55,,0.0014,0.0014,,,0.074,2025/2/26 5:55,,0.0014,0.0015,
2025/1/23 6:26,,0.0014,0.0019,,,0.081,2025/1/23 6:26,,0.0014,0.0028,
2024/12/16 6:41,,0.0014,0.0017,,,0.070,2024/12/16 6:41,,0.0014,0.0018,
2024/11/20 10:27,,0.0014,0.0013,,,0.071,2024/11/20 10:27,,0.0014,0.0027,
2024/11/9 6:29,,0.0014,0.0016,,,0.071,2024/11/9 6:29,,0.0014,0.0022,
2024/9/12 5:35,,0.0014,0.0022,,0.091,,2024/9/12 5:35,,0.0014,0.0023,
2024/8/6 4:54,,0.0014,0.0025,,,0.072,2024/8/6 4:54,,0.0014,0.0025,
2024/7/23 5:02,,0.0014,0.0037,,0.096,,2024/7/23 5:02,,0.0014,0.0027,
2024/6/6 5:19,,0.0014,0.0033,,0.10,,2024/6/6 5:19,,0.0014,0.0028,
2024/5/23 5:43,,0.0014,0.0022,,,0.070,2024/5/23 5:43,,0.0014,0.0021,
2024/4/22 5:35,,0.0014,0.0042,,0.081,,2024/4/22 5:35,,0.0014,0.0070,
2024/2/5 5:43,,0.0014,0.0021,,0.081,,2024/2/5 5:43,,0.0014,0.0031,
2024/1/12 6:43,,0.0014,0.0015,,,0.072,2024/1/12 6:43,,0.0014,0.0021,
2023/12/8 5:47,,0.0014,0.0016,,0.12,,2023/12/8 5:47,,0.0014,0.0021,
2023/11/21 9:51,,0.0014,0.0035,,0.11,,2023/11/21 9:51,,0.0014,0.0039,
2023/10/23 6:35,,0.0014,0.0034,,0.13,,2023/10/23 6:35,,0.0014,0.0033,
2023/9/26 6:09,,0.0014,0.0026,,0.12,,2023/9/26 6:09,,0.0014,0.0031,
2023/08/21 05:12,,0.0014,0.0037,,0.085,,2023/08/21 05:12,,0.0014,0.0039,
2023/7/25 6:04,,0.0013,0.0022,,,0.076,2023/7/25 6:04,,0.0014,0.0021,
2023/6/30 6:19,,0.0014,0.0033,,0.12,,2023/6/30 6:19,,0.0014,0.0021,
2023/6/16 10:25,,0.0014,0.0045,,,0.38,2023/6/16 10:25,,0.0014,0.0022,
2023/5/26 6:07,,0.0014,0.0042,,,0.35,2023/5/26 6:07,,0.0014,0.0027,
2023/3/9 6:11,,0.0014,0.0025,,,0.35,2023/3/9 6:11,,0.0014,0.0019,
2023/2/22 6:13,,0.0014,0.0017,,,0.35,2023/2/22 6:13,,0.0014,0.0014,
2023/1/18 6:12,,0.0014,0.0020,,,0.35,2023/1/18 6:12,,0.0014,0.0016,
2022/12/16 5:47,,0.0014,0.0015,,,0.35,2022/12/16 5:47,,0.0014,0.0016,
2022/10/21 5:45,,0.0014,0.0025,,,0.37,2022/10/21 5:45,,0.0014,0.0026,
2022/9/22 10:02,,0.0014,0.0018,,,0.35,2022/9/22 10:02,,0.0014,0.0015,
2022/8/23 5:23,,0.0014,0.0012,,,0.35,2022/8/23 5:23,,0.0014,0.0025,
2022/7/26 5:06,,0.0014,0.0023,,,0.38,2022/7/26 5:06,,0.0014,0.0019,
2022/6/17 6:06,,0.0014,0.0047,,,0.38,2022/6/17 6:06,,0.0014,0.0031,
2022/5/25 5:43,,0.0014,0.0026,,,0.38,2022/5/25 5:43,,0.0014,0.0029,
2022/4/8 6:00,,0.0014,0.0035,,-,-,2022/4/8 6:00,,0.0014,0.0026,
2022/3/4 6:08,,0.0014,0.0018,,-,-,2022/3/4 6:08,,0.0014,0.0019,
2022/2/28 5:30,,0.0014,0.0043,,-,-,2022/2/28 5:30,,0.0014,0.0035,
2022/1/28 5:59,,0.0014,0.0026,,-,-,2022/1/28 5:59,,0.0014,0.0027,
2021/12/15 6:38,,0.0014,0.0072,,-,-,2021/12/15 6:38,,0.0014,0.0053,
2021/11/12 10:34,,0.0014,0.0069,,-,-,2021/11/12 10:34,,0.0014,0.0097,
2021/10/20 5:48,,0.0014,0.0065,,-,-,2021/10/20 5:48,,0.0014,0.0018,
2021/9/28 6:21,,0.0014,0.0051,,-,-,2021/9/28 6:21,,0.0014,0.0023,
2021/8/6 10:33,,0.0013,0.0024,,-,-,2021/8/6 10:33,,0.0014,0.0039,
2021/7/7 6:38,,0.0013,0.0032,,-,-,2021/7/7 6:38,,0.0013,0.0028,
2021/6/23 6:07,,0.0017,0.0025,,-,-,2021/6/23 6:07,,0.0014,0.0033,
2021/5/13 6:22,,0.0012,0.0033,,-,-,2021/5/13 6:22,,0.0013,0.0028,
2021/4/1 6:47,,0.0014,0.0019,,-,-,2021/4/1 6:47,,0.0014,0.0036,
2021/3/11 6:33,,0.0014,0.0065,,-,-,2021/3/11 6:33,,0.0013,0.0066,
2021/2/3 6:16,,0.0013,0.0017,,-,-,2021/2/3 6:16,,0.0015,0.0029,
