File Creation Date,2025-02-10
Sampling Location,North side of northern sea wall  (0.5km offshore to the north site) (T-0-1)

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/2/3 7:03,,0.24,,0.29,-,-
2025/1/29 7:13,,0.26,,0.35,-,-
2025/1/20 7:08,,0.33,,0.37,-,-
2025/1/13 7:06,,0.40,,0.30,-,-
2025/1/6 6:56,,0.33,,0.32,,0.34
2024/12/30 7:06,,0.25,,0.34,,0.34
2024/12/23 6:54,,0.31,,0.25,,0.36
2024/12/16 6:52,,0.29,,0.33,,0.33
2024/12/9 7:15,,0.34,,0.38,-,-
2024/12/2 7:05,,0.31,,0.23,,0.31
2024/11/25 7:19,,0.33,,0.22,,0.31
2024/11/18 6:55,,0.22,,0.31,,0.33
2024/11/11 7:03,,0.24,,0.28,0.19,
2024/11/4 6:54,,0.30,,0.33,1.9,
2024/10/28 7:17,,0.34,,0.30,3.0,
2024/10/21 7:01,,0.32,,0.29,6.0,
2024/10/17 14:00,-,-,-,-,,0.36
2024/10/14 6:59,,0.32,,0.30,0.28,
2024/10/7 7:11,,0.33,,0.25,1.0,
2024/9/30 7:06,,0.36,,0.27,,0.37
2024/9/27 6:55,-,-,-,-,,0.39
2024/9/25 7:07,,0.35,,0.27,,0.37
2024/9/18 7:06,,0.27,,0.25,,0.36
2024/9/9 7:07,,0.29,,0.32,0.091,
2024/9/2 8:47,,0.28,,0.31,,0.33
2024/8/26 6:58,,0.34,,0.29,,0.33
2024/8/19 7:03,,0.34,,0.29,2.5,
2024/8/14 7:28,,0.38,,0.27,0.20,
2024/8/7 14:06,-,-,-,-,,0.34
2024/8/5 7:00,,0.32,,0.30,,0.33
2024/7/29 6:56,,0.33,,0.30,,0.31
2024/7/22 6:50,,0.28,,0.32,,0.33
2024/7/15 6:51,,0.29,,0.34,1.1,
2024/7/8 7:15,,0.30,,0.27,0.31,
2024/7/1 7:07,,0.27,,0.31,,0.34
2024/6/28 14:21,-,-,-,-,,0.34
2024/6/24 7:07,,0.28,,0.30,,0.34
2024/6/17 7:04,,0.28,,0.27,,0.34
2024/6/10 6:59,,0.25,,0.36,0.089,
2024/6/3 7:03,,0.24,,0.34,,0.36
2024/5/28 8:04,,0.28,,0.27,,0.37
2024/5/20 6:48,,0.40,,0.39,,0.38
2024/5/17 14:00,-,-,-,-,,0.37
2024/5/14 8:03,,0.36,,0.25,0.054,
2024/5/6 7:22,,0.33,,0.31,,0.30
2024/4/29 6:58,,0.28,,0.29,0.48,
2024/4/22 7:07,,0.32,,0.35,,0.32
2024/4/20 6:37,-,-,-,-,,0.33
2024/4/15 6:54,,0.33,,0.26,,0.32
2024/4/8 7:28,,0.30,,0.24,0.076,
2024/4/1 7:44,,0.29,,0.34,,0.34
2024/3/25 7:14,,0.31,,0.34,,0.33
2024/3/19 7:07,,0.35,,0.27,,0.27
2024/3/11 7:47,,0.36,,0.27,0.51,
2024/3/4 7:48,,0.34,,0.32,,0.36
2024/3/1 7:22,-,-,-,-,,0.35
2024/2/26 6:55,,0.36,,0.26,,0.27
2024/2/19 8:00,,0.30,,0.33,,0.27
