File Creation Date,2025-12-03
Sampling Location,3km offshore of Toyoma (T-20)

Sea surface to a depth of 0.5 m,,,,,,,2 to 3 m above seabed,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND
2025/10/29 10:40,,0.0014,0.0025,,-,-,2025/10/29 10:40,,0.0014,0.0024,
2025/9/25 7:08,,0.0014,0.00095,,-,-,2025/9/25 7:08,,0.0014,0.0014,
2025/8/4 4:51,,0.00096,0.0028,,0.11,,2025/8/4 4:51,,0.0014,0.0019,
2025/7/24 5:49,,0.0014,0.0020,,,0.069,2025/7/24 5:49,,0.0014,0.0017,
2025/6/20 9:19,,0.0014,0.0015,,,0.068,2025/6/20 9:19,,0.0014,0.0017,
2025/5/23 7:07,,0.0014,0.0014,,0.095,,2025/5/23 7:07,,0.0014,0.0021,
2025/4/21 6:03,,0.0014,0.0023,,0.069,,2025/4/21 6:03,,0.0014,0.0016,
2025/4/10 6:54,,0.0014,0.0029,,,0.065,2025/4/10 6:54,,0.0014,0.0020,
2025/2/26 6:46,,0.0014,0.0021,,,0.074,2025/2/26 6:46,,0.0014,0.0014,
2025/1/23 7:02,,0.0013,0.0016,,0.086,,2025/1/23 7:02,,0.0014,0.0019,
2024/12/16 7:35,,0.0014,0.0015,,0.072,,2024/12/16 7:35,,0.0014,0.0015,
2024/11/20 10:57,,0.0014,0.0016,,,0.070,2024/11/20 10:57,,0.0014,0.0015,
2024/11/9 7:08,,0.0014,0.0015,,0.088,,2024/11/9 7:08,,0.0014,0.0018,
2024/9/12 6:18,,0.0014,0.0019,,0.072,,2024/9/12 6:18,,0.0014,0.0017,
2024/8/6 5:29,,0.0014,0.0032,,,0.067,2024/8/6 5:29,,0.0014,0.0016,
2024/7/23 5:30,,0.0014,0.0039,,0.099,,2024/7/23 5:30,,0.0014,0.0033,
2024/6/6 5:59,,0.0014,0.0036,,0.090,,2024/6/6 5:59,,0.0014,0.0014,
2024/5/23 6:26,,0.0014,0.0018,,,0.070,2024/5/23 6:26,,0.0014,0.0010,
2024/4/22 6:08,,0.0014,0.0023,,,0.064,2024/4/22 6:08,,0.0014,0.0035,
2024/2/5 6:14,,0.0014,0.0011,,,0.070,2024/2/5 6:14,,0.0014,0.0026,
2024/1/12 7:32,,0.0014,0.0014,,0.078,,2024/1/12 7:32,,0.0014,0.0018,
2023/12/8 6:24,,0.0014,0.0016,,,0.075,2023/12/8 6:24,,0.0013,0.0024,
2023/11/21 10:22,,0.0014,0.0020,,,0.082,2023/11/21 10:22,,0.0013,0.0031,
2023/10/23 7:12,,0.0014,0.0041,,0.087,,2023/10/23 7:12,,0.0011,0.0041,
2023/9/26 6:39,,0.0014,0.0030,,0.11,,2023/9/26 6:39,,0.0014,0.0021,
2023/08/21 05:48,,0.0014,0.0026,,0.14,,2023/08/21 05:48,,0.0014,0.0020,
2023/7/25 6:39,,0.0014,0.0025,,,0.075,2023/7/25 6:39,,0.0014,0.0024,
2023/6/30 7:02,,0.0014,0.0025,,,0.073,2023/6/30 7:02,,0.0014,0.0023,
2023/6/16 10:57,,0.0014,0.0045,,,0.37,2023/6/16 10:57,,0.0014,0.0018,
2023/5/26 6:45,,0.0014,0.0016,,,0.35,2023/5/26 6:45,,0.0014,0.0026,
2023/3/9 6:42,,0.0014,0.0026,,,0.35,2023/3/9 6:42,,0.0014,0.0026,
2023/2/22 6:47,,0.0014,0.0022,,,0.35,2023/2/22 6:47,,0.0014,0.0015,
2023/1/18 6:43,,0.0014,0.0020,,,0.36,2023/1/18 6:43,,0.0014,0.0019,
2022/12/16 6:35,,0.0014,0.0016,,,0.35,2022/12/16 6:35,,0.0014,0.0016,
2022/10/21 6:18,,0.0014,0.0025,,,0.37,2022/10/21 6:18,,0.0014,0.0020,
2022/9/22 10:36,,0.0011,0.0016,,,0.35,2022/9/22 10:36,,0.0014,0.0018,
2022/8/23 5:52,,0.0014,0.0017,,,0.35,2022/8/23 5:52,,0.0014,0.0020,
2022/7/26 5:34,,0.0014,0.0026,,,0.38,2022/7/26 5:34,,0.0014,0.0024,
2022/6/17 6:47,,0.0014,0.0045,,,0.38,2022/6/17 6:47,,0.0014,0.0027,
2022/5/25 6:10,,0.0014,0.0036,,,0.38,2022/5/25 6:10,,0.0014,0.0024,
2022/4/8 6:30,,0.0014,0.0047,,-,-,2022/4/8 6:30,,0.0014,0.0030,
2022/3/4 6:52,,0.0014,0.0019,,-,-,2022/3/4 6:52,,0.0014,0.0018,
2022/2/28 6:13,,0.0014,0.0029,,-,-,2022/2/28 6:13,,0.0014,0.0025,
2022/1/28 6:29,,0.0014,0.0023,,-,-,2022/1/28 6:29,,0.0014,0.0027,
2021/12/15 5:56,,0.0014,0.0075,,-,-,2021/12/15 5:56,,0.0014,0.0057,
2021/11/12 11:00,,0.0014,0.0072,,-,-,2021/11/12 11:00,,0.0014,0.0041,
2021/10/20 6:20,,0.0014,0.0069,,-,-,2021/10/20 6:20,,0.0014,0.0030,
2021/9/28 7:04,,0.0014,0.0041,,-,-,2021/9/28 7:04,,0.0014,0.0024,
2021/8/6 11:07,,0.0014,0.0022,,-,-,2021/8/6 11:07,,0.0014,0.0030,
2021/7/7 5:59,,0.0013,0.0033,,-,-,2021/7/7 5:59,,0.0014,0.0025,
2021/6/23 6:46,,0.0013,0.0025,,-,-,2021/6/23 6:46,,0.0012,0.0028,
2021/5/13 5:43,,0.0014,0.0032,,-,-,2021/5/13 5:43,,0.0015,0.0040,
2021/4/1 6:00,,0.0012,0.0021,,-,-,2021/4/1 6:00,,0.0014,0.0018,
2021/3/11 5:59,,0.0015,0.0022,,-,-,2021/3/11 5:59,,0.0015,0.0066,
2021/2/3 6:45,,0.0013,0.0025,,-,-,2021/2/3 6:45,,0.0015,0.0028,
