File Creation Date,2025-04-23
Sampling Location," Harbor entrance, northeast side (1km offshore to the north site) (T-0-1A)"

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/4/21 7:40,,0.30,,0.28,-,-
2025/4/16 7:46,,0.27,,0.25,-,-
2025/4/7 8:05,,0.26,,0.26,-,-
2025/3/31 7:25,,0.32,,0.36,-,-
2025/3/25 8:00,,0.31,,0.30,33,
2025/3/18 7:46,,0.29,,0.27,42,
2025/3/14 7:23,-,-,-,-,19,
2025/3/10 7:25,,0.37,,0.36,,0.072
2025/3/3 7:39,,0.34,,0.23,,0.36
2025/2/24 7:13,,0.33,,0.27,,0.37
2025/2/17 7:27,,0.25,,0.30,,0.39
2025/2/10 7:39,,0.37,,0.29,,0.067
2025/2/3 7:22,,0.36,,0.37,,0.37
2025/1/29 7:33,,0.37,,0.34,,0.36
2025/1/20 7:27,,0.36,,0.29,,0.36
2025/1/13 7:23,,0.27,,0.26,,0.068
2025/1/6 7:13,,0.32,,0.25,,0.37
2024/12/30 7:21,,0.29,,0.27,,0.37
2024/12/23 7:11,,0.34,,0.33,,0.37
2024/12/16 7:08,,0.30,,0.26,,0.37
2024/12/9 7:32,,0.33,,0.32,,0.071
2024/12/2 7:19,,0.33,,0.31,,0.36
2024/11/25 7:37,,0.27,,0.25,,0.36
2024/11/18 7:17,,0.30,,0.31,,0.36
2024/11/11 7:24,,0.33,,0.29,0.15,
2024/11/4 7:11,,0.35,,0.27,1.4,
2024/10/28 7:32,,0.34,,0.30,50,
2024/10/21 7:21,,0.33,,0.27,0.82,
2024/10/17 14:14,-,-,-,-,,0.35
2024/10/14 7:18,,0.37,,0.33,0.094,
2024/10/7 7:28,,0.31,,0.24,,0.37
2024/9/30 7:25,,0.34,,0.33,,0.34
2024/9/27 7:09,-,-,-,-,,0.35
2024/9/25 7:24,,0.36,,0.31,,0.37
2024/9/18 7:23,,0.26,,0.34,,0.34
