File Creation Date,2026-02-16
Sampling Location,

表層水,,,,,,,Sea surface water,,,,,,
,Cs-134,,Cs-137,,H-3,,,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND,Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/09/16,,0.002,0.003,,0.11,,2025/07/25,,0.002,0.006,,1,
2025/08/06,,0.003,0.007,,0.11,,2025/06/12,,0.002,0.003,,,0.06
-,-,-,-,-,-,-,2025/05/21,,0.002,0.019,,0.06,
-,-,-,-,-,-,-,2025/04/18,,0.002,0.009,,0.76,
-,-,-,-,-,-,-,2025/03/11,,0.002,0.008,,0.09,
-,-,-,-,-,-,-,2025/02/21,,0.003,0.021,,0.08,
-,-,-,-,-,-,-,2025/01/24,,0.002,0.019,,,0.05
-,-,-,-,-,-,-,2024/12/06,,0.003,0.015,,0.06,
-,-,-,-,-,-,-,2024/11/14,,0.003,0.016,,0.11,
-,-,-,-,-,-,-,2024/10/16,,0.003,0.015,,0.13,
-,-,-,-,-,-,-,2024/09/06,,0.002,0.008,,0.08,
-,-,-,-,-,-,-,2024/08/21,,0.003,0.016,,0.11,
-,-,-,-,-,-,-,2024/07/08,,0.003,0.007,,0.37,
-,-,-,-,-,-,-,2024/06/06,,0.003,0.021,,0.06,
-,-,-,-,-,-,-,2024/05/10,,0.002,0.02,,0.1,
-,-,-,-,-,-,-,2024/04/12,,0.002,0.023,,0.07,
-,-,-,-,-,-,-,2024/03/15,,0.003,0.025,,0.31,
-,-,-,-,-,-,-,2024/02/09,,0.003,0.008,,0.07,
-,-,-,-,-,-,-,2024/01/18,,0.003,0.009,,0.1,
-,-,-,-,-,-,-,2023/12/05,,0.003,0.011,,0.06,
-,-,-,-,-,-,-,2023/11/09,,0.003,0.024,,0.3,
-,-,-,-,-,-,-,2023/10/12,,0.003,0.056,,0.3,
-,-,-,-,-,-,-,2023/09/03,,0.003,0.004,,0.11,
-,-,-,-,-,-,-,2023/08/08,,0.003,0.012,,,0.36
-,-,-,-,-,-,-,2023/07/11,,0.003,0.004,,,0.38
-,-,-,-,-,-,-,2023/06/07,,0.003,0.11,,,0.38
-,-,-,-,-,-,-,2023/05/10,,0.003,0.011,,0.05,
-,-,-,-,-,-,-,2023/04/25,,0.003,0.008,,,0.37
-,-,-,-,-,-,-,2023/03/07,,0.002,0.018,,,0.33
-,-,-,-,-,-,-,2023/02/07,,0.003,0.005,,,0.35
-,-,-,-,-,-,-,2023/01/13,,0.003,0.017,,,0.36
-,-,-,-,-,-,-,2022/12/09,,0.003,0.008,,,0.34
-,-,-,-,-,-,-,2022/11/08,,0.003,0.018,,0.09,
-,-,-,-,-,-,-,2022/10/21,,0.004,0.02,,,0.38
-,-,-,-,-,-,-,2022/09/13,,0.003,0.005,,,0.35
-,-,-,-,-,-,-,2022/08/02,,0.002,0.004,,0.08,
-,-,-,-,-,-,-,2022/07/05,,0.003,0.006,,,0.35
-,-,-,-,-,-,-,2022/06/19,,0.003,0.011,,,0.35
-,-,-,-,-,-,-,2022/05/19,,0.002,0.027,,0.34,
-,-,-,-,-,-,-,2022/04/13,,0.003,0.007,,,0.35
-,-,-,-,-,-,-,2022/03/03,,0.002,0.017,,,0.37
-,-,-,-,-,-,-,2022/02/03,,0.002,0.025,,,0.36
-,-,-,-,-,-,-,2022/01/13,,0.003,0.021,,,0.34
-,-,-,-,-,-,-,2021/12/14,,0.003,0.024,,,0.33
-,-,-,-,-,-,-,2021/11/04,,0.003,0.023,,,0.33
-,-,-,-,-,-,-,2021/10/15,0.003,,0.068,,,0.36
-,-,-,-,-,-,-,2021/09/02,,0.003,0.014,,,0.33
-,-,-,-,-,-,-,2021/08/04,,0.003,0.019,,,0.33
-,-,-,-,-,-,-,2021/07/06,,0.002,0.024,,,0.33
-,-,-,-,-,-,-,2021/06/03,,0.003,0.012,,,0.33
-,-,-,-,-,-,-,2021/05/12,,0.003,0.011,,,0.33
-,-,-,-,-,-,-,2021/04/20,,0.003,0.036,,,0.33
