File Creation Date,2025-10-15
Sampling Location,"Harbor entrance, east side (1km offshore) (T-0-2)"

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/10/13 8:39,,0.34,,0.30,-,-
2025/10/6 8:48,,0.34,,0.36,-,-
2025/9/29 8:01,,0.38,,0.32,-,-
2025/9/22 8:17,,0.31,,0.34,0.40,
2025/9/15 8:17,,0.35,,0.29,0.72,
2025/9/8 8:18,,0.25,,0.38,-,-
2025/9/1 9:05,,0.34,,0.33,,0.32
2025/8/25 8:00,,0.38,,0.27,,0.33
2025/8/18 8:06,,0.29,,0.25,2.9,
2025/8/11 7:53,,0.34,,0.32,-,-
2025/8/4 8:12,,0.30,,0.28,,0.32
2025/7/28 8:55,,0.37,,0.33,3.0,
2025/7/21 8:41,,0.37,,0.33,,0.35
2025/7/17 8:32,,0.38,,0.29,-,-
2025/7/7 8:57,,0.24,,0.24,,0.35
2025/6/30 8:22,,0.38,,0.24,,0.35
2025/6/23 8:30,,0.37,,0.30,,0.31
2025/6/16 8:34,,0.28,,0.29,,0.33
2025/6/9 8:16,,0.38,,0.35,,0.079
2025/6/2 8:32,,0.30,,0.29,,0.33
2025/5/26 7:32,,0.29,,0.27,,0.35
2025/5/19 7:48,,0.25,,0.26,0.40,
2025/5/12 7:40,,0.35,,0.31,0.16,
2025/5/5 7:15,,0.25,,0.32,0.50,
2025/4/28 7:37,,0.31,,0.28,0.36,
2025/4/21 8:43,,0.32,,0.32,15,
2025/4/16 8:50,,0.35,,0.37,,0.068
2025/4/10 14:18,-,-,-,-,,0.34
2025/4/7 9:11,,0.30,,0.31,,0.36
2025/3/31 8:10,,0.38,,0.34,,0.32
2025/3/25 8:43,,0.29,,0.25,0.52,
2025/3/18 7:57,,0.35,,0.32,0.74,
2025/3/14 7:33,-,-,-,-,,0.32
2025/3/10 7:35,,0.34,,0.30,,0.066
2025/3/3 7:51,,0.33,,0.30,0.47,
2025/2/24 7:54,,0.25,,0.23,,0.30
2025/2/17 7:37,,0.33,,0.30,,0.32
2025/2/10 7:48,,0.29,,0.24,0.14,
2025/2/3 7:33,,0.26,,0.27,,0.32
2025/1/29 7:44,,0.32,,0.39,,0.32
2025/1/20 7:43,,0.29,,0.26,,0.32
2025/1/13 7:31,,0.34,,0.34,,0.067
2025/1/6 7:21,,0.25,,0.30,,0.33
2024/12/30 7:31,,0.35,,0.24,,0.34
