File Creation Date,2025-06-23
Sampling Location,

Sea surface water,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2024/02/15,,0.003,0.007,,,0.38
2023/11/24,,0.003,0.012,,,0.4
2023/08/25,,0.003,0.013,,,0.36
2023/05/12,,0.003,0.012,,,0.38
2023/02/24,,0.003,0.011,,,0.34
2022/12/16,,0.003,0.005,,,0.35
2022/08/05,,0.002,0.018,,,0.35
2022/05/19,,0.003,0.009,,,0.34
2022/02/07,,0.002,0.019,,,0.35
2021/11/19,,0.002,0.02,,,0.33
2021/08/26,,0.003,0.029,,,0.35
2021/06/07,,0.003,0.02,,,0.33
