File Creation Date,2025-06-16
Sampling Location,South side of southern sea wall (0.5km offshore to the south site) (T-0-3)

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2025/6/9 8:05,,0.38,,0.34,-,-
2025/6/2 8:20,,0.28,,0.30,-,-
2025/5/26 8:17,,0.30,,0.30,-,-
2025/5/19 8:38,,0.31,,0.28,,0.33
2025/5/12 8:28,,0.27,,0.28,-,-
2025/5/5 8:13,,0.32,,0.32,,0.34
2025/4/28 8:33,,0.35,,0.31,0.44,
2025/4/21 8:36,,0.32,,0.28,1.0,
2025/4/16 8:44,,0.31,,0.29,1.1,
2025/4/10 14:01,-,-,-,-,,0.33
2025/4/7 9:04,,0.36,,0.39,,0.34
2025/3/31 8:04,,0.33,,0.31,,0.36
2025/3/25 8:38,,0.30,,0.34,0.41,
2025/3/18 8:28,,0.31,,0.30,,0.38
2025/3/14 7:52,-,-,-,-,2.0,
2025/3/10 8:04,,0.33,,0.25,,0.072
2025/3/3 8:39,,0.22,,0.30,,0.36
2025/2/24 7:47,,0.33,,0.29,,0.37
2025/2/17 8:03,,0.30,,0.30,,0.39
2025/2/10 8:16,,0.31,,0.25,,0.067
2025/2/3 8:05,,0.31,,0.26,,0.37
2025/1/29 8:17,,0.34,,0.32,,0.36
2025/1/20 8:20,,0.34,,0.30,,0.36
2025/1/13 8:05,,0.35,,0.35,,0.081
2025/1/6 7:52,,0.35,,0.31,,0.37
2024/12/30 8:00,,0.37,,0.27,,0.37
2024/12/23 7:47,,0.31,,0.29,,0.38
2024/12/16 7:45,,0.30,,0.29,,0.36
2024/12/9 8:12,,0.28,,0.30,,0.080
2024/12/2 7:55,,0.33,,0.28,,0.36
2024/11/25 8:17,,0.30,,0.29,,0.36
2024/11/18 8:11,,0.31,,0.29,,0.36
2024/11/11 8:16,,0.30,,0.28,0.21,
2024/11/4 7:52,,0.34,,0.33,1.1,
2024/10/28 8:14,,0.24,,0.29,,0.35
2024/10/21 8:05,,0.32,,0.29,0.81,
2024/10/17 14:35,-,-,-,-,,0.35
2024/10/14 8:02,,0.28,,0.22,0.45,
2024/10/7 8:09,,0.30,,0.30,1.2,
2024/9/30 8:09,,0.28,,0.32,0.63,
2024/9/27 7:30,-,-,-,-,,0.35
2024/9/25 8:06,,0.32,,0.26,,0.36
2024/9/18 8:04,,0.31,,0.25,,0.34
2024/9/9 8:07,,0.27,,0.25,0.099,
2024/9/2 7:33,,0.30,,0.26,,0.35
2024/8/26 7:53,,0.33,,0.31,,0.35
2024/8/19 7:48,,0.37,,0.23,,0.35
2024/8/14 8:02,,0.25,,0.31,0.21,
2024/8/8 7:53,-,-,-,-,,0.36
2024/8/5 7:55,,0.35,,0.36,,0.37
2024/7/29 7:45,,0.33,,0.31,,0.35
2024/7/22 7:40,,0.35,,0.26,,0.36
2024/7/15 7:50,,0.39,,0.29,0.85,
2024/7/8 8:37,,0.26,,0.25,0.56,
2024/7/1 8:24,,0.30,,0.24,,0.35
2024/6/28 13:52,-,-,-,-,,0.35
2024/6/24 8:16,,0.33,,0.32,,0.34
2024/6/17 7:59,,0.32,,0.28,,0.34
2024/6/10 8:00,,0.27,,0.31,,0.066
2024/6/3 8:04,,0.30,,0.31,0.45,
2024/5/28 9:08,,0.33,,0.37,0.86,
2024/5/20 7:48,,0.30,,0.32,,0.33
2024/5/17 14:32,-,-,-,-,,0.35
2024/5/14 9:07,,0.34,,0.36,0.079,
2024/5/6 8:42,,0.32,,0.30,,0.33
2024/4/29 7:50,,0.27,,0.32,,0.33
2024/4/22 7:38,,0.31,,0.33,,0.34
2024/4/20 7:10,-,-,-,-,0.70,
2024/4/15 7:55,,0.31,,0.36,,0.33
2024/4/8 8:41,,0.31,,0.28,0.14,
2024/4/1 8:33,,0.33,,0.32,,0.33
2024/3/25 8:00,,0.34,,0.29,,0.33
2024/3/19 7:52,,0.36,,0.34,,0.33
2024/3/11 8:34,,0.34,,0.31,0.086,
2024/3/4 8:36,,0.35,,0.30,1.1,
2024/3/1 8:08,-,-,-,-,,0.34
2024/2/26 7:45,,0.38,,0.32,,0.32
2024/2/19 7:12,,0.38,,0.38,,0.33
2024/2/12 7:52,,0.33,,0.30,,0.071
2024/2/5 8:23,,0.22,,0.31,,0.34
2024/1/29 8:28,,0.32,,0.31,,0.33
2024/1/24 8:30,,0.35,,0.32,,0.33
2024/1/15 7:52,,0.34,,0.28,,0.33
2024/1/8 8:11,,0.35,,0.33,0.16,
2024/1/3 8:18,,0.33,,0.27,,0.34
2023/12/25 7:52,,0.28,,0.32,,0.34
2023/12/18 8:01,,0.34,,0.30,,0.35
