File Creation Date,2025-01-06
Sampling Location,"Harbor entrance, southeast side (1km offshore to the south site) (T-0-3A)"

Sea surface to a depth of 0.5 m,,,,,,
,Cs-134,,Cs-137,,H-3,
Date and time of Sampling,Dt,ND,Dt,ND,Dt,ND
2024/12/30 7:56,,0.33,,0.22,-,-
2024/12/23 7:42,,0.34,,0.39,-,-
2024/12/16 7:40,,0.22,,0.33,-,-
2024/12/9 8:07,,0.33,,0.28,-,-
2024/12/2 7:51,,0.39,,0.31,,0.36
2024/11/25 8:13,,0.26,,0.27,,0.36
2024/11/18 8:06,,0.30,,0.25,,0.36
2024/11/11 8:09,,0.32,,0.28,-,-
2024/11/4 7:48,,0.32,,0.27,,0.35
2024/10/28 8:10,,0.37,,0.35,,0.36
2024/10/21 8:00,,0.33,,0.31,,0.37
2024/10/17 14:26,-,-,-,-,,0.35
2024/10/14 8:08,,0.31,,0.30,0.15,
2024/10/7 8:05,,0.33,,0.30,1.1,
2024/9/30 8:05,,0.36,,0.29,0.60,
2024/9/27 7:21,-,-,-,-,,0.35
2024/9/25 8:02,,0.31,,0.26,,0.36
2024/9/18 7:59,,0.30,,0.25,,0.34
2024/9/9 8:03,,0.30,,0.31,0.081,
2024/9/2 7:50,,0.36,,0.36,,0.34
2024/8/26 7:49,,0.30,,0.32,,0.35
2024/8/19 7:53,,0.37,,0.31,,0.35
2024/8/14 7:53,,0.30,,0.24,0.15,
2024/8/8 7:43,-,-,-,-,,0.35
2024/8/5 7:51,,0.35,,0.28,,0.36
2024/7/29 7:42,,0.26,,0.36,,0.35
2024/7/22 7:35,,0.30,,0.27,,0.36
2024/7/15 7:45,,0.39,,0.34,0.49,
2024/7/8 8:30,,0.30,,0.34,0.75,
2024/7/1 8:20,,0.34,,0.30,,0.35
2024/6/28 14:00,-,-,-,-,,0.35
2024/6/24 8:11,,0.27,,0.26,,0.34
2024/6/17 7:55,,0.31,,0.30,,0.33
2024/6/10 7:56,,0.39,,0.32,,0.066
2024/6/3 7:52,,0.27,,0.26,,0.35
2024/5/28 9:03,,0.34,,0.26,0.41,
2024/5/20 7:43,,0.26,,0.33,,0.33
2024/5/17 14:23,-,-,-,-,,0.34
2024/5/14 9:00,,0.30,,0.37,0.12,
2024/5/6 8:36,,0.30,,0.36,,0.33
2024/4/29 7:47,,0.33,,0.29,,0.33
2024/4/22 7:42,,0.34,,0.30,,0.34
2024/4/20 7:00,-,-,-,-,0.91,
2024/4/15 7:44,,0.29,,0.30,,0.34
2024/4/8 8:26,,0.30,,0.21,,0.071
2024/4/1 8:19,,0.35,,0.35,,0.33
2024/3/25 7:48,,0.36,,0.27,,0.33
2024/3/19 7:40,,0.32,,0.35,,0.34
2024/3/11 8:22,,0.30,,0.26,,0.066
2024/3/4 8:22,,0.36,,0.23,3.6,
2024/3/1 7:55,-,-,-,-,,0.34
2024/2/26 7:30,,0.28,,0.38,,0.32
2024/2/19 7:26,,0.37,,0.30,,0.33
2024/2/12 7:40,,0.34,,0.39,,0.072
2024/2/5 8:10,,0.34,,0.25,,0.32
2024/1/29 8:11,,0.30,,0.31,,0.33
2024/1/24 8:14,,0.36,,0.32,,0.33
2024/1/15 7:40,,0.36,,0.30,,0.33
2024/1/8 7:58,,0.32,,0.27,0.23,
2024/1/3 8:05,,0.33,,0.26,,0.34
2023/12/25 7:40,,0.36,,0.25,,0.34
2023/12/18 7:47,,0.32,,0.34,,0.34
2023/12/11 7:48,,0.36,,0.39,,0.074
2023/12/4 7:46,,0.33,,0.25,,0.33
2023/11/27 7:42,,0.22,,0.31,,0.33
2023/11/20 7:30,,0.29,,0.31,0.87,
2023/11/13 7:22,,0.27,,0.29,0.49,
2023/11/6 7:06,,0.24,,0.28,0.54,
2023/11/2 14:27,-,-,-,-,,0.26
2023/11/1 7:47,,0.28,,0.21,,0.32
2023/10/23 7:53,,0.28,,0.32,,0.33
2023/10/16 7:59,,0.36,,0.27,0.74,
2023/10/9 8:01,,0.35,,0.29,,0.072
2023/10/5 14:40,-,-,-,-,,0.32
2023/10/2 7:24,,0.36,,0.34,,0.35
2023/9/25 7:27,,0.28,,0.29,,0.35
2023/9/18 7:26,,0.29,,0.29,,0.35
2023/9/11 6:47,,0.31,,0.28,0.10,
2023/9/4 7:10,,0.28,,0.27,,0.33
2023/8/30 7:39,,0.35,,0.30,,0.32
2023/8/26 7:19,-,-,-,-,,0.068
2023/8/24 15:43,-,-,-,-,,0.33
2023/8/21 7:14,,0.33,,0.28,,0.33
2023/8/14 7:18,,0.28,,0.27,0.12,
2023/8/7 7:00,,0.33,,0.24,,0.35
2023/7/31 6:38,,0.31,,0.30,,0.36
2023/7/24 7:32,,0.28,,0.20,,0.35
2023/7/17 7:38,,0.30,,0.31,,0.35
2023/7/10 7:23,,0.34,,0.37,,0.087
2023/7/3 7:12,,0.31,,0.27,,0.37
2023/6/26 7:42,,0.34,,0.33,,0.36
2023/6/19 8:06,,0.37,,0.27,,0.074
2023/6/12 7:36,,0.31,,0.33,,0.35
2023/6/5 7:37,,0.31,,0.34,,0.35
2023/5/29 7:41,,0.31,,0.30,,0.35
2023/5/22 7:26,,0.37,,0.26,,0.36
2023/5/15 7:07,,0.28,,0.28,,0.35
2023/5/10 7:36,,0.38,,0.30,,0.35
2023/5/1 7:24,,0.29,,0.31,,0.34
2023/4/24 7:36,,0.21,,0.26,,0.36
2023/4/17 7:35,,0.33,,0.33,,0.35
2023/4/10 7:32,,0.27,,0.34,,0.33
2023/4/3 7:54,,0.37,,0.30,,0.34
2023/3/27 7:34,,0.36,,0.38,,0.36
2023/3/20 7:35,,0.30,,0.25,,0.35
2023/3/13 7:12,,0.24,,0.32,,0.34
2023/3/6 7:44,,0.28,,0.29,,0.36
2023/2/27 7:29,,0.36,,0.33,,0.35
2023/2/20 7:49,,0.26,,0.27,,0.35
2023/2/13 8:19,,0.34,,0.29,,0.34
2023/2/6 7:42,,0.37,,0.38,,0.35
2023/1/30 7:46,,0.35,,0.29,,0.36
2023/1/23 7:49,,0.32,,0.25,,0.36
2023/1/18 7:50,,0.28,,0.33,,0.36
2023/1/9 7:45,,0.23,,0.34,,0.34
2023/1/2 8:17,,0.27,,0.27,,0.35
2022/12/26 7:44,,0.31,,0.34,,0.34
2022/12/19 7:52,,0.30,,0.23,,0.35
2022/12/12 7:45,,0.22,,0.23,,0.35
2022/12/5 7:46,,0.26,,0.23,,0.34
2022/11/28 7:43,,0.26,,0.32,,0.33
2022/11/21 7:59,,0.36,,0.32,,0.34
2022/11/14 7:55,,0.31,,0.31,,0.33
2022/11/7 7:47,,0.31,,0.32,,0.39
2022/10/31 7:53,,0.27,,0.29,,0.35
2022/10/24 7:52,,0.31,,0.26,,0.38
2022/10/17 7:12,,0.24,,0.27,,0.37
2022/10/12 7:47,,0.28,,0.27,,0.36
2022/10/3 7:50,,0.25,,0.33,,0.36
2022/9/26 7:59,,0.25,,0.32,,0.35
2022/9/19 8:55,,0.27,,0.31,,0.35
2022/9/12 7:41,,0.31,,0.28,,0.33
2022/9/5 7:30,,0.28,,0.33,,0.33
2022/8/29 7:39,,0.23,,0.22,,0.34
2022/8/22 7:44,,0.30,,0.25,,0.36
2022/8/17 8:26,,0.26,,0.30,,0.35
2022/8/8 7:25,,0.27,,0.25,,0.35
2022/8/1 7:32,,0.29,,0.32,,0.34
2022/7/25 7:23,,0.17,,0.28,,0.38
2022/7/18 8:20,,0.32,,0.34,,0.38
2022/7/14 7:30,,0.24,,0.29,,0.38
